Date,open,high,low,close,volume
2015-04-27,296.95,296.98,284.88,285.19,3989600.0
2015-04-28,281.9,290.16,280.06,288.1,3282000.0
2015-04-29,286.35,289.82,285.0,288.23,2192800.0
2015-04-30,287.27,289.6,280.14,282.86,2818800.0
2015-05-01,285.17,290.01,284.68,289.74,2628500.0
2015-05-04,290.19,292.49,289.09,289.81,1732800.0
2015-05-05,290.45,290.99,285.0,285.75,1901000.0
2015-05-06,287.05,287.05,279.74,283.31,2439600.0
2015-05-07,284.0,290.83,283.51,287.3,2389300.0
2015-05-08,291.88,295.9,290.12,292.82,2816600.0
2015-05-11,305.77,305.77,300.39,301.74,4247500.0
2015-05-12,300.0,301.41,296.16,296.79,2423100.0
2015-05-13,298.18,299.44,294.79,295.69,1618000.0
2015-05-14,298.15,298.31,294.81,297.46,1515500.0
2015-05-15,297.46,298.98,295.79,296.6,1556400.0
2015-05-18,297.18,297.49,295.0,295.76,1850800.0
2015-05-19,295.41,299.88,294.81,298.43,2446800.0
2015-05-20,299.45,299.58,297.03,297.5,1831800.0
2015-05-21,298.16,301.77,296.16,301.22,2214800.0
2015-05-22,300.52,303.71,299.99,301.35,2245700.0
2015-05-26,301.0,302.56,299.17,300.07,2023000.0
2015-05-27,300.22,307.03,299.87,306.79,2983600.0
2015-05-28,308.46,315.0,308.41,313.08,3942700.0
2015-05-29,313.7,314.18,306.35,306.81,2460900.0
2015-06-01,310.0,311.2,305.53,309.16,1989100.0
2015-06-02,307.88,309.9,305.66,305.71,1569400.0
2015-06-03,306.92,307.4,303.78,306.42,1988100.0
2015-06-04,306.21,308.24,301.39,303.38,1701200.0
2015-06-05,303.41,305.9,301.05,302.3,1744100.0
2015-06-08,302.94,303.26,298.03,298.66,1962300.0
2015-06-09,297.89,298.68,294.72,296.87,1811700.0
2015-06-10,298.73,301.87,296.02,301.29,1439300.0
2015-06-11,302.24,303.12,300.32,301.92,1606100.0
2015-06-12,301.27,301.56,297.86,298.98,1370800.0
2015-06-15,297.83,301.98,295.94,301.35,1079500.0
2015-06-16,298.06,300.9,297.43,298.02,1348100.0
2015-06-17,299.5,301.4,296.19,298.79,1891400.0
2015-06-18,299.78,304.81,299.22,302.47,2123600.0
2015-06-19,302.0,304.96,301.32,302.37,2212400.0
2015-06-22,305.0,307.53,302.02,307.25,1683800.0
2015-06-23,308.2,312.84,308.07,312.32,2046400.0
2015-06-24,311.98,314.69,308.53,308.66,1650900.0
2015-06-25,309.25,312.0,307.98,309.15,1344400.0
2015-06-26,310.24,310.5,304.13,306.6,4923800.0
2015-06-29,302.81,305.88,298.15,299.25,1756600.0
2015-06-30,301.29,304.57,298.8,303.46,2045300.0
2015-07-01,306.86,310.5,304.4,306.91,1759200.0
2015-07-02,309.19,309.79,305.01,307.51,1084500.0
2015-07-06,304.17,308.85,304.03,306.7,1540800.0
2015-07-07,307.58,308.75,301.87,307.0,1707200.0
2015-07-08,304.94,305.05,298.88,299.67,1694900.0
2015-07-09,303.0,305.83,301.88,304.1,1789300.0
2015-07-10,306.08,313.07,305.84,312.13,2164300.0
2015-07-13,314.95,318.46,314.71,318.35,2128600.0
2015-07-14,318.23,322.05,316.49,321.13,1901500.0
2015-07-15,321.61,322.44,317.8,320.13,1799500.0
2015-07-16,320.13,322.0,315.5,317.37,1604600.0
2015-07-17,316.84,316.96,312.85,316.21,1896500.0
2015-07-20,316.9,319.29,316.32,317.75,1203500.0
2015-07-21,317.75,319.06,312.95,317.0,1827000.0
2015-07-22,315.0,316.8,313.7,315.35,1003500.0
2015-07-23,316.13,317.08,314.07,314.95,1135400.0
2015-07-24,315.62,315.62,307.51,308.21,1785800.0
2015-07-27,330.99,334.38,324.0,326.98,9622000.0
2015-07-28,328.12,340.0,327.81,339.5,4079400.0
