Date,open,high,low,close,volume
2015-04-27,9.56,9.67,9.44,9.47,417604.0
2015-04-28,9.43,9.49,9.34,9.37,566557.0
2015-04-29,9.27,9.33,9.16,9.2,678496.0
2015-04-30,9.14,9.19,8.91,9.06,999827.0
2015-05-01,9.01,9.11,8.77,8.82,2937703.0
2015-05-04,8.83,8.97,8.79,8.86,1001857.0
2015-05-05,8.83,8.9,8.51,8.81,1657020.0
2015-05-06,8.88,8.88,8.68,8.73,745970.0
2015-05-07,8.77,9.01,8.75,8.83,1021168.0
2015-05-08,8.91,9.24,8.85,8.92,751501.0
2015-05-11,8.92,8.99,8.75,8.86,910851.0
2015-05-12,8.83,9.02,8.65,9.0,965664.0
2015-05-13,8.97,9.19,8.96,8.99,1119459.0
2015-05-14,9.08,9.13,9.0,9.12,814394.0
2015-05-15,9.12,9.35,9.07,9.35,716575.0
2015-05-18,9.35,9.35,9.03,9.09,994506.0
2015-05-19,9.08,9.12,8.96,8.98,597402.0
2015-05-20,9.01,9.03,8.89,8.89,522063.0
2015-05-21,8.89,8.94,8.75,8.79,732324.0
2015-05-22,8.76,8.83,8.73,8.76,304930.0
2015-05-26,8.74,8.74,8.57,8.65,525072.0
2015-05-27,8.65,8.78,8.56,8.77,530102.0
2015-05-28,8.78,8.84,8.66,8.72,425408.0
2015-05-29,8.7,8.71,8.55,8.6,1089535.0
2015-06-01,8.67,8.77,8.6,8.73,520436.0
2015-06-02,8.65,8.71,8.57,8.6,580476.0
2015-06-03,8.62,8.66,8.52,8.6,563932.0
2015-06-04,8.58,8.63,8.54,8.62,433985.0
2015-06-05,8.58,8.58,8.37,8.47,505189.0
2015-06-08,8.44,8.47,8.36,8.37,415208.0
2015-06-09,8.36,8.4,8.29,8.31,518850.0
2015-06-10,8.34,8.45,8.27,8.4,694496.0
2015-06-11,8.48,8.51,8.36,8.4,423888.0
2015-06-12,8.41,8.43,8.11,8.15,837085.0
2015-06-15,8.15,8.17,7.77,7.84,1397428.0
2015-06-16,7.82,8.17,7.82,8.17,739744.0
2015-06-17,8.17,8.3,8.14,8.25,500349.0
2015-06-18,8.27,8.41,8.24,8.39,564096.0
2015-06-19,8.4,8.51,8.26,8.51,1107146.0
2015-06-22,8.53,8.6,8.49,8.52,796546.0
2015-06-23,8.51,8.52,8.4,8.44,399050.0
2015-06-24,8.44,8.64,8.42,8.57,848442.0
2015-06-25,8.57,8.57,8.24,8.3,746491.0
2015-06-26,8.15,8.48,8.07,8.46,3449247.0
2015-06-29,8.45,8.53,8.01,8.15,1432357.0
2015-06-30,8.18,8.46,8.11,8.46,1455676.0
2015-07-01,8.5,8.7,8.42,8.69,1096122.0
2015-07-02,8.72,8.79,8.62,8.67,677095.0
2015-07-06,8.7,8.92,8.7,8.85,1006494.0
2015-07-07,8.89,8.95,8.78,8.92,953965.0
2015-07-08,8.87,8.96,8.79,8.84,375886.0
2015-07-09,8.9,8.94,8.57,8.73,665726.0
2015-07-10,8.8,8.9,8.76,8.87,489566.0
2015-07-13,9.0,9.1,8.94,9.05,978166.0
2015-07-14,9.19,9.23,9.08,9.18,706946.0
2015-07-15,9.16,9.25,9.1,9.21,682070.0
2015-07-16,8.92,8.94,8.57,8.69,792556.0
2015-07-17,8.66,8.66,8.53,8.62,552676.0
2015-07-20,8.66,8.87,8.62,8.77,1079779.0
2015-07-21,8.75,8.9,8.7,8.77,689511.0
2015-07-22,8.79,8.96,8.75,8.93,992497.0
2015-07-23,8.9,8.94,8.76,8.81,1263823.0
2015-07-24,8.79,8.8,8.57,8.65,777007.0
2015-07-27,8.69,8.71,8.45,8.61,684490.0
2015-07-28,8.63,8.73,8.55,8.62,526228.0
2015-07-29,8.6,8.86,8.55,8.83,648780.0
2015-07-30,8.78,8.78,8.55,8.6,773976.0
2015-07-31,8.65,8.77,8.6,8.74,732580.0
2015-08-03,8.75,8.89,8.7,8.76,732113.0
2015-08-04,8.81,8.86,8.6,8.64,556474.0
2015-08-05,8.66,8.71,8.1,8.27,1209806.0
2015-08-06,8.3,8.33,7.7,8.29,1399602.0
2015-08-07,8.23,8.72,7.61,8.08,2131828.0
2015-08-10,8.12,8.54,8.08,8.49,1184942.0
2015-08-11,8.43,8.63,8.37,8.62,962267.0
2015-08-12,8.38,8.4,7.7,8.29,1687934.0
2015-08-13,8.29,8.37,8.15,8.18,856018.0
