Date,open,high,low,close,volume
2015-04-27,50.73,51.87,50.68,51.53,2757492.0
2015-04-28,52.31,52.46,52.05,52.27,2184223.0
2015-04-29,51.33,52.13,51.01,51.88,2217647.0
2015-04-30,50.6,51.65,50.45,51.29,3163978.0
2015-05-01,52.33,52.46,51.41,51.92,1530144.0
2015-05-04,52.2,52.26,51.85,52.16,1736919.0
2015-05-05,51.92,52.34,51.85,52.03,2767713.0
2015-05-06,51.96,52.21,51.09,51.41,2337904.0
2015-05-07,50.25,50.32,49.54,50.27,2752527.0
2015-05-08,50.39,50.98,49.84,50.8,3184566.0
2015-05-11,50.84,51.31,50.8,51.09,2603399.0
2015-05-12,51.25,52.2,51.09,51.84,2145032.0
2015-05-13,51.95,52.34,51.72,51.82,1539542.0
2015-05-14,52.13,52.43,51.55,51.78,1417285.0
2015-05-15,51.4,51.65,50.96,51.55,1721093.0
2015-05-18,48.8,48.9,48.21,48.37,1950620.0
2015-05-19,46.41,46.45,45.65,45.97,3871889.0
2015-05-20,45.95,46.2,45.8,45.99,1929417.0
2015-05-21,46.39,46.55,46.12,46.28,1323292.0
2015-05-22,46.22,46.37,45.74,45.87,1138214.0
2015-05-26,45.6,45.83,44.75,45.18,2349189.0
2015-05-27,44.94,45.46,44.7,45.2,1595993.0
2015-05-28,44.7,44.7,44.12,44.57,2359576.0
2015-05-29,44.99,45.16,44.55,44.63,2131691.0
2015-06-01,44.58,44.68,43.67,44.01,1681754.0
2015-06-02,44.06,45.24,44.04,45.04,2239868.0
2015-06-03,44.42,44.86,44.25,44.39,1806572.0
2015-06-04,43.55,43.82,43.03,43.1,2247291.0
2015-06-05,42.66,43.35,42.51,42.91,1652593.0
2015-06-08,42.84,42.96,42.35,42.83,1399454.0
2015-06-09,42.82,42.94,42.15,42.21,3433436.0
2015-06-10,43.68,43.92,43.44,43.53,3313933.0
2015-06-11,43.51,43.63,43.21,43.53,1026880.0
2015-06-12,43.43,43.59,43.12,43.3,1027587.0
2015-06-15,42.79,43.06,42.66,42.89,1327916.0
2015-06-16,42.75,43.16,42.61,43.1,1294811.0
2015-06-17,43.42,43.82,42.9,43.58,1674072.0
2015-06-18,44.39,45.06,43.88,44.28,1703912.0
2015-06-19,44.03,44.22,43.77,43.81,1129072.0
2015-06-22,44.27,44.4,43.92,43.96,1185039.0
2015-06-23,44.08,44.67,43.92,44.61,1336026.0
2015-06-24,44.65,44.95,44.3,44.39,2367614.0
2015-06-25,44.06,44.17,43.23,43.34,2069450.0
2015-06-26,42.73,42.75,42.41,42.69,2159107.0
2015-06-29,41.96,42.41,41.6,41.73,2868397.0
2015-06-30,41.56,41.63,40.49,40.71,2723782.0
2015-07-01,40.78,40.95,40.34,40.49,1717947.0
2015-07-02,41.24,41.7,41.13,41.29,1963608.0
2015-07-06,39.45,39.69,39.03,39.59,3780903.0
2015-07-07,38.52,39.16,37.86,38.97,4062552.0
2015-07-08,37.94,38.21,37.06,37.39,4719621.0
2015-07-09,38.97,39.24,38.26,38.4,3598777.0
2015-07-10,39.89,39.91,39.35,39.47,2335729.0
