Date,open,high,low,close,volume
2015-04-27,44.92,45.09,44.82,44.99,19020.0
2015-04-28,44.64,44.8,44.36,44.68,11771.0
2015-04-29,44.72,44.74,44.3,44.63,31389.0
2015-04-30,44.51,44.51,44.14,44.14,14440.0
2015-05-01,44.31,44.59,44.21,44.5,15875.0
2015-05-04,44.71,45.03,44.68,44.96,21964.0
2015-05-05,44.1,44.47,43.71,43.83,46099.0
2015-05-06,43.76,43.76,42.66,42.84,66398.0
2015-05-07,42.61,42.79,42.35,42.76,104400.0
2015-05-08,43.64,43.78,43.58,43.67,17222.0
2015-05-11,44.02,44.42,44.02,44.05,23887.0
2015-05-12,43.68,43.68,43.39,43.5,13045.0
2015-05-13,44.05,44.26,44.05,44.09,39950.0
2015-05-14,44.62,45.27,44.62,45.13,36790.0
2015-05-15,45.25,45.33,44.91,45.29,38849.0
2015-05-18,45.45,45.45,45.06,45.27,23278.0
2015-05-19,45.64,45.64,45.37,45.46,44237.0
2015-05-20,43.8,43.8,42.73,43.08,87002.0
2015-05-21,42.94,44.25,42.94,43.91,30624.0
2015-05-22,44.48,44.66,44.24,44.66,9036.0
2015-05-26,45.16,45.16,44.21,44.41,16423.0
2015-05-27,44.47,44.47,43.97,44.26,17444.0
2015-05-28,43.27,43.77,42.8,42.93,47600.0
2015-05-29,43.51,43.63,42.35,42.65,29005.0
2015-06-01,43.3,43.37,42.6,42.84,25971.0
2015-06-02,42.51,43.23,42.45,43.02,28254.0
2015-06-03,42.51,43.5,42.51,43.29,10982.0
2015-06-04,43.06,43.06,42.52,42.55,29067.0
2015-06-05,42.6,42.96,42.01,42.93,14309.0
2015-06-08,42.91,42.95,42.14,42.37,17232.0
2015-06-09,42.0,42.0,41.0,41.36,53731.0
2015-06-10,40.89,42.06,40.41,41.53,50902.0
2015-06-11,41.57,42.44,41.57,41.95,24417.0
2015-06-12,42.54,42.74,42.14,42.74,22783.0
2015-06-15,41.63,41.69,40.0,41.34,40509.0
2015-06-16,40.56,41.3,40.56,41.21,48546.0
2015-06-17,41.61,42.03,41.49,41.86,117915.0
2015-06-18,41.52,42.3,41.39,42.27,9342.0
2015-06-19,42.11,42.36,41.01,41.31,45060.0
2015-06-22,41.62,41.62,41.2,41.29,32548.0
2015-06-23,41.62,42.45,41.26,42.22,22302.0
2015-06-24,42.94,42.94,42.12,42.44,32450.0
2015-06-25,42.36,42.36,41.33,41.41,68243.0
2015-06-26,40.77,41.62,40.51,40.65,32598.0
2015-06-29,39.84,39.84,38.55,38.65,67216.0
2015-06-30,39.66,41.31,39.55,39.71,22870.0
2015-07-01,39.75,40.16,39.41,39.73,70510.0
2015-07-02,39.84,39.84,39.0,39.26,20245.0
2015-07-06,36.6,37.42,35.15,35.41,102829.0
2015-07-07,34.71,34.71,32.07,33.37,240326.0
2015-07-08,32.35,32.59,30.09,32.16,102927.0
2015-07-09,32.8,36.67,32.8,35.26,62011.0
2015-07-10,35.96,37.5,35.96,36.46,31598.0
2015-07-13,36.9,37.24,36.86,37.11,20256.0
2015-07-14,37.2,37.35,37.05,37.25,148709.0
2015-07-15,36.6,36.6,35.88,35.98,87889.0
2015-07-16,36.31,36.8,36.03,36.8,20383.0
2015-07-17,37.43,37.79,37.43,37.6,19069.0
2015-07-20,37.85,37.85,37.43,37.49,7004.0
2015-07-21,37.56,37.72,37.47,37.63,5592.0
2015-07-22,36.9,37.49,36.9,37.29,6524.0
2015-07-23,37.67,37.69,37.32,37.32,3786.0
2015-07-24,37.12,37.42,36.74,36.81,14046.0
2015-07-27,34.61,35.19,34.51,34.81,77360.0
2015-07-28,35.13,35.13,34.29,34.76,43220.0
2015-07-29,34.73,35.16,34.7,35.06,16627.0
2015-07-30,34.98,34.98,34.65,34.93,4200.0
2015-07-31,34.61,34.7,34.41,34.41,29877.0
2015-08-03,33.84,33.96,33.63,33.7,12712.0
2015-08-04,33.74,34.14,33.74,34.04,13628.0
2015-08-05,34.22,34.69,34.22,34.47,8031.0
2015-08-06,34.42,34.42,34.11,34.22,5125.0
2015-08-07,34.27,34.37,34.12,34.14,5781.0
2015-08-10,34.49,35.31,34.49,35.09,11733.0
2015-08-11,34.72,34.8,33.95,34.17,75043.0
2015-08-12,33.51,33.51,32.84,33.17,43935.0
2015-08-13,33.73,33.73,33.12,33.12,43414.0
2015-08-14,32.87,33.28,32.87,33.06,20465.0
2015-08-17,32.95,32.95,32.7,32.88,9545.0
2015-08-18,32.24,32.31,32.0,32.16,14799.0
2015-08-19,31.91,31.95,31.42,31.69,10866.0
2015-08-20,31.02,31.02,30.3,30.31,93319.0
2015-08-21,29.72,30.1,29.26,29.3,22684.0
2015-08-24,26.19,28.19,25.36,27.84,36765.0
2015-08-25,27.9,29.96,27.9,28.34,49840.0
2015-08-26,28.56,28.75,27.99,28.61,47916.0
2015-08-27,29.17,30.73,29.17,30.4,31365.0
2015-08-28,30.49,30.75,30.26,30.49,6276.0
