Date,open,high,low,close,volume
2015-04-27,110.34,110.74,109.54,109.7,4846651.0
2015-04-28,110.05,111.24,109.65,111.12,5260092.0
2015-04-29,110.82,111.99,110.68,111.73,5595539.0
2015-04-30,112.04,112.2,110.44,111.06,6485484.0
2015-05-01,110.28,110.8,108.33,109.04,10321962.0
2015-05-04,109.38,109.41,107.99,108.32,7434427.0
2015-05-05,109.24,109.93,108.0,108.0,6436743.0
2015-05-06,109.24,109.53,107.3,107.95,5730091.0
2015-05-07,107.69,108.2,106.69,107.57,5766204.0
2015-05-08,108.29,108.8,107.4,108.65,6923753.0
2015-05-11,108.65,108.69,107.3,107.36,5962476.0
2015-05-12,107.44,108.0,107.1,107.56,4997260.0
2015-05-13,107.98,108.47,107.3,107.7,5493371.0
2015-05-14,108.02,109.3,108.02,108.45,9702348.0
2015-05-15,107.21,108.33,106.94,108.03,5557689.0
2015-05-18,107.5,107.51,106.58,106.65,6364022.0
2015-05-19,106.05,106.31,105.0,105.02,7908764.0
2015-05-20,105.42,105.9,104.76,105.25,6502555.0
2015-05-21,105.97,106.27,105.3,105.49,6538876.0
2015-05-22,105.09,105.55,104.86,104.89,4659881.0
2015-05-26,104.22,104.44,102.93,103.29,7904791.0
2015-05-27,103.2,103.78,102.73,103.11,5822079.0
2015-05-28,102.96,103.42,102.38,103.24,5064755.0
2015-05-29,103.14,103.57,102.67,103.0,6533887.0
2015-06-01,103.47,103.75,102.49,102.63,5389886.0
2015-06-02,102.65,103.11,102.11,102.58,4992651.0
2015-06-03,102.4,103.38,102.12,102.17,5149243.0
2015-06-04,101.89,102.37,100.98,101.39,6812338.0
2015-06-05,101.18,103.1,100.99,101.59,5949479.0
2015-06-08,101.29,101.39,99.95,100.42,8163770.0
2015-06-09,100.7,101.25,100.22,100.42,7060960.0
2015-06-10,102.52,102.58,101.52,101.83,7528543.0
2015-06-11,101.87,102.2,100.94,101.12,5506724.0
2015-06-12,100.52,100.69,99.63,99.87,6431150.0
2015-06-15,99.45,100.06,99.13,99.29,6090945.0
2015-06-16,99.2,100.44,98.81,100.04,8742824.0
2015-06-17,100.83,101.17,99.52,99.76,8184020.0
2015-06-18,100.26,100.9,100.15,100.25,7137813.0
2015-06-19,99.72,100.17,99.46,99.47,9792377.0
2015-06-22,99.83,100.36,99.37,100.29,6404146.0
2015-06-23,99.96,100.43,99.54,100.09,5679850.0
2015-06-24,99.98,100.68,99.27,99.27,7436763.0
2015-06-25,99.45,99.66,98.29,98.34,6055085.0
2015-06-26,98.24,98.69,97.81,98.6,9626852.0
2015-06-29,97.5,97.96,96.6,96.69,8734964.0
2015-06-30,97.45,97.66,96.22,96.47,9899097.0
2015-07-01,96.3,96.62,95.55,96.09,7285505.0
2015-07-02,96.36,96.67,95.72,95.87,6390911.0
2015-07-06,95.06,95.56,94.48,94.77,8321614.0
2015-07-07,94.41,95.48,93.5,95.27,11762971.0
2015-07-08,94.59,95.09,93.26,93.56,7701539.0
2015-07-09,94.9,95.21,93.76,93.78,7895318.0
2015-07-10,94.53,94.95,94.07,94.41,5630068.0
2015-07-13,94.31,94.89,94.15,94.6,5036731.0
2015-07-14,94.4,95.79,94.39,95.55,5203433.0
2015-07-15,95.04,95.7,93.89,94.24,6456159.0
2015-07-16,94.28,94.73,93.9,94.48,6413312.0
2015-07-17,94.23,94.39,92.9,93.15,8195924.0
2015-07-20,93.3,93.49,92.59,92.94,6006897.0
2015-07-21,93.0,94.14,93.0,93.9,6877143.0
2015-07-22,93.51,94.33,93.29,93.51,9324354.0
2015-07-23,93.57,94.07,92.7,92.94,7316909.0
2015-07-24,92.78,92.78,90.35,90.6,11077081.0
2015-07-27,89.86,90.09,88.74,89.14,10321332.0
2015-07-28,89.45,92.69,89.43,92.4,11457769.0
2015-07-29,91.98,93.4,91.44,93.25,9463475.0
2015-07-30,93.45,93.81,92.75,93.03,6416128.0
2015-07-31,91.52,91.75,88.01,88.48,18997616.0
2015-08-03,87.28,87.33,85.32,85.6,14118392.0
2015-08-04,85.74,86.9,84.68,85.21,8501265.0
2015-08-05,85.44,86.0,83.87,84.03,11163959.0
