Date,open,high,low,close,volume
2015-04-27,59.05,59.27,58.72,59.09,6879650.0
2015-04-28,58.96,60.14,58.76,59.48,9429117.0
2015-04-29,59.11,59.64,58.58,58.88,7249838.0
2015-04-30,58.57,59.0,57.93,58.26,5848240.0
2015-05-01,58.26,59.33,58.02,59.3,6830350.0
2015-05-04,59.14,59.48,58.88,59.11,4119193.0
2015-05-05,58.77,59.02,57.88,57.93,7825528.0
2015-05-06,57.81,58.12,56.93,57.49,6983251.0
2015-05-07,57.49,58.22,57.3,57.96,6570364.0
2015-05-08,58.63,58.97,58.47,58.81,4747141.0
2015-05-11,58.85,59.17,58.19,58.34,4490928.0
2015-05-12,57.84,58.59,57.57,58.3,4533776.0
2015-05-13,58.54,59.39,58.05,58.81,6362938.0
2015-05-14,59.23,60.12,58.95,60.1,6040772.0
2015-05-15,60.15,60.83,59.37,59.41,6162545.0
2015-05-18,59.22,59.67,59.16,59.46,3908440.0
2015-05-19,59.65,59.73,59.21,59.25,2889853.0
2015-05-20,59.47,59.59,58.62,59.14,4895502.0
2015-05-21,59.0,59.94,59.0,59.74,5134804.0
2015-05-22,59.73,60.17,59.47,59.72,4535721.0
2015-05-26,60.03,60.05,58.54,58.73,6250890.0
2015-05-27,58.86,59.64,58.61,59.38,4006072.0
2015-05-28,59.23,60.93,58.95,60.56,8901134.0
2015-05-29,60.65,61.64,60.35,61.37,13568532.0
2015-06-01,61.55,63.03,61.55,62.56,13933204.0
2015-06-02,62.1,63.03,61.91,62.0,7033826.0
2015-06-03,62.37,62.5,61.51,62.01,7894797.0
2015-06-04,61.77,62.55,61.73,62.49,7429038.0
2015-06-05,62.49,63.3,62.16,63.23,8981067.0
2015-06-08,62.52,62.52,60.45,60.85,12112587.0
2015-06-09,60.73,60.84,59.74,60.41,9460924.0
2015-06-10,60.56,60.94,60.21,60.47,8852186.0
2015-06-11,60.7,60.99,60.14,60.46,7046426.0
2015-06-12,60.32,60.67,59.97,60.02,6856719.0
2015-06-15,59.63,60.19,59.25,60.0,8057277.0
2015-06-16,59.89,61.88,59.78,60.52,9338762.0
2015-06-17,60.5,61.09,60.24,60.55,4538762.0
2015-06-18,60.65,61.12,60.63,60.68,6965331.0
2015-06-19,60.79,61.45,60.66,61.14,9525509.0
2015-06-22,61.59,61.9,61.28,61.75,5086229.0
2015-06-23,61.76,62.0,61.44,61.93,5420028.0
2015-06-24,62.11,62.39,61.51,61.61,8387564.0
2015-06-25,61.68,62.0,61.48,61.59,5999927.0
2015-06-26,61.6,61.71,60.7,61.04,5622344.0
2015-06-29,60.66,60.83,59.11,59.36,7515858.0
2015-06-30,60.05,60.6,59.4,60.24,8516540.0
2015-07-01,60.99,60.99,59.82,60.43,8215997.0
2015-07-02,61.05,62.23,60.43,61.83,16466551.0
2015-07-06,61.45,62.37,61.19,61.75,16074392.0
2015-07-07,62.67,62.69,61.1,61.97,21056391.0
2015-07-08,61.52,61.73,60.87,60.98,14046350.0
2015-07-09,61.91,62.32,61.56,61.77,8932475.0
2015-07-10,62.35,62.49,61.46,62.36,8410599.0
2015-07-13,62.42,63.74,62.38,63.47,13426778.0
2015-07-14,63.38,64.29,63.37,63.59,10796581.0
2015-07-15,63.73,64.21,63.23,63.44,12912321.0
2015-07-16,65.3,66.71,65.0,65.59,31001898.0
2015-07-17,66.04,66.73,64.85,66.33,25856898.0
2015-07-20,26.89,29.35,26.59,28.57,37008195.0
2015-07-21,28.15,28.99,27.98,28.6,43369046.0
2015-07-22,28.23,28.8,28.2,28.45,33431349.0
2015-07-23,28.25,28.6,28.12,28.43,39910108.0
2015-07-24,28.83,28.85,28.18,28.23,16109291.0
2015-07-27,28.02,28.2,27.82,28.0,15872702.0
2015-07-28,28.07,28.37,27.88,28.34,33190789.0
2015-07-29,28.39,28.87,28.25,28.75,13800464.0
2015-07-30,28.63,28.7,28.09,28.37,11755258.0
2015-07-31,28.47,28.54,28.06,28.13,11749055.0
2015-08-03,28.09,28.35,27.84,28.33,16115249.0
2015-08-04,28.16,28.43,28.03,28.41,9589930.0
2015-08-05,28.43,28.72,28.43,28.56,10447797.0
2015-08-06,28.58,28.63,28.1,28.15,9118965.0
2015-08-07,28.19,28.57,28.09,28.56,12328423.0
2015-08-10,28.61,28.93,28.6,28.67,7159767.0
2015-08-11,28.3,28.62,28.07,28.14,9899370.0
2015-08-12,27.52,28.03,27.31,28.01,11119713.0
2015-08-13,27.98,28.15,27.73,27.99,7391332.0
2015-08-14,27.94,28.29,27.8,28.27,7260722.0
2015-08-17,28.12,28.32,27.78,28.3,9429642.0
2015-08-18,28.43,28.46,27.66,27.77,10836878.0
2015-08-19,27.46,27.72,27.3,27.43,11310840.0
2015-08-20,27.21,27.29,26.49,26.53,15733760.0
2015-08-21,26.33,26.64,25.71,25.77,18195707.0
2015-08-24,23.87,25.75,23.23,24.93,22963673.0
2015-08-25,25.37,25.85,25.23,25.24,22543508.0
2015-08-26,25.91,26.19,25.19,26.17,16743970.0
2015-08-27,26.51,27.19,26.44,27.11,18008848.0
2015-08-28,26.98,27.27,26.81,27.24,11306356.0
