Date,open,high,low,close,volume
2015-04-27,2.52,2.56,2.47,2.56,2690450.0
2015-04-28,2.54,2.68,2.52,2.67,2661568.0
2015-04-29,2.64,2.71,2.62,2.67,1743932.0
2015-04-30,2.69,2.7,2.38,2.45,1300222.0
2015-05-01,2.44,2.45,2.36,2.37,624904.0
2015-05-04,2.37,2.48,2.34,2.43,680449.0
2015-05-05,2.52,2.81,2.52,2.71,1789302.0
2015-05-06,2.96,2.96,2.77,2.82,1851717.0
2015-05-07,2.87,2.88,2.65,2.69,1047348.0
2015-05-08,2.74,2.74,2.62,2.7,740635.0
2015-05-11,2.69,2.73,2.62,2.63,381505.0
2015-05-12,2.67,2.74,2.54,2.67,863987.0
2015-05-13,2.59,2.6,2.39,2.4,1738352.0
2015-05-14,2.48,2.49,2.33,2.34,1096785.0
2015-05-15,2.37,2.48,2.36,2.37,1267795.0
2015-05-18,2.42,2.42,2.33,2.38,614796.0
2015-05-19,2.36,2.36,2.23,2.26,825995.0
2015-05-20,2.27,2.29,2.2,2.25,1024045.0
2015-05-21,2.22,2.24,2.16,2.19,536127.0
2015-05-22,2.1,2.19,2.07,2.16,1082389.0
2015-05-26,2.18,2.18,2.05,2.12,1713747.0
2015-05-27,2.12,2.2,2.09,2.19,811285.0
2015-05-28,2.25,2.26,2.1,2.11,508136.0
2015-05-29,2.07,2.08,1.99,2.01,9540919.0
2015-06-01,2.04,2.16,1.99,2.12,931476.0
2015-06-02,2.16,2.22,2.15,2.2,764538.0
2015-06-03,2.2,2.22,2.12,2.14,385820.0
2015-06-04,2.13,2.14,2.06,2.09,280287.0
2015-06-05,2.1,2.11,2.05,2.07,218330.0
2015-06-08,2.12,2.16,2.09,2.13,338938.0
2015-06-09,2.12,2.14,2.08,2.08,198105.0
2015-06-10,2.12,2.14,2.03,2.04,399433.0
2015-06-11,2.02,2.06,2.0,2.06,283811.0
2015-06-12,2.06,2.07,2.03,2.05,137674.0
2015-06-15,2.04,2.07,2.02,2.02,244282.0
2015-06-16,2.04,2.06,2.02,2.04,265308.0
2015-06-17,2.02,2.08,2.02,2.08,296275.0
2015-06-18,2.09,2.12,2.07,2.11,449683.0
2015-06-19,2.09,2.1,2.02,2.03,780026.0
2015-06-22,2.09,2.09,2.06,2.07,251230.0
2015-06-23,2.06,2.08,2.02,2.02,521911.0
2015-06-24,2.02,2.03,1.95,1.97,472754.0
2015-06-25,1.97,1.97,1.86,1.87,838600.0
2015-06-26,1.9,1.91,1.85,1.86,1354712.0
2015-06-29,1.8,1.91,1.79,1.91,1251415.0
2015-06-30,1.92,1.93,1.84,1.88,366621.0
2015-07-01,1.89,1.91,1.83,1.85,370280.0
2015-07-02,1.85,1.89,1.83,1.88,688364.0
2015-07-06,1.82,1.9,1.82,1.85,666553.0
2015-07-07,1.82,1.82,1.77,1.8,854043.0
2015-07-08,1.77,1.81,1.76,1.77,1275772.0
2015-07-09,1.79,1.81,1.73,1.74,284479.0
2015-07-10,1.82,1.86,1.77,1.86,853017.0
2015-07-13,1.85,1.89,1.82,1.86,515752.0
2015-07-14,1.88,1.96,1.86,1.93,544080.0
2015-07-15,1.9,1.91,1.87,1.88,336067.0
2015-07-16,1.9,1.91,1.84,1.86,457182.0
2015-07-17,1.86,1.86,1.8,1.81,474911.0
2015-07-20,1.8,1.8,1.74,1.75,318367.0
2015-07-21,1.73,1.81,1.73,1.78,86201.0
2015-07-22,1.76,1.82,1.74,1.76,342447.0
2015-07-23,1.69,1.71,1.67,1.67,931888.0
2015-07-24,1.65,1.65,1.53,1.56,804264.0
2015-07-27,1.53,1.63,1.52,1.6,358881.0
2015-07-28,1.6,1.62,1.56,1.59,411696.0
2015-07-29,1.58,1.62,1.57,1.6,316742.0
2015-07-30,1.6,1.67,1.6,1.66,281842.0
2015-07-31,1.68,1.71,1.66,1.67,345282.0
2015-08-03,1.68,1.7,1.63,1.65,142265.0
2015-08-04,1.69,1.73,1.63,1.64,239860.0
2015-08-05,1.62,1.62,1.59,1.6,225319.0
2015-08-06,1.58,1.59,1.57,1.58,315600.0
2015-08-07,1.57,1.57,1.52,1.53,1436577.0
2015-08-10,1.52,1.55,1.51,1.54,1130998.0
2015-08-11,1.5,1.51,1.47,1.49,624900.0
2015-08-12,1.52,1.52,1.46,1.47,2511510.0
2015-08-13,1.46,1.47,1.43,1.44,313373.0
2015-08-14,1.44,1.48,1.44,1.45,1216380.0
2015-08-17,1.45,1.49,1.43,1.43,286337.0
2015-08-18,1.42,1.45,1.39,1.45,529287.0
2015-08-19,1.4,1.42,1.36,1.37,352704.0
2015-08-20,1.38,1.41,1.35,1.4,349547.0
2015-08-21,1.36,1.38,1.35,1.36,248551.0
2015-08-24,1.28,1.33,1.26,1.28,469739.0
2015-08-25,1.31,1.32,1.26,1.27,388299.0
2015-08-26,1.27,1.3,1.25,1.29,267403.0
2015-08-27,1.33,1.4,1.33,1.39,456660.0
2015-08-28,1.37,1.37,1.33,1.35,190739.0
2015-08-31,1.29,1.35,1.27,1.35,268993.0
2015-09-01,1.3,1.31,1.27,1.3,237523.0
2015-09-02,1.29,1.29,1.25,1.27,202549.0
2015-09-03,1.25,1.33,1.25,1.31,278128.0
2015-09-04,1.33,1.37,1.3,1.32,401117.0
2015-09-08,1.33,1.33,1.25,1.27,478833.0
2015-09-09,1.29,1.3,1.25,1.26,190016.0
2015-09-10,1.22,1.28,1.2,1.25,384018.0
2015-09-11,1.23,1.28,1.23,1.27,180699.0
2015-09-14,1.29,1.34,1.25,1.32,423602.0
2015-09-15,1.3,1.35,1.3,1.35,217573.0
2015-09-16,1.4,1.41,1.37,1.4,1978033.0
2015-09-17,1.37,1.41,1.36,1.38,691898.0
2015-09-18,1.35,1.38,1.28,1.29,487019.0
2015-09-21,1.28,1.33,1.28,1.29,227621.0
2015-09-22,1.24,1.26,1.19,1.19,1408861.0
2015-09-23,1.19,1.21,1.17,1.19,289200.0
2015-09-24,1.14,1.22,1.12,1.21,446477.0
2015-09-25,1.23,1.26,1.2,1.23,488443.0
2015-09-28,1.23,1.23,1.17,1.17,519552.0
2015-09-29,1.18,1.23,1.18,1.2,1098503.0
2015-09-30,1.27,1.3,1.26,1.29,1107545.0
2015-10-01,1.29,1.32,1.25,1.25,180552.0
2015-10-02,1.25,1.36,1.25,1.35,1281706.0
2015-10-05,1.41,1.45,1.39,1.43,571249.0
2015-10-06,1.45,1.47,1.39,1.41,310176.0
2015-10-07,1.44,1.46,1.4,1.41,381470.0
2015-10-08,1.42,1.45,1.41,1.44,345610.0
2015-10-09,1.46,1.49,1.45,1.48,1219879.0
2015-10-12,1.49,1.5,1.47,1.47,124666.0
2015-10-13,1.43,1.47,1.33,1.37,604299.0
2015-10-14,1.37,1.41,1.33,1.37,189743.0
2015-10-15,1.37,1.4,1.34,1.36,346745.0
2015-10-16,1.36,1.37,1.3,1.31,644320.0
2015-10-19,1.28,1.29,1.26,1.29,364649.0
2015-10-20,1.31,1.31,1.27,1.3,718732.0
2015-10-21,1.27,1.27,1.22,1.23,523086.0
2015-10-22,1.26,1.32,1.23,1.29,371346.0
2015-10-23,1.31,1.32,1.3,1.31,284659.0
2015-10-26,1.35,1.35,1.27,1.28,264090.0
2015-10-27,1.28,1.29,1.26,1.27,172470.0
2015-10-28,1.28,1.28,1.2,1.24,707931.0
2015-10-29,1.22,1.25,1.22,1.23,226229.0
2015-10-30,1.24,1.26,1.23,1.26,1334781.0
2015-11-02,1.26,1.33,1.26,1.3,254880.0
2015-11-03,1.33,1.44,1.31,1.42,351027.0
2015-11-04,1.41,1.42,1.37,1.4,422671.0
2015-11-05,1.5,1.55,1.48,1.5,674497.0
2015-11-06,1.49,1.5,1.43,1.47,406464.0
2015-11-09,1.45,1.47,1.42,1.42,97510.0
2015-11-10,1.5,1.57,1.48,1.54,430611.0
2015-11-11,1.63,1.64,1.57,1.61,478859.0
2015-11-12,1.56,1.6,1.52,1.55,378564.0
2015-11-13,1.58,1.61,1.53,1.55,348424.0
2015-11-16,1.58,1.6,1.55,1.6,203738.0
2015-11-17,1.58,1.59,1.51,1.51,477037.0
2015-11-18,1.53,1.57,1.51,1.56,455779.0
2015-11-19,1.62,1.64,1.59,1.6,809312.0
2015-11-20,1.58,1.66,1.57,1.62,414408.0
2015-11-23,1.62,1.64,1.57,1.6,330926.0
2015-11-24,1.6,1.66,1.57,1.62,1028422.0
2015-11-25,1.56,1.59,1.53,1.55,691790.0
2015-11-27,1.58,1.59,1.48,1.49,543088.0
2015-11-30,1.47,1.48,1.41,1.41,324236.0
2015-12-01,1.39,1.41,1.33,1.35,320316.0
2015-12-02,1.42,1.46,1.39,1.45,640413.0
2015-12-03,1.58,1.59,1.51,1.52,744382.0
2015-12-04,1.47,1.49,1.42,1.43,386767.0
2015-12-07,1.47,1.48,1.39,1.4,419086.0
2015-12-08,1.37,1.41,1.35,1.39,406192.0
2015-12-09,1.46,1.5,1.43,1.46,342505.0
2015-12-10,1.44,1.47,1.42,1.42,437142.0
2015-12-11,1.46,1.47,1.39,1.42,652303.0
2015-12-14,1.42,1.43,1.36,1.36,513347.0
2015-12-15,1.41,1.43,1.39,1.41,726383.0
2015-12-16,1.36,1.46,1.32,1.45,780158.0
2015-12-17,1.46,1.47,1.41,1.42,528067.0
2015-12-18,1.41,1.43,1.36,1.37,738808.0
2015-12-21,1.38,1.38,1.3,1.31,350458.0
2015-12-22,1.32,1.35,1.3,1.34,516071.0
