Date,open,high,low,close,volume
2015-04-27,21.25,22.12,21.15,21.82,25875390.0
2015-04-28,22.46,22.82,22.33,22.68,32307483.0
2015-04-29,22.46,23.1,22.39,22.89,21323376.0
2015-04-30,22.68,23.66,22.42,23.27,24902209.0
2015-05-01,23.38,23.95,23.29,23.66,20140708.0
2015-05-04,23.82,23.97,23.25,23.39,13290893.0
2015-05-05,23.57,23.75,23.23,23.35,16110869.0
2015-05-06,23.65,23.67,23.04,23.26,13922114.0
2015-05-07,22.74,23.02,22.48,22.91,15352759.0
2015-05-08,23.27,23.61,23.12,23.29,15782906.0
2015-05-11,23.4,23.6,22.87,22.97,15630694.0
2015-05-12,22.98,23.1,22.66,22.73,13724597.0
2015-05-13,22.82,23.0,22.46,22.61,14235571.0
2015-05-14,22.78,23.29,22.66,22.8,13881541.0
2015-05-15,22.77,22.96,22.47,22.83,8994838.0
2015-05-18,22.64,22.68,22.04,22.13,12517920.0
2015-05-19,21.72,21.85,21.2,21.29,22232771.0
2015-05-20,21.38,21.38,20.88,21.08,12641293.0
2015-05-21,21.24,21.56,20.85,21.35,17006182.0
2015-05-22,21.19,21.3,20.9,20.99,12095008.0
2015-05-26,20.7,20.75,19.87,20.08,19875296.0
2015-05-27,20.03,20.36,19.9,20.15,14136992.0
2015-05-28,20.07,20.24,19.72,20.16,11867659.0
2015-05-29,20.05,20.07,19.65,19.65,13161003.0
2015-06-01,19.75,19.75,19.3,19.35,11319567.0
2015-06-02,19.52,20.68,19.51,20.46,16519291.0
2015-06-03,20.46,20.65,19.8,19.87,16911814.0
2015-06-04,19.65,19.7,19.4,19.52,14514659.0
2015-06-05,19.36,19.76,19.26,19.65,10884876.0
2015-06-08,19.9,19.9,19.28,19.4,11460541.0
2015-06-09,19.6,20.22,19.53,20.02,15666244.0
2015-06-10,20.54,20.78,20.45,20.56,15504066.0
2015-06-11,20.36,20.4,19.8,19.93,12455988.0
2015-06-12,19.85,19.87,19.52,19.81,9417992.0
