Date,open,high,low,close,volume
2024-05-09,47.22,48.29,38.0,40.0,94935.0
2024-05-10,39.0,39.0,37.0,37.5,29354.0
2024-05-13,38.0,38.61,37.805,37.9,8708.0
2024-05-14,40.0,41.02,38.96,40.4,6963.0
2024-05-15,40.9,42.46,40.41,41.52,131153.0
2024-05-16,41.04,41.21,40.18,40.49,27263.0
2024-05-17,40.365,41.42,40.365,40.62,7526.0
2024-05-20,39.61,40.59,39.6,40.0,3146.0
2024-05-21,40.52,40.9,39.6,40.9,80575.0
2024-05-22,40.4,40.4,39.61,40.12,27018.0
2024-05-23,40.14,40.78,39.52,40.0,86979.0
2024-05-24,39.74,41.7,39.26,40.21,53919.0
2024-05-28,39.73,40.28,39.61,40.1,6058.0
2024-05-29,39.6,39.6,39.205,39.6,8760.0
2024-05-30,39.7,40.44,39.67,40.25,8325.0
2024-05-31,39.87,40.495,39.44,40.495,3493.0
2024-06-03,39.48,40.9,39.25,40.4,7782.0
2024-06-04,39.42,40.1,39.42,39.91,10136.0
2024-06-05,39.7,40.71,39.6999,40.5,4512.0
2024-06-06,39.95,40.075,39.87,39.87,4512.0
2024-06-07,39.7,39.9999,39.29,39.69,6920.0
2024-06-10,38.85,39.4,38.735,39.4,4711.0
2024-06-11,38.5,44.0,37.97,41.39,19278.0
2024-06-12,39.53,40.45,39.53,39.9,9001.0
2024-06-13,39.59,40.06,39.15,39.23,6045.0
2024-06-14,39.28,40.24,38.78,39.355,12530.0
2024-06-17,38.76,38.8,38.27,38.51,26098.0
2024-06-18,39.33,39.6,39.02,39.02,16581.0
2024-06-20,39.46,39.9,38.95,39.6,20562.0
2024-06-21,38.78,39.2,37.92,37.92,34568.0
2024-06-24,39.26,39.99,38.97,39.76,23073.0
2024-06-25,38.98,40.38,38.98,39.8,20318.0
2024-06-26,39.23,40.94,39.1422,39.8,63234.0
2024-06-27,39.34,39.72,39.11,39.3,49014.0
2024-06-28,39.0,39.5,38.74,38.89,13207.0
2024-07-01,39.46,39.6,38.9,39.0,15224.0
2024-07-02,38.99,40.035,38.98,39.25,66779.0
2024-07-03,39.79,40.78,39.79,40.18,26025.0
2024-07-05,40.66,41.0,40.41,40.62,11025.0
2024-07-08,40.71,40.9,40.53,40.65,18398.0
2024-07-09,39.96,39.96,39.39,39.71,16139.0
2024-07-10,40.04,40.83,39.97,40.31,14051.0
2024-07-11,41.56,42.33,41.464,41.52,23860.0
2024-07-12,42.02,42.6,40.81,42.31,20395.0
2024-07-15,42.17,42.28,41.65,41.95,15475.0
2024-07-16,41.54,42.03,41.5,42.01,24288.0
2024-07-17,41.91,42.23,41.71,42.23,17745.0
2024-07-18,42.16,42.28,41.78,41.91,21073.0
2024-07-19,41.79,41.97,41.44,41.83,16210.0
2024-07-22,42.41,42.67,42.16,42.56,17329.0
2024-07-23,42.06,42.48,41.94,42.25,51381.0
2024-07-24,41.87,42.22,41.69,41.74,23386.0
2024-07-25,41.56,42.17,41.4,41.79,30230.0
2024-07-26,41.42,42.12,41.42,41.72,34517.0
2024-07-29,41.44,41.51,41.19,41.42,39379.0
2024-07-30,42.04,42.91,41.79,42.54,22023.0
2024-07-31,40.28,40.33,39.52,39.82,44332.0
2024-08-01,39.55,39.7026,38.76,38.8,21831.0
2024-08-02,39.13,39.79,39.13,39.55,15558.0
2024-08-05,38.78,39.25,38.39,38.53,28251.0
2024-08-06,38.105,38.95,38.105,38.77,32000.0
2024-08-07,39.13,39.71,39.13,39.3,27998.0
2024-08-08,38.98,39.41,38.95,39.3,31200.0
2024-08-09,39.2295,39.4,39.1,39.34,21465.0
2024-08-12,39.0,39.51,39.0,39.24,27762.0
2024-08-13,39.6,39.995,39.6,39.93,37772.0
2024-08-14,39.99,40.46,39.98,40.18,13523.0
2024-08-15,40.3,40.77,40.1,40.22,53793.0
2024-08-16,39.87,40.25,39.87,40.19,65927.0
2024-08-19,40.57,40.82,40.57,40.71,11548.0
2024-08-20,40.76,41.29,40.495,40.8,4652.0
2024-08-21,40.55,41.04,40.55,40.77,23455.0
2024-08-22,40.94,40.94,40.74,40.76,12267.0
2024-08-23,41.05,41.8,41.03,41.75,9299.0
2024-08-26,41.08,41.22,40.96,41.07,26014.0
2024-08-27,41.05,41.26,40.9656,41.08,19749.0
2024-08-28,41.6,41.71,40.97,41.35,29869.0
2024-08-29,41.25,41.59,41.25,41.28,25831.0
2024-08-30,41.76,42.1,41.68,42.06,38152.0
2024-09-03,41.81,41.845,41.09,41.16,207259.0
2024-09-04,41.21,41.72,41.21,41.57,18514.0
2024-09-05,41.9669,42.05,41.7001,41.79,13440.0
