Date,open,high,low,close,volume
2015-04-27,58.7,58.91,57.54,58.25,144179.0
2015-04-28,58.27,58.77,57.78,58.44,147491.0
2015-04-29,58.31,58.75,57.86,57.98,107169.0
2015-04-30,57.51,57.6,55.41,55.84,272776.0
2015-05-01,55.92,56.82,55.22,56.43,187769.0
2015-05-04,56.48,56.99,55.83,56.01,140508.0
2015-05-05,55.86,56.41,55.1,55.28,182082.0
2015-05-06,55.32,55.78,54.81,55.44,170913.0
2015-05-07,55.26,55.78,55.15,55.39,125211.0
2015-05-08,55.89,56.24,55.12,55.38,154241.0
2015-05-11,55.29,55.99,55.29,55.82,263787.0
2015-05-12,55.82,55.95,54.73,55.67,152245.0
2015-05-13,55.84,56.34,55.51,55.96,112386.0
2015-05-14,56.16,56.82,56.01,56.59,113446.0
2015-05-15,56.42,56.74,55.72,56.0,122934.0
2015-05-18,55.71,56.97,55.71,56.77,262193.0
2015-05-19,56.88,58.27,56.45,58.05,283017.0
2015-05-20,58.49,63.73,58.49,60.95,750941.0
2015-05-21,61.19,61.42,60.43,61.09,303177.0
2015-05-22,61.1,61.46,60.17,60.22,184742.0
2015-05-26,59.88,60.16,58.83,59.55,261949.0
2015-05-27,59.81,59.81,58.35,59.09,315675.0
2015-05-28,59.08,59.43,58.28,59.25,196583.0
2015-05-29,59.15,59.15,57.27,57.3,253404.0
2015-06-01,57.86,58.4,56.93,57.78,227296.0
2015-06-02,57.57,58.36,57.18,57.74,202971.0
2015-06-03,57.8,58.82,57.63,58.34,200866.0
2015-06-04,57.98,58.26,56.97,57.08,167450.0
2015-06-05,56.94,58.18,56.2,58.07,229532.0
2015-06-08,57.95,58.22,57.19,57.95,190388.0
2015-06-09,58.02,58.42,57.19,57.24,137328.0
2015-06-10,57.84,58.77,57.8,58.01,184150.0
2015-06-11,58.02,58.5,57.85,58.41,125806.0
2015-06-12,58.25,58.28,57.62,57.89,108716.0
2015-06-15,57.25,57.68,56.68,57.41,230315.0
2015-06-16,57.25,59.11,57.25,58.34,229949.0
2015-06-17,58.6,58.79,57.86,58.14,189498.0
2015-06-18,58.46,59.7,57.78,58.35,342800.0
2015-06-19,58.54,58.99,57.93,58.82,295113.0
2015-06-22,59.32,60.55,58.58,60.43,322332.0
2015-06-23,60.53,61.05,59.49,61.01,291671.0
2015-06-24,60.78,60.99,60.27,60.47,258937.0
2015-06-25,60.83,61.85,60.48,61.8,284503.0
2015-06-26,62.12,62.17,59.45,59.74,3410196.0
2015-06-29,59.29,59.89,58.44,58.47,191271.0
2015-06-30,59.05,59.05,58.06,58.3,181566.0
2015-07-01,58.86,59.75,58.13,58.5,170036.0
2015-07-02,58.71,58.71,57.49,57.62,122446.0
2015-07-06,57.37,57.89,57.25,57.74,147759.0
2015-07-07,57.81,57.96,56.85,57.57,121217.0
2015-07-08,57.13,57.37,56.56,57.15,151078.0
2015-07-09,57.63,57.83,56.69,56.96,109719.0
2015-07-10,57.55,57.81,56.89,57.39,118057.0
2015-07-13,57.78,57.95,57.3,57.82,119691.0
2015-07-14,57.97,58.87,57.35,58.65,190001.0
2015-07-15,58.72,58.95,57.31,57.52,303321.0
2015-07-16,58.01,58.45,57.7,57.92,147123.0
2015-07-17,57.76,58.48,57.76,58.48,115363.0
2015-07-20,58.47,59.17,58.47,58.71,182115.0
2015-07-21,58.63,58.63,56.53,56.57,150481.0
2015-07-22,56.72,56.81,56.07,56.35,139777.0
2015-07-23,56.33,56.56,55.5,55.63,156320.0
2015-07-24,55.61,55.85,55.09,55.13,151736.0
2015-07-27,54.86,54.96,54.11,54.18,285030.0
2015-07-28,54.31,54.54,53.08,53.21,219294.0
2015-07-29,53.17,54.57,52.99,54.19,174823.0
2015-07-30,54.0,54.61,53.64,54.47,136399.0
2015-07-31,54.66,55.19,54.3,54.83,110739.0
2015-08-03,54.9,54.9,53.19,53.89,144202.0
2015-08-04,53.88,54.7,53.72,53.87,165126.0
2015-08-05,54.32,54.67,53.83,53.92,127451.0
2015-08-06,54.18,54.46,53.27,54.22,115855.0
2015-08-07,53.95,54.32,53.63,54.2,99052.0
2015-08-10,54.51,55.48,54.47,55.43,147048.0
2015-08-11,54.85,55.32,54.54,55.05,107124.0
2015-08-12,54.63,54.66,53.8,54.42,121747.0
2015-08-13,54.52,54.65,53.82,54.27,161458.0
2015-08-14,54.19,55.0,54.01,54.97,144439.0
2015-08-17,54.82,55.63,54.4,55.6,170468.0
2015-08-18,55.53,55.53,54.81,55.06,100050.0
2015-08-19,54.76,55.29,54.07,54.44,108225.0
2015-08-20,53.96,54.35,53.24,53.27,170041.0
2015-08-21,52.38,53.47,51.9,52.79,213601.0
2015-08-24,50.15,52.99,50.11,51.5,305304.0
2015-08-25,53.11,53.11,50.46,50.73,294536.0
2015-08-26,53.0,53.0,48.73,50.36,715545.0
2015-08-27,50.5,50.99,48.68,49.91,351588.0
2015-08-28,49.76,50.92,48.54,50.41,240130.0
2015-08-31,50.15,51.47,49.69,50.9,252701.0
2015-09-01,50.27,50.47,49.5,49.78,165930.0
2015-09-02,50.18,50.74,49.92,50.68,150794.0
2015-09-03,50.76,51.25,50.37,50.42,147638.0
2015-09-04,49.91,50.7,49.88,50.44,107536.0
2015-09-08,50.95,51.61,50.48,51.28,373342.0
2015-09-09,51.58,51.76,50.31,50.35,219426.0
2015-09-10,50.31,50.5,49.49,49.59,284318.0
2015-09-11,49.43,50.25,49.17,50.01,196995.0
