Date,open,high,low,close,volume
2015-04-27,190.04,193.56,183.3,183.71,1674968.0
2015-04-28,184.7,186.26,178.68,184.38,1445056.0
2015-04-29,184.86,186.68,181.84,186.5,1224245.0
2015-04-30,185.88,187.79,182.1,184.25,1605330.0
2015-05-01,185.83,191.42,185.51,191.19,1440196.0
2015-05-04,190.6,191.5,187.01,189.65,922921.0
2015-05-05,188.42,189.36,185.1,187.04,1261418.0
2015-05-06,187.79,189.0,186.01,188.55,1021598.0
2015-05-07,188.43,192.99,187.2,190.82,1636206.0
2015-05-08,192.77,196.75,191.12,195.89,1451063.0
2015-05-11,196.49,197.84,195.0,197.54,1026695.0
2015-05-12,195.72,197.41,194.61,196.97,1127868.0
2015-05-13,197.14,198.3,195.13,198.23,1460700.0
2015-05-14,198.1,200.08,196.72,198.92,1592459.0
2015-05-15,200.0,200.1,198.06,199.07,963711.0
2015-05-18,198.53,201.19,198.5,200.76,956988.0
2015-05-19,200.77,202.88,200.06,202.14,876767.0
2015-05-20,202.28,203.15,199.81,201.97,1311184.0
2015-05-21,202.21,203.66,202.0,203.12,766815.0
2015-05-22,203.4,205.73,203.0,205.0,1087966.0
2015-05-26,204.36,206.33,202.58,205.09,1294685.0
2015-05-27,206.62,210.44,205.75,209.47,1682308.0
2015-05-28,209.7,210.44,207.13,208.62,925439.0
2015-05-29,208.62,208.9,205.41,206.15,953691.0
2015-06-01,206.51,206.99,204.2,205.44,803852.0
2015-06-02,205.78,205.99,202.75,205.23,675019.0
2015-06-03,206.25,209.13,205.3,209.02,998361.0
2015-06-04,207.46,209.29,207.27,207.96,1043964.0
2015-06-05,207.49,211.53,206.4,210.21,1105693.0
2015-06-08,208.38,211.25,203.57,210.66,1959539.0
2015-06-09,210.0,215.74,209.0,215.59,2310506.0
2015-06-10,214.24,216.9,211.41,215.45,1374663.0
2015-06-11,216.75,219.09,214.93,217.8,967763.0
2015-06-12,216.11,217.0,213.37,215.27,1074595.0
2015-06-15,215.83,215.9,213.11,215.07,930415.0
2015-06-16,215.76,217.13,213.77,215.94,933562.0
2015-06-17,216.82,217.08,214.41,215.37,637066.0
2015-06-18,216.1,220.0,216.1,218.76,890048.0
2015-06-19,219.32,219.58,216.67,218.18,895160.0
2015-06-22,219.99,220.61,218.21,220.01,889078.0
2015-06-23,219.87,221.33,218.13,220.75,1444127.0
2015-06-24,220.0,223.08,219.03,220.33,1736034.0
2015-06-25,222.16,223.0,218.5,219.0,1460046.0
2015-06-26,218.21,220.16,215.02,218.85,2788326.0
2015-06-29,215.63,218.6,213.69,214.1,1567726.0
2015-06-30,216.47,218.83,215.4,218.26,1200058.0
2015-07-01,220.7,223.38,219.53,220.71,1659594.0
2015-07-02,222.16,222.2,219.25,220.09,933531.0
2015-07-06,218.7,221.87,217.6,220.51,1395555.0
2015-07-07,221.62,221.99,218.0,221.7,1235296.0
2015-07-08,220.5,221.06,213.31,213.9,1869175.0
2015-07-09,216.36,218.95,216.0,217.17,1292059.0
2015-07-10,219.81,220.18,216.42,219.42,895649.0
2015-07-13,222.75,222.75,220.51,221.42,817251.0
2015-07-14,222.0,230.33,220.68,229.26,1551431.0
2015-07-15,231.58,232.0,228.3,229.08,1092493.0
2015-07-16,231.2,231.5,228.08,230.76,777413.0
2015-07-17,232.52,240.0,230.0,239.81,1726456.0
2015-07-20,240.84,242.37,238.95,240.02,1658944.0
2015-07-21,240.2,240.78,232.08,237.54,2164827.0
2015-07-22,210.94,220.0,207.02,217.49,6807683.0
2015-07-23,219.46,220.19,212.32,219.94,2945413.0
2015-07-24,219.86,223.24,217.03,220.99,1817225.0
2015-07-27,218.92,219.4,214.01,217.27,1481466.0
2015-07-28,219.45,219.79,215.44,217.82,1269175.0
2015-07-29,217.93,219.66,214.73,217.18,950865.0
