Date,open,high,low,close,volume
2015-04-27,32.08,32.69,32.08,32.49,25818628.0
2015-04-28,32.3,33.04,32.23,33.02,29446366.0
2015-04-29,32.56,33.0,32.55,32.88,21658482.0
2015-04-30,32.71,32.85,32.29,32.56,20962886.0
2015-05-01,32.63,33.49,32.62,33.43,27018737.0
2015-05-04,33.27,33.5,33.22,33.44,21327884.0
2015-05-05,33.0,33.1,32.56,32.64,29543521.0
2015-05-06,32.5,32.79,31.93,32.22,31808747.0
2015-05-07,32.27,32.63,32.18,32.24,21204251.0
2015-05-08,32.51,32.88,32.34,32.79,26195808.0
2015-05-11,32.68,32.71,32.43,32.69,18077199.0
2015-05-12,32.44,32.5,32.0,32.25,24336678.0
2015-05-13,32.27,32.9,32.27,32.64,20277908.0
2015-05-14,32.86,33.13,32.77,32.97,20837693.0
2015-05-15,33.09,33.12,32.75,32.99,17026290.0
2015-05-18,32.98,33.41,32.85,33.4,23540743.0
2015-05-19,33.36,33.38,32.99,33.15,20564139.0
2015-05-20,33.06,33.5,33.01,33.37,21272406.0
2015-05-21,33.21,33.56,33.07,33.55,21200135.0
2015-05-22,33.47,33.51,33.32,33.45,20601754.0
2015-05-26,33.27,33.29,32.84,33.1,28397856.0
2015-05-27,33.2,33.85,33.13,33.71,25050546.0
2015-05-28,33.74,34.15,33.68,34.02,26548092.0
2015-05-29,34.24,34.75,34.21,34.51,41683861.0
2015-06-01,34.37,34.59,33.68,33.9,46663274.0
2015-06-02,33.64,33.75,33.14,33.27,36055084.0
2015-06-03,33.17,33.24,32.59,32.74,37857249.0
2015-06-04,32.51,32.72,32.2,32.31,33438321.0
2015-06-05,32.28,32.29,31.83,31.84,27610962.0
2015-06-08,31.81,31.95,31.21,31.3,37915087.0
2015-06-09,31.33,31.66,31.15,31.25,33642908.0
2015-06-10,31.46,32.15,31.37,31.81,33264870.0
2015-06-11,31.95,32.1,31.84,31.87,24051394.0
2015-06-12,31.72,32.1,31.2,31.32,31502638.0
2015-06-15,31.12,31.51,30.94,31.39,22979199.0
2015-06-16,31.26,31.75,31.13,31.63,20211788.0
2015-06-17,31.75,32.09,31.69,31.95,28112747.0
2015-06-18,32.08,32.49,32.0,32.38,27551100.0
2015-06-19,32.4,32.57,31.96,32.07,36162923.0
2015-06-22,32.26,32.38,32.08,32.26,23579410.0
2015-06-23,32.3,32.34,31.93,32.08,17911715.0
2015-06-24,32.15,32.15,31.88,31.92,23227717.0
2015-06-25,32.02,32.32,31.99,31.99,22606165.0
2015-06-26,31.51,31.53,30.76,31.02,54244596.0
2015-06-29,30.7,30.98,30.3,30.39,35047037.0
2015-06-30,30.63,30.69,30.15,30.41,33716491.0
2015-07-01,30.49,30.55,30.01,30.18,27079668.0
2015-07-02,30.18,30.92,30.1,30.55,26976655.0
2015-07-06,30.24,30.45,29.84,30.04,32311142.0
2015-07-07,29.87,29.93,29.09,29.9,43477261.0
2015-07-08,29.4,29.66,29.15,29.5,44985823.0
2015-07-09,29.72,29.89,28.82,28.93,46855044.0
2015-07-10,29.2,29.35,28.94,29.16,31133675.0
2015-07-13,29.27,29.82,29.19,29.73,26326528.0
2015-07-14,29.66,30.11,29.44,29.64,39255498.0
2015-07-15,29.65,29.99,29.46,29.69,42170673.0
2015-07-16,30.47,30.48,29.1,29.9,80657461.0
2015-07-17,29.66,29.8,29.1,29.47,43240767.0
