Date,open,high,low,close,volume
2015-04-27,25.36,25.41,25.36,25.38,10646.0
2015-04-28,25.38,25.41,25.32,25.33,8565.0
2015-04-29,25.3,25.35,25.23,25.33,17741.0
2015-04-30,25.29,25.3299,25.23,25.27,19497.0
2015-05-01,25.4,25.42,25.35,25.4,26929.0
2015-05-04,25.37,25.5,25.37,25.39,22443.0
2015-05-05,25.34,25.39,25.33,25.39,13254.0
2015-05-06,25.29,25.32,25.12,25.12,50835.0
2015-05-07,25.16,25.22,25.15,25.18,28367.0
2015-05-08,25.23,25.41,25.23,25.4,9589.0
2015-05-11,25.3552,25.3552,25.188,25.19,13765.0
2015-05-12,25.13,25.4,25.13,25.26,24776.0
2015-05-13,25.34,25.51,25.26,25.5,25176.0
2015-05-14,25.532,25.64,25.49,25.59,41012.0
2015-05-15,25.5,25.66,25.42,25.5,14226.0
2015-05-18,25.42,25.4999,25.35,25.35,15227.0
2015-05-19,25.36,25.38,25.26,25.34,29791.0
2015-05-20,25.37,25.46,25.339,25.43,12813.0
2015-05-21,25.44,25.55,25.44,25.49,17805.0
2015-05-22,25.51,25.561,25.478,25.55,20519.0
2015-05-26,25.55,25.55,25.46,25.4702,8809.0
2015-05-27,25.43,25.49,25.43,25.45,11612.0
2015-05-28,25.45,25.6,25.45,25.5448,21680.0
2015-05-29,25.5357,25.55,25.52,25.53,7637.0
2015-06-01,25.56,25.63,25.48,25.51,18065.0
2015-06-02,25.45,25.57,25.45,25.53,24937.0
2015-06-03,25.5,25.59,25.47,25.56,12716.0
2015-06-04,25.57,25.6,25.57,25.59,14585.0
2015-06-05,25.56,25.62,25.5301,25.55,15012.0
2015-06-08,25.53,25.63,25.53,25.58,15766.0
2015-06-09,25.55,25.57,25.43,25.43,14717.0
2015-06-10,25.37,25.62,25.37,25.4701,13599.0
2015-06-11,25.51,25.52,25.49,25.49,4593.0
2015-06-12,25.52,25.55,25.45,25.45,10359.0
2015-06-15,25.44,25.48,25.37,25.37,10632.0
2015-06-16,25.35,25.52,25.35,25.48,19919.0
2015-06-17,25.48,25.59,25.45,25.5726,17976.0
2015-06-18,25.59,25.65,25.52,25.54,25076.0
2015-06-19,25.54,25.58,25.42,25.46,10627.0
2015-06-22,25.46,25.5232,25.45,25.51,8713.0
2015-06-23,25.51,25.6499,25.51,25.6193,33370.0
2015-06-24,25.64,25.68,25.62,25.63,22918.0
2015-06-25,25.65,25.71,25.6414,25.675,34391.0
2015-06-26,25.74,25.74,25.65,25.65,30269.0
2015-06-29,25.3,25.37,25.3,25.35,17955.0
2015-06-30,25.35,25.6,25.35,25.58,108357.0
2015-07-01,25.59,25.61,25.55,25.6,9770.0
2015-07-02,25.63,25.63,25.52,25.57,18735.0
2015-07-06,25.55,25.57,25.5,25.56,15608.0
2015-07-07,25.51,25.5592,25.51,25.55,8552.0
2015-07-08,25.58,25.59,25.52,25.53,24033.0
2015-07-09,25.59,25.6,25.5405,25.55,30264.0
2015-07-10,25.61,25.61,25.51,25.52,17901.0
2015-07-13,25.51,25.62,25.51,25.54,14704.0
2015-07-14,25.5503,25.59,25.53,25.56,12494.0
2015-07-15,25.6,25.63,25.55,25.6032,17427.0
2015-07-16,25.77,25.87,25.71,25.79,25867.0
2015-07-17,25.79,25.79,25.7195,25.79,23599.0
2015-07-20,25.79,25.8028,25.68,25.68,22900.0
2015-07-21,25.66,25.72,25.66,25.7,15151.0
2015-07-22,25.63,25.68,25.63,25.6501,4338.0
2015-07-23,25.65,25.65,25.55,25.63,13413.0
2015-07-24,25.72,25.72,25.59,25.62,10608.0
2015-07-27,25.59,25.61,25.561,25.61,6938.0
2015-07-28,25.58,25.73,25.54,25.7,18252.0
2015-07-29,25.65,25.7,25.54,25.54,13818.0
2015-07-30,25.55,25.67,25.55,25.65,14920.0
2015-07-31,25.62,25.71,25.62,25.65,5574.0
2015-08-03,25.64,25.64,25.56,25.64,17613.0
2015-08-04,25.61,25.69,25.6,25.6,12930.0
2015-08-05,25.6349,25.68,25.6101,25.65,9275.0
2015-08-06,25.68,25.7,25.63,25.68,15831.0
2015-08-07,25.638,25.68,25.63,25.68,5873.0
2015-08-10,25.64,25.72,25.62,25.68,16769.0
