Date,open,high,low,close,volume
2015-04-27,58.88,60.8,58.67,59.48,2965181.0
2015-04-28,59.49,59.94,58.95,59.77,1134650.0
2015-04-29,59.29,59.85,58.96,59.26,1769337.0
2015-04-30,59.11,59.58,58.45,58.8,1464673.0
2015-05-01,59.11,60.09,58.89,60.08,982855.0
2015-05-04,60.17,60.46,60.1,60.28,718864.0
2015-05-05,59.84,60.0,58.45,58.49,1529600.0
2015-05-06,58.56,59.12,57.77,58.26,917033.0
2015-05-07,58.39,58.96,58.22,58.86,730350.0
2015-05-08,59.19,60.23,59.15,59.79,1588065.0
2015-05-11,59.67,60.17,59.49,59.61,1051789.0
2015-05-12,59.03,59.21,57.8,58.73,1526123.0
2015-05-13,58.77,59.48,58.33,58.88,985127.0
2015-05-14,59.11,59.49,58.35,59.35,1452633.0
2015-05-15,59.59,60.28,59.38,59.91,1354351.0
2015-05-18,59.85,60.09,59.63,59.73,952528.0
2015-05-19,59.74,60.15,58.88,59.08,1227098.0
2015-05-20,59.05,59.64,58.82,59.08,702013.0
2015-05-21,59.07,59.24,58.75,59.16,690505.0
2015-05-22,58.95,59.58,58.83,59.11,854333.0
2015-05-26,58.76,58.88,58.05,58.25,1001109.0
2015-05-27,58.33,60.13,58.08,59.98,1370760.0
2015-05-28,59.98,60.72,59.85,60.27,923182.0
2015-05-29,60.06,60.5,59.43,59.65,1614316.0
2015-06-01,60.07,60.09,59.41,59.79,1162452.0
2015-06-02,59.53,59.73,59.01,59.35,961144.0
2015-06-03,59.7,59.84,58.58,58.64,1368561.0
2015-06-04,58.27,58.49,57.02,57.25,1819162.0
2015-06-05,57.31,57.4,56.7,56.97,1037180.0
2015-06-08,56.8,57.02,55.62,55.97,1353445.0
2015-06-09,56.0,56.05,55.42,55.65,1227541.0
2015-06-10,55.96,56.76,55.92,56.17,1148315.0
2015-06-11,56.33,56.59,56.14,56.47,1001810.0
2015-06-12,56.05,56.05,55.51,55.89,789407.0
2015-06-15,55.32,56.69,55.24,56.43,1476866.0
2015-06-16,56.52,57.29,56.32,57.2,1254671.0
2015-06-17,57.23,57.42,56.7,57.13,854870.0
2015-06-18,57.31,58.34,57.17,58.19,1154225.0
