Date,open,high,low,close,volume
2015-04-27,41.0,41.15,40.78,40.83,9995678.0
2015-04-28,40.95,40.97,40.6,40.77,12027445.0
2015-04-29,40.66,40.75,40.4,40.49,11247056.0
2015-04-30,40.4,40.58,40.28,40.56,12270890.0
2015-05-01,40.58,40.93,40.5,40.91,10780357.0
2015-05-04,40.88,41.1,40.77,40.96,10167736.0
2015-05-05,41.14,41.14,40.68,40.75,11677580.0
2015-05-06,41.04,41.09,40.39,40.66,11709602.0
2015-05-07,40.53,40.91,40.51,40.7,13794719.0
2015-05-08,41.0,41.17,40.85,40.98,11097471.0
2015-05-11,40.98,41.39,40.88,40.94,10100565.0
2015-05-12,40.77,40.96,40.52,40.69,11862998.0
2015-05-13,40.75,41.36,40.72,41.05,13092859.0
2015-05-14,41.3,41.59,41.25,41.5,9769427.0
2015-05-15,41.45,41.69,41.43,41.52,8448908.0
2015-05-18,41.49,41.49,41.25,41.32,11442064.0
2015-05-19,41.23,41.39,41.13,41.31,9035060.0
2015-05-20,41.37,41.59,41.31,41.35,10952256.0
2015-05-21,41.26,41.32,41.07,41.23,9267798.0
2015-05-22,41.12,41.24,41.04,41.21,11874541.0
2015-05-26,41.12,41.18,40.74,40.99,15153205.0
2015-05-27,40.94,41.2,40.83,41.12,9816766.0
2015-05-28,41.2,41.3,40.88,41.14,9227223.0
2015-05-29,41.18,41.18,40.76,40.96,19084978.0
2015-06-01,41.36,41.4,40.88,40.94,12413995.0
2015-06-02,40.84,41.15,40.68,40.99,11877573.0
2015-06-03,41.1,41.21,40.78,40.87,8148232.0
2015-06-04,40.71,40.98,40.53,40.59,10055345.0
2015-06-05,40.48,40.52,40.08,40.1,15915732.0
2015-06-08,40.1,40.26,40.02,40.16,14193934.0
2015-06-09,40.17,40.41,40.11,40.2,10497084.0
2015-06-10,40.32,40.54,40.28,40.33,11894245.0
2015-06-11,40.11,40.25,40.03,40.1,10663805.0
2015-06-12,40.04,40.12,39.84,39.96,15491197.0
2015-06-15,39.83,39.86,39.57,39.59,11233394.0
2015-06-16,39.63,40.15,39.6,40.08,12475786.0
2015-06-17,40.08,40.32,40.01,40.27,13657011.0
2015-06-18,40.16,40.74,40.16,40.65,15851027.0
2015-06-19,40.59,40.65,40.4,40.4,20298114.0
2015-06-22,40.51,40.81,40.46,40.48,8718223.0
2015-06-23,40.43,40.52,40.31,40.38,11036191.0
2015-06-24,40.37,40.45,40.19,40.19,7761476.0
2015-06-25,40.28,40.34,40.02,40.02,10585165.0
2015-06-26,40.1,40.35,40.0,40.0,15553450.0
2015-06-29,39.8,39.98,39.4,39.4,15331343.0
2015-06-30,39.61,39.61,39.12,39.23,14547669.0
2015-07-01,39.38,39.6,39.28,39.5,10922650.0
2015-07-02,39.63,39.81,39.35,39.49,8855854.0
2015-07-06,39.32,39.6,39.22,39.42,10193313.0
2015-07-07,39.49,40.37,39.39,40.25,20037608.0
2015-07-08,39.99,40.23,39.84,39.86,11283721.0
2015-07-09,40.46,40.58,39.9,39.92,13305216.0
2015-07-10,40.27,40.52,40.16,40.39,13160292.0
2015-07-13,40.56,40.77,40.49,40.66,9797371.0
2015-07-14,40.9,41.26,40.84,41.17,19434855.0
2015-07-15,41.15,41.36,41.1,41.13,11221260.0
2015-07-16,41.42,41.6,41.35,41.48,10457561.0
2015-07-17,41.31,41.32,41.05,41.25,9569568.0
2015-07-20,41.35,41.54,41.22,41.38,9996331.0
2015-07-21,41.38,41.52,41.1,41.19,13273950.0
2015-07-22,40.81,41.59,40.59,40.9,15481783.0
2015-07-23,40.99,41.02,40.48,40.84,13468264.0
2015-07-24,40.76,40.83,40.41,40.44,10904884.0
2015-07-27,40.28,40.58,40.16,40.54,10882157.0
2015-07-28,40.65,40.73,40.44,40.55,10669594.0
2015-07-29,40.53,40.71,40.49,40.59,8438422.0
2015-07-30,40.55,40.75,40.39,40.56,8821900.0
2015-07-31,40.88,41.22,40.77,41.08,15208113.0
2015-08-03,40.85,41.55,40.84,41.54,14538445.0
2015-08-04,41.51,41.87,41.34,41.85,17363340.0
2015-08-05,41.92,42.22,41.82,42.12,15292268.0
2015-08-06,42.0,42.25,41.86,41.92,11315828.0
2015-08-07,41.81,41.97,41.53,41.77,10876834.0
2015-08-10,41.89,41.99,41.58,41.68,8208192.0
2015-08-11,41.4,41.57,41.17,41.48,11072970.0
2015-08-12,41.13,41.26,40.85,41.26,9602159.0
2015-08-13,41.28,41.38,41.01,41.1,10147722.0
2015-08-14,41.01,41.25,40.96,41.25,9904768.0
2015-08-17,41.03,41.45,40.97,41.35,8179109.0
2015-08-18,41.28,41.53,41.19,41.3,11189033.0
2015-08-19,41.14,41.24,40.78,40.78,15704801.0
2015-08-20,40.52,40.82,40.42,40.55,14201919.0
2015-08-21,40.16,40.47,39.51,39.53,27193502.0
2015-08-24,37.99,38.94,36.56,38.38,43512901.0
2015-08-25,39.13,39.27,37.93,37.99,30719852.0
2015-08-26,38.75,38.83,37.89,38.73,23221847.0
2015-08-27,39.06,39.38,38.6,39.27,17248310.0
2015-08-28,39.11,39.47,39.05,39.45,14478028.0
2015-08-31,39.15,39.45,39.05,39.32,12509794.0
2015-09-01,38.67,39.03,38.54,38.75,23514192.0
2015-09-02,39.03,39.07,38.56,38.9,14033072.0
2015-09-03,38.9,39.34,38.84,39.16,13250709.0
2015-09-04,38.68,38.79,38.37,38.52,15376869.0
2015-09-08,38.87,39.03,38.6,38.9,15009603.0
2015-09-09,39.12,39.21,38.2,38.3,13658969.0
2015-09-10,38.31,38.65,38.25,38.42,14889577.0
2015-09-11,38.01,38.19,37.84,38.13,11706499.0
2015-09-14,38.22,38.22,37.85,38.1,8896115.0
2015-09-15,38.07,38.63,37.92,38.5,12934886.0
2015-09-16,38.67,39.19,38.47,39.15,22120022.0
2015-09-17,39.15,39.61,39.04,39.38,20990900.0
2015-09-18,38.86,39.3,38.71,38.98,27196047.0
2015-09-21,39.05,39.31,38.94,39.19,12555186.0
2015-09-22,38.68,38.99,38.58,38.79,14916591.0
2015-09-23,38.79,38.88,38.55,38.76,8879987.0
2015-09-24,38.52,39.19,38.51,39.15,19109267.0
2015-09-25,39.43,40.08,39.33,39.62,22157283.0
2015-09-28,39.52,39.82,39.33,39.53,19302596.0
2015-09-29,39.52,39.71,39.33,39.66,14113032.0
2015-09-30,39.88,40.23,39.8,40.12,19504072.0
2015-10-01,40.22,40.47,39.6,39.8,19545385.0
2015-10-02,39.56,40.39,39.36,40.39,15222932.0
2015-10-05,40.45,41.05,40.43,41.01,15374053.0
2015-10-06,41.04,41.34,40.93,40.96,14416207.0
2015-10-07,41.14,41.61,41.1,41.52,14329736.0
2015-10-08,41.26,41.99,41.26,41.98,11906583.0
2015-10-09,41.82,42.12,41.78,42.02,13857949.0
2015-10-12,41.83,42.29,41.81,42.0,11506013.0
2015-10-13,41.8,41.91,41.54,41.65,12758965.0
2015-10-14,41.56,41.96,41.56,41.68,13750774.0
2015-10-15,41.87,42.02,41.6,41.92,11400306.0
2015-10-16,42.16,42.21,41.88,42.02,20294721.0
2015-10-19,41.9,42.05,41.8,41.99,15510767.0
2015-10-20,42.0,42.4,42.0,42.29,16120133.0
2015-10-21,41.94,42.51,41.71,42.19,19254905.0
2015-10-22,42.44,43.85,42.41,43.24,35863996.0
2015-10-23,43.31,43.31,42.75,42.79,18732158.0
2015-10-26,42.76,42.89,42.46,42.59,14749340.0
2015-10-27,42.5,42.77,42.48,42.61,30158029.0
2015-10-28,42.75,42.83,42.21,42.73,13641433.0
2015-10-29,42.66,42.9,42.33,42.79,9323836.0
2015-10-30,42.8,42.86,42.35,42.35,15114449.0
2015-11-02,42.32,42.36,41.9,42.24,16191517.0
2015-11-03,42.18,42.32,41.81,42.16,9674779.0
2015-11-04,42.27,42.39,41.89,41.97,10362693.0
2015-11-05,42.0,42.35,41.98,42.33,9557911.0
2015-11-06,41.97,42.21,41.61,41.96,11919366.0
2015-11-09,41.7,41.79,41.34,41.54,10819620.0
2015-11-10,41.44,41.81,41.43,41.77,8262878.0
2015-11-11,41.94,42.2,41.92,42.04,9087103.0
2015-11-12,42.01,42.05,41.57,41.58,10486626.0
2015-11-13,41.46,41.78,41.36,41.38,11173608.0
2015-11-16,41.43,42.0,41.39,41.96,10882205.0
2015-11-17,41.85,42.15,41.5,41.67,12731226.0
2015-11-18,41.77,42.35,41.68,42.28,12908923.0
2015-11-19,42.32,43.3,42.32,43.11,23670806.0
2015-11-20,43.31,43.58,42.4,42.43,19598602.0
2015-11-23,42.55,43.18,42.53,42.96,13201960.0
2015-11-24,42.7,43.6,42.66,43.36,15767155.0
2015-11-25,43.32,43.5,43.24,43.36,10337595.0
2015-11-27,43.04,43.24,42.8,43.15,7236711.0
2015-11-30,43.12,43.15,42.6,42.62,15595155.0
2015-12-01,42.73,43.1,42.73,42.89,11145233.0
2015-12-02,42.83,42.93,42.59,42.77,12587879.0
2015-12-03,42.73,42.89,42.32,42.46,15004360.0
2015-12-04,42.58,43.48,42.58,43.29,16487970.0
2015-12-07,43.31,43.44,43.0,43.2,11902701.0
2015-12-08,43.05,43.25,42.79,43.01,10731164.0
2015-12-09,42.78,43.26,42.5,42.66,12944998.0
2015-12-10,42.73,43.07,42.52,42.76,15481945.0
2015-12-11,42.63,42.83,42.14,42.27,17312833.0
2015-12-14,42.31,42.76,41.97,42.45,20041296.0
2015-12-15,42.84,43.24,42.76,43.07,17800159.0
2015-12-16,43.25,43.91,43.25,43.84,21816663.0
2015-12-17,43.81,43.89,43.42,43.49,14668775.0
2015-12-18,43.36,43.42,42.5,42.5,24465972.0
2015-12-21,42.82,42.93,42.46,42.78,10375880.0
2015-12-22,42.86,43.39,42.71,43.29,12278976.0
2015-12-23,43.39,43.72,43.35,43.67,9082436.0
2015-12-24,43.49,43.72,43.42,43.54,3036573.0
2015-12-28,43.44,43.52,43.31,43.49,6325500.0
2015-12-29,43.54,43.78,43.5,43.71,7738616.0
2015-12-30,43.75,43.77,43.45,43.57,5098579.0
2015-12-31,43.3,43.34,42.87,42.96,9571844.0
2016-01-04,42.34,42.5,41.96,42.4,16040180.0
2016-01-05,42.31,42.62,42.17,42.55,15769451.0
2016-01-06,42.2,42.51,42.04,42.32,16234372.0
2016-01-07,41.65,42.11,41.45,41.62,20454992.0
2016-01-08,41.65,42.12,41.41,41.51,14629905.0
2016-01-11,41.58,41.86,41.29,41.58,15748627.0
2016-01-12,42.3,42.45,41.87,42.12,21803769.0
2016-01-13,42.17,42.57,41.79,41.85,16828452.0
2016-01-14,41.99,42.17,41.64,41.88,16027453.0
2016-01-15,40.95,41.59,40.92,41.5,21051551.0
2016-01-19,41.77,42.12,41.65,41.92,15422324.0
2016-01-20,41.45,41.62,40.75,41.38,19915619.0
2016-01-21,41.45,41.51,41.08,41.39,15547104.0
2016-01-22,41.64,42.23,41.45,42.06,15208224.0
2016-01-25,42.24,42.5,41.93,42.16,12482260.0
