Date,open,high,low,close,volume
2015-04-27,5.52,5.73,4.82,5.46,15000.0
2015-04-28,5.28,5.36,4.83,4.99,9400.0
2015-04-29,4.86,5.179,4.63,4.97,6200.0
2015-04-30,4.85,4.97,4.7,4.7,1600.0
2015-05-01,4.61,4.97,4.61,4.97,300.0
2015-05-04,4.97,4.97,4.56,4.71,1500.0
2015-05-05,4.75,4.75,4.53,4.54,3100.0
2015-05-06,4.52,4.52,4.09,4.2,13900.0
2015-05-07,4.29,4.4,4.13,4.22,7100.0
2015-05-08,4.351,4.4,3.86,3.93,3700.0
2015-05-11,3.98,4.2,3.98,4.2,400.0
2015-05-12,4.158,4.27,4.08,4.25,10000.0
2015-05-13,4.25,4.34,4.17,4.34,1900.0
2015-05-15,4.52,4.52,4.52,4.52,100.0
2015-05-18,4.6,4.95,4.26,4.26,8600.0
2015-05-19,4.38,4.38,4.0,4.05,6600.0
2015-05-20,4.08,4.08,3.25,3.73,23800.0
2015-05-21,3.62,3.68,3.5,3.68,4900.0
2015-05-22,3.77,3.84,3.67,3.84,14600.0
2015-05-26,3.7,4.1,3.55,4.0,7800.0
2015-05-27,3.92,3.99,3.7,3.88,12000.0
2015-05-28,3.85,3.85,3.81,3.84,800.0
2015-05-29,3.91,4.7,3.66,4.42,33400.0
2015-06-01,4.5,4.5,4.09,4.2,2100.0
2015-06-03,4.3,4.3,4.3,4.3,100.0
2015-06-04,4.05,4.05,4.01,4.01,3700.0
2015-06-05,4.0001,4.02,3.98,3.98,4500.0
2015-06-08,3.951,4.098,3.89,4.06,5400.0
2015-06-09,3.95,4.16,3.8278,4.0,6400.0
2015-06-10,4.1499,4.1499,4.09,4.09,300.0
2015-06-11,4.19,4.38,4.12,4.2,4100.0
2015-06-12,4.3,5.0599,4.2,4.68,32800.0
2015-06-15,4.6544,5.75,4.6201,5.25,46700.0
2015-06-16,5.42,5.8,5.29,5.46,18300.0
2015-06-17,5.3,6.6,4.81,6.3,43800.0
2015-06-18,6.4,6.4,5.89,5.94,13500.0
2015-06-19,5.81,6.04,5.5076,5.51,6500.0
2015-06-22,5.4899,5.4899,5.0,5.0,3500.0
2015-06-23,4.88,5.0599,4.6757,5.03,9500.0
2015-06-24,4.84,5.1499,4.61,5.16,9000.0
2015-06-25,4.84,5.2199,4.62,4.95,13600.0
2015-06-26,4.71,4.71,4.62,4.76,700.0
2015-06-29,4.62,4.75,4.27,4.57,6900.0
2015-06-30,4.58,4.8599,4.34,4.62,5900.0
2015-07-01,4.49,4.73,4.37,4.5,9000.0
2015-07-02,4.9,4.96,4.63,4.63,6000.0
2015-07-06,4.368,4.7899,4.26,4.26,10700.0
2015-07-07,4.7,4.7,3.5,3.78,15800.0
2015-07-08,3.54,3.69,3.35,3.39,16800.0
2015-07-09,3.7899,4.872,3.461,4.519,132400.0
2015-07-10,7.12,7.6968,5.49,5.8,2598200.0
2015-07-13,5.37,5.64,5.01,5.04,147000.0
2015-07-14,4.91,5.03,4.75,4.818,17400.0
2015-07-15,4.8,4.9199,4.68,4.85,15300.0
2015-07-16,5.09,5.67,5.08,5.61,22200.0
2015-07-17,5.61,5.7899,5.2,5.7699,42000.0
2015-07-20,5.94,5.94,5.4,5.65,23700.0
2015-07-21,5.53,6.61,5.53,6.04,99000.0
2015-07-22,6.02,6.14,5.76,5.86,25500.0
2015-07-23,5.83,6.2,5.78,5.85,9600.0
2015-07-24,5.71,5.83,5.71,5.71,4000.0
2015-07-27,5.56,5.56,5.25,5.34,9000.0
2015-07-28,5.63,5.7299,5.31,5.33,4200.0
2015-07-29,5.57,5.5799,5.4084,5.47,2400.0
2015-07-30,6.12,6.12,5.38,5.85,8000.0
2015-07-31,5.56,5.86,5.56,5.62,1700.0
2015-08-03,5.3301,5.61,5.0,5.0,17400.0
2015-08-04,5.17,5.17,4.65,4.6501,5200.0
2015-08-05,4.71,5.15,4.6001,4.66,22900.0
2015-08-06,4.5826,4.95,4.5826,4.72,51300.0
2015-08-07,4.76,4.763,4.72,4.72,2300.0
2015-08-10,4.73,4.9,4.59,4.6772,4200.0
2015-08-11,4.58,4.59,4.21,4.4,11700.0
2015-08-12,4.28,4.54,3.88,3.94,11400.0
2015-08-13,4.33,4.3499,4.0,4.2399,41700.0
2015-08-14,4.23,4.315,4.07,4.07,14900.0
2015-08-17,4.1799,4.3036,4.061,4.2975,5400.0
2015-08-18,4.48,4.59,4.12,4.22,7000.0
2015-08-19,4.29,4.3,4.13,4.14,1300.0
2015-08-20,4.14,4.3,4.14,4.14,3300.0
2015-08-21,4.1001,4.446,3.4,4.0601,22600.0
2015-08-24,3.92,4.0499,3.6,4.0499,19200.0
2015-08-25,3.95,4.05,3.6639,4.0499,5300.0
2015-08-27,3.882,3.9,3.75,3.82,1100.0
2015-08-28,3.74,4.15,3.74,3.92,3200.0
2015-09-01,4.1899,4.1899,3.51,3.54,3200.0
2015-09-03,3.65,3.9825,3.53,3.72,11316.0
2015-09-04,3.8,4.19,3.8,4.12,13199.0
2015-09-08,4.2,4.2,3.85,4.1,2425.0
2015-09-09,4.0801,4.0801,4.08,4.08,806.0
2015-09-10,3.9601,4.1899,3.9601,4.0,1891.0
2015-09-11,4.08,4.08,4.0,4.03,4845.0
2015-09-14,4.05,4.15,3.95,4.15,2725.0
2015-09-15,4.18,4.19,4.16,4.19,2434.0
2015-09-16,4.07,4.12,3.96,4.0899,2208.0
2015-09-17,4.01,4.1599,3.98,4.0901,2222.0
2015-09-18,4.1599,4.1599,3.99,4.0,2542.0
2015-09-21,4.1499,4.1499,4.13,4.13,296.0
2015-09-22,4.0,4.0,4.0,4.0,590.0
2015-09-23,4.01,4.01,3.94,3.94,436.0
2015-09-24,3.94,3.94,3.94,3.94,52.0
2015-09-25,3.94,3.94,3.94,3.94,285.0
2015-09-28,3.93,3.93,3.93,3.93,226.0
2015-09-29,3.93,3.99,3.7001,3.85,3205.0
2015-09-30,3.72,3.8037,3.646,3.72,5974.0
2015-10-01,3.72,3.72,3.72,3.72,5.0
2015-10-02,3.76,3.9399,3.74,3.9399,1375.0
2015-10-05,3.82,3.82,3.6899,3.69,1679.0
2015-10-06,3.7,3.7999,3.66,3.71,7014.0
2015-10-07,3.5,3.96,3.5,3.96,6794.0
2015-10-08,3.95,4.15,3.77,4.05,10558.0
2015-10-09,3.9899,4.14,3.98,4.13,11505.0
2015-10-12,4.01,4.4,3.901,4.1301,31956.0
2015-10-13,3.9599,4.1001,3.74,3.9,13651.0
2015-10-14,3.9496,3.9496,3.84,3.86,1122.0
2015-10-15,3.82,4.1101,3.82,3.99,3668.0
2015-10-16,4.06,4.06,3.77,3.8888,5905.0
2015-10-19,3.8,3.8,3.5,3.6,13976.0
2015-10-20,3.68,3.68,3.6,3.6,767.0
2015-10-21,3.55,3.55,3.4,3.454,4421.0
2015-10-22,3.4101,3.42,3.36,3.3611,3446.0
2015-10-23,3.5935,3.6964,3.5935,3.6964,2039.0
2015-10-26,3.752,3.752,3.752,3.752,441.0
2015-10-27,3.51,3.5999,3.46,3.46,13706.0
2015-10-28,3.5297,3.8,3.46,3.51,9605.0
2015-10-29,3.55,3.59,3.51,3.51,2358.0
2015-10-30,3.69,3.69,3.51,3.51,291.0
2015-11-02,3.61,3.61,3.411,3.49,2511.0
2015-11-03,3.5,3.57,3.4706,3.57,4368.0
2015-11-04,3.57,3.571,3.4,3.5699,2362.0
2015-11-05,3.5,3.5,3.39,3.39,3886.0
2015-11-06,3.4,3.4,3.38,3.38,2143.0
2015-11-09,3.49,3.49,3.36,3.36,2187.0
2015-11-10,3.23,3.268,3.2001,3.2001,2124.0
2015-11-11,3.2101,3.238,3.2101,3.231,945.0
2015-11-12,3.3301,3.4799,3.3301,3.385,1078.0
2015-11-13,3.43,3.43,3.28,3.28,1782.0
2015-11-16,3.26,3.29,3.21,3.21,1231.0
2015-11-17,3.32,3.3201,3.24,3.24,303.0
2015-11-18,3.24,3.24,3.01,3.02,9133.0
2015-11-19,3.13,3.13,3.01,3.01,902.0
2015-11-20,3.19,3.36,3.15,3.17,8205.0
2015-11-23,3.12,3.1201,2.93,3.04,7103.0
2015-11-24,2.97,2.97,2.7301,2.94,9532.0
2015-11-25,2.9399,3.67,2.9399,3.38,48088.0
2015-11-27,3.5,3.5,2.94,3.09,85570.0
2015-11-30,3.0,3.04,2.91,2.9888,12664.0
2015-12-01,3.0212,4.85,3.0212,4.38,148654.0
2015-12-02,4.54,4.54,3.5,3.5,58329.0
2015-12-03,3.98,3.98,3.44,3.47,11809.0
2015-12-04,3.3201,3.48,3.3,3.48,15226.0
2015-12-07,3.4301,3.48,3.32,3.39,11056.0
2015-12-08,3.36,3.64,3.31,3.59,5467.0
2015-12-09,3.4422,3.6808,3.4422,3.51,8985.0
2015-12-10,3.33,3.4,3.19,3.3835,24840.0
2015-12-11,3.4199,3.4199,3.16,3.16,3793.0
2015-12-14,3.0301,3.1999,3.02,3.0799,19574.0
2015-12-15,3.01,3.12,2.87,3.1099,27169.0
