Date,open,high,low,close,volume
2015-04-27,138.4,139.35,136.2,136.85,304006.0
2015-04-28,141.4,142.18,139.2,140.24,734785.0
2015-04-29,139.79,143.37,139.54,142.97,460012.0
2015-04-30,142.61,145.86,142.25,142.66,628100.0
2015-05-01,142.0,145.44,141.99,145.44,286568.0
2015-05-04,146.0,153.42,145.53,152.27,896205.0
2015-05-05,151.98,153.32,148.1,149.19,580983.0
2015-05-06,149.17,150.46,146.93,148.51,746828.0
2015-05-07,150.05,151.85,140.65,145.1,982715.0
2015-05-08,145.89,146.97,144.19,146.6,475095.0
2015-05-11,145.94,146.88,144.7,146.18,327584.0
2015-05-12,142.31,146.21,142.31,145.67,420961.0
2015-05-13,146.69,146.69,143.43,144.66,264724.0
2015-05-14,144.81,147.2,144.12,146.79,282635.0
2015-05-15,147.11,147.73,145.7,146.46,170268.0
2015-05-18,146.04,148.36,145.39,147.82,218046.0
2015-05-19,148.3,149.24,145.51,145.58,404580.0
2015-05-20,145.58,147.48,144.08,147.1,310502.0
2015-05-21,147.47,149.82,146.93,149.01,255901.0
2015-05-22,149.28,149.73,146.81,147.48,288042.0
2015-05-26,147.5,147.5,144.69,145.74,272225.0
2015-05-27,145.32,146.57,143.74,146.43,436523.0
2015-05-28,146.45,147.29,143.67,146.5,217929.0
2015-05-29,146.8,147.1,144.65,145.2,236556.0
2015-06-01,146.12,147.02,142.72,143.68,370810.0
2015-06-02,143.67,145.25,142.73,143.01,303875.0
2015-06-03,143.68,144.39,142.46,143.46,319625.0
2015-06-04,143.31,143.59,141.54,143.29,230471.0
2015-06-05,143.2,145.1,142.0,144.94,234025.0
2015-06-08,144.64,145.05,142.02,142.68,172125.0
2015-06-09,142.0,143.87,141.15,143.26,213229.0
2015-06-10,143.99,145.88,143.08,145.45,324426.0
2015-06-11,145.36,145.97,140.42,141.35,549332.0
2015-06-12,140.55,144.05,140.55,143.66,239992.0
2015-06-15,142.8,144.0,141.16,141.97,168565.0
2015-06-16,141.83,143.78,141.49,143.51,245386.0
2015-06-17,143.85,144.48,142.18,143.32,145061.0
2015-06-18,143.38,146.0,143.07,145.25,148590.0
2015-06-19,144.84,147.74,144.84,147.27,239153.0
2015-06-22,148.5,148.5,145.4,146.72,170895.0
2015-06-23,148.06,151.8,146.91,150.99,416742.0
2015-06-24,150.61,151.45,148.67,149.15,162856.0
2015-06-25,149.22,151.05,147.97,149.64,142402.0
2015-06-26,148.94,150.02,146.95,147.62,167184.0
2015-06-29,146.46,146.55,140.64,141.13,228693.0
2015-06-30,142.7,143.36,141.5,141.82,305515.0
2015-07-01,142.45,143.12,140.24,141.39,361169.0
2015-07-02,141.04,141.72,136.51,138.7,443433.0
2015-07-06,137.51,138.14,135.11,135.99,360861.0
2015-07-07,135.68,136.37,133.11,135.2,692307.0
2015-07-08,133.91,135.01,129.63,129.9,474393.0
2015-07-09,130.81,133.79,129.28,133.31,340937.0
2015-07-10,134.52,136.69,133.97,135.76,227138.0
2015-07-13,135.99,137.43,135.03,135.67,238015.0
2015-07-14,135.33,137.61,134.85,134.87,268373.0
2015-07-15,135.29,136.73,134.28,135.6,418544.0
2015-07-16,136.88,137.48,134.93,136.1,386806.0
2015-07-17,136.28,138.09,135.58,137.12,194793.0
2015-07-20,136.45,137.69,135.89,136.79,198304.0
2015-07-21,137.17,138.86,134.61,134.63,244645.0
2015-07-22,134.18,136.06,134.18,134.83,195287.0
2015-07-23,135.0,135.72,132.55,133.12,270844.0
2015-07-24,134.0,135.62,131.07,131.43,421718.0
2015-07-27,130.19,131.65,127.88,128.68,419896.0
2015-07-28,129.89,129.89,127.01,128.55,501437.0
2015-07-29,129.0,134.49,128.56,133.91,550389.0
2015-07-30,133.6,133.62,130.41,130.68,342286.0
2015-07-31,130.87,131.55,129.48,130.73,216732.0
2015-08-03,130.17,131.15,127.24,128.4,461546.0
2015-08-04,128.21,130.09,127.79,129.17,316509.0
2015-08-05,129.3,132.2,128.5,131.92,464197.0
2015-08-06,125.29,127.86,119.06,121.08,1230425.0
2015-08-07,121.09,122.08,120.42,121.09,445666.0
2015-08-10,122.13,125.21,121.74,123.66,324196.0
2015-08-11,121.52,123.94,121.52,123.25,488835.0
2015-08-12,121.65,122.74,120.84,121.27,413431.0
2015-08-13,121.56,121.96,118.64,120.24,550261.0
2015-08-14,120.33,121.33,119.0,119.75,174233.0
2015-08-17,118.92,121.14,117.54,121.1,364918.0
2015-08-18,121.15,121.27,117.81,117.93,320627.0
2015-08-19,117.61,117.99,113.83,113.89,681009.0
2015-08-20,112.38,113.64,107.7,107.83,535739.0
2015-08-21,108.29,109.11,104.75,106.75,790408.0
2015-08-24,102.59,105.91,98.08,103.63,448285.0
2015-08-25,107.03,107.32,101.74,102.17,630461.0
2015-08-26,105.13,105.83,101.01,104.76,448735.0
2015-08-27,106.49,112.41,106.49,111.94,812724.0
2015-08-28,110.8,114.13,110.54,113.19,372296.0
2015-08-31,112.75,113.09,109.54,110.16,377080.0
2015-09-01,108.0,111.19,107.5,108.76,935723.0
2015-09-02,109.8,112.0,109.03,109.97,695848.0
2015-09-03,110.08,112.96,110.03,112.23,511950.0
2015-09-04,110.5,111.26,107.25,108.18,369650.0
2015-09-08,110.2,111.09,108.72,109.55,308530.0
2015-09-09,110.0,111.63,107.6,108.06,342700.0
2015-09-10,107.1,108.5,105.55,107.0,420043.0
2015-09-11,106.73,107.3,104.28,105.25,504600.0
2015-09-14,105.94,106.26,104.02,106.1,232680.0
2015-09-15,106.1,108.42,105.66,108.2,591336.0
2015-09-16,108.82,109.86,107.61,109.28,410873.0
2015-09-17,109.12,109.45,104.62,104.82,696668.0
2015-09-18,103.62,104.17,97.92,99.64,1239572.0
2015-09-21,100.58,100.72,97.31,98.68,576682.0
2015-09-22,96.28,97.42,94.9,95.55,723474.0
2015-09-23,95.15,96.25,92.28,92.59,626288.0
2015-09-24,91.42,92.74,89.72,92.61,680736.0
2015-09-25,93.64,94.56,91.57,91.9,489659.0
2015-09-28,90.87,93.45,88.65,90.08,636778.0
2015-09-29,90.05,92.17,85.75,86.69,725952.0
2015-09-30,88.03,91.34,88.03,91.13,604203.0
2015-10-01,90.59,91.82,89.16,90.57,487265.0
2015-10-02,89.67,95.72,88.19,95.56,617291.0
2015-10-05,96.0,97.42,94.63,96.77,399552.0
2015-10-06,97.06,97.86,93.79,94.85,450107.0
2015-10-07,95.87,97.08,93.53,94.57,673916.0
2015-10-08,94.1,94.87,92.6,94.35,501668.0
2015-10-09,94.94,95.17,93.05,94.03,480456.0
2015-10-12,94.2,94.2,91.72,92.55,354302.0
2015-10-13,91.21,93.99,91.21,93.39,284379.0
2015-10-14,93.52,94.43,90.28,90.88,355654.0
2015-10-15,91.21,94.63,91.06,93.66,407213.0
2015-10-16,94.21,96.06,94.02,95.67,343997.0
2015-10-19,95.11,97.08,94.74,96.49,304924.0
2015-10-20,96.49,103.67,94.88,96.61,457742.0
2015-10-21,97.0,97.5,94.75,95.34,298686.0
2015-10-22,96.34,99.88,96.34,97.5,369869.0
2015-10-23,98.69,99.78,97.0,99.05,705733.0
2015-10-26,101.02,102.32,98.51,99.64,458967.0
2015-10-27,99.15,100.76,97.24,97.34,321733.0
2015-10-28,97.53,98.64,96.02,97.17,514225.0
2015-10-29,96.5,96.85,94.25,95.19,831607.0
2015-10-30,96.0,98.42,95.4,98.37,536683.0
2015-11-02,98.12,102.6,97.95,101.97,780767.0
2015-11-03,102.13,105.29,101.43,104.23,581373.0
2015-11-04,104.6,109.55,104.26,107.0,1352923.0
