Date,open,high,low,close,volume
2015-04-27,159.48,160.06,157.81,157.98,3445946.0
2015-04-28,157.69,158.36,156.18,158.33,3338990.0
2015-04-29,157.42,157.93,156.18,156.97,3032789.0
2015-04-30,156.82,157.91,156.01,156.39,3462804.0
2015-05-01,156.79,158.09,156.79,157.68,2153022.0
2015-05-04,158.4,159.85,157.88,159.02,2236745.0
2015-05-05,158.86,159.45,157.41,157.91,1942495.0
2015-05-06,157.92,159.08,156.55,157.64,2200703.0
2015-05-07,157.23,159.2,157.23,158.61,2107824.0
2015-05-08,160.25,161.4,160.06,160.6,2021871.0
2015-05-11,160.26,161.0,159.8,159.9,1706978.0
2015-05-12,158.71,160.4,158.01,160.07,1860211.0
2015-05-13,160.43,161.74,160.36,161.31,2586387.0
2015-05-14,162.09,163.3,161.8,163.15,2455300.0
2015-05-15,163.15,163.77,162.65,163.3,1919508.0
2015-05-18,163.0,163.59,162.31,162.87,1747613.0
2015-05-19,163.07,163.59,162.55,163.12,2075048.0
2015-05-20,162.42,163.07,161.84,161.9,1976366.0
2015-05-21,161.9,162.35,161.8,162.06,2400742.0
2015-05-22,161.99,162.33,160.66,160.98,1821014.0
2015-05-26,160.98,161.32,159.03,159.59,2467141.0
2015-05-27,159.82,161.31,159.53,161.02,1996615.0
2015-05-28,160.35,160.89,159.61,160.87,1575804.0
2015-05-29,160.44,160.79,158.74,159.08,2829739.0
2015-06-01,159.1,159.76,158.57,158.98,1906036.0
2015-06-02,158.28,159.88,157.95,159.08,2480287.0
2015-06-03,159.61,160.5,158.98,160.16,2074381.0
2015-06-04,159.51,160.38,158.09,158.35,2230449.0
2015-06-05,157.5,157.97,156.97,157.08,2309301.0
2015-06-08,156.5,157.41,156.3,156.59,1589436.0
2015-06-09,156.85,158.26,156.6,156.98,1789613.0
2015-06-10,156.95,159.57,156.95,159.04,1755657.0
2015-06-11,159.12,160.36,159.0,159.86,1833211.0
2015-06-12,159.85,159.99,157.88,158.04,1906907.0
2015-06-15,157.08,157.32,155.39,155.87,2329642.0
2015-06-16,155.49,157.04,155.37,156.49,1729277.0
2015-06-17,156.6,157.59,155.75,156.95,1714445.0
2015-06-18,157.59,160.24,157.38,159.62,2524517.0
2015-06-19,159.36,159.88,158.94,158.95,3214025.0
2015-06-22,159.85,160.7,159.45,159.68,1445717.0
2015-06-23,160.41,160.87,159.51,159.84,2275327.0
2015-06-24,159.68,159.96,157.54,157.54,2843701.0
2015-06-25,157.85,158.32,155.92,155.92,2562060.0
2015-06-26,156.16,157.99,155.93,157.09,2527549.0
2015-06-29,155.92,156.44,153.92,153.95,2462613.0
2015-06-30,155.0,155.3,154.07,154.3,2560954.0
2015-07-01,156.13,156.43,154.66,155.65,1724174.0
2015-07-02,156.08,156.08,154.9,155.38,2013873.0
2015-07-06,153.89,155.58,153.83,155.08,2168079.0
2015-07-07,155.14,155.63,153.16,155.43,2865341.0
2015-07-08,154.08,154.5,152.7,152.71,2553234.0
2015-07-09,154.59,155.5,153.75,153.75,2069217.0
2015-07-10,154.74,155.86,154.5,154.95,2058483.0
2015-07-13,156.42,156.77,155.65,156.47,2105584.0
2015-07-14,156.49,157.08,156.28,156.78,1811404.0
2015-07-15,156.57,157.0,155.9,156.0,1786064.0
2015-07-16,157.58,157.94,156.69,157.17,2022606.0
2015-07-17,156.5,157.37,156.43,156.69,2427146.0
2015-07-20,156.77,157.65,156.27,157.12,2348983.0
2015-07-21,156.75,157.18,155.34,155.76,2696423.0
2015-07-22,155.59,156.31,154.44,155.41,3065104.0
2015-07-23,151.92,153.69,149.02,149.5,5148919.0
2015-07-24,148.86,150.8,148.7,149.33,3387774.0
2015-07-27,148.64,149.0,147.7,148.71,3058854.0
2015-07-28,148.85,151.72,148.32,151.11,3260000.0
2015-07-29,151.44,151.69,150.71,151.45,2123292.0
2015-07-30,151.0,151.73,150.33,151.57,2119114.0
2015-07-31,152.53,152.81,151.03,151.34,1612436.0
2015-08-03,150.79,151.78,148.94,150.12,2355128.0
2015-08-04,150.93,151.54,150.11,150.4,1798653.0
2015-08-05,151.85,153.24,150.92,151.01,1762361.0
2015-08-06,150.89,151.22,148.9,149.26,1761670.0
2015-08-07,148.48,150.0,148.16,148.89,1668650.0
2015-08-10,150.0,151.4,149.89,151.24,1547758.0
2015-08-11,150.0,150.0,148.26,148.48,1804466.0
2015-08-12,147.24,148.71,146.07,148.52,2036704.0
2015-08-13,148.0,148.56,147.08,147.4,1774462.0
2015-08-14,147.66,148.51,147.32,148.28,1401860.0
2015-08-17,147.43,149.31,146.36,149.24,1647294.0
2015-08-18,148.63,148.92,147.88,148.31,1705530.0
2015-08-19,146.2,147.55,145.28,145.87,2467613.0
2015-08-20,144.51,144.87,143.36,143.35,3277845.0
2015-08-21,143.52,145.32,141.92,142.09,5432485.0
2015-08-24,137.12,142.09,134.0,138.58,7260460.0
2015-08-25,141.86,142.06,137.39,137.64,5408981.0
2015-08-26,140.0,142.79,138.53,142.72,4551538.0
2015-08-27,143.75,144.95,141.33,143.9,4085726.0
2015-08-28,143.02,144.32,142.8,144.21,2664132.0
2015-08-31,143.0,143.83,142.02,142.14,2473054.0
2015-09-01,139.48,140.49,137.94,138.5,3660104.0
2015-09-02,140.54,141.24,139.24,141.24,3294603.0
2015-09-03,141.94,142.9,141.31,141.74,2588391.0
2015-09-04,139.94,140.67,139.16,139.84,3191308.0
2015-09-08,142.05,143.55,141.52,143.43,2418035.0
2015-09-09,144.86,145.35,140.57,140.86,2629189.0
2015-09-10,141.0,141.91,140.15,140.78,2024075.0
2015-09-11,140.61,141.33,139.77,141.26,2505184.0
2015-09-14,141.52,141.58,140.03,140.81,2274204.0
2015-09-15,141.56,143.84,141.04,143.6,2685867.0
2015-09-16,143.51,144.46,143.21,144.2,2060265.0
2015-09-17,143.81,145.55,142.52,142.95,2820981.0
2015-09-18,141.17,141.3,139.21,139.62,6483630.0
2015-09-21,140.5,141.08,139.35,140.04,2492585.0
2015-09-22,138.27,138.51,137.25,138.02,2773016.0
2015-09-23,138.53,138.9,136.86,137.66,2684501.0
2015-09-24,136.63,138.03,135.39,137.58,2655769.0
2015-09-25,139.62,140.12,138.57,139.56,3754377.0
2015-09-28,138.3,139.7,138.3,138.38,3427488.0
2015-09-29,138.62,142.16,138.43,141.55,4934511.0
2015-09-30,142.52,143.22,140.5,141.77,3453568.0
2015-10-01,142.21,142.5,139.58,140.8,2482146.0
2015-10-02,139.08,143.3,138.57,143.2,3050217.0
2015-10-05,144.3,146.59,143.63,146.32,2982535.0
2015-10-06,145.99,146.64,145.4,145.79,2238124.0
2015-10-07,146.74,148.54,146.13,147.54,1954017.0
2015-10-08,146.65,149.56,146.59,149.48,2003591.0
2015-10-09,149.56,150.65,149.3,149.9,2288542.0
2015-10-12,150.26,150.56,149.54,150.06,1422596.0
2015-10-13,148.91,150.0,148.73,149.11,2018103.0
2015-10-14,149.0,149.66,148.18,148.32,2256949.0
2015-10-15,149.64,149.88,148.02,149.19,2588498.0
2015-10-16,149.77,149.78,147.48,148.7,2490315.0
2015-10-19,147.97,148.42,147.23,148.0,2004154.0
2015-10-20,147.45,149.67,147.13,149.11,2404685.0
2015-10-21,149.5,151.39,148.9,149.82,3009877.0
2015-10-22,151.34,157.04,150.65,156.0,5083358.0
2015-10-23,156.54,157.19,154.5,155.79,2955361.0
2015-10-26,156.06,156.76,155.64,156.54,2136090.0
2015-10-27,156.0,157.0,155.08,156.73,1968176.0
2015-10-28,156.49,158.33,156.2,158.08,2720230.0
2015-10-29,157.75,157.91,156.88,157.61,1448223.0
2015-10-30,157.8,158.68,157.21,157.21,2649451.0
2015-11-02,157.51,160.09,157.34,159.92,2695211.0
2015-11-03,159.48,159.8,158.67,158.75,2966450.0
2015-11-04,159.0,159.48,158.61,158.91,2254024.0
2015-11-05,159.38,159.58,158.27,158.99,2023623.0
2015-11-06,158.02,159.26,157.73,159.26,1859938.0
2015-11-09,158.67,158.67,156.75,157.47,2420917.0
2015-11-10,157.23,157.64,156.43,157.59,1962334.0
2015-11-11,157.86,159.49,157.54,159.05,2524341.0
2015-11-12,157.78,158.29,156.16,156.3,2297916.0
2015-11-13,156.0,156.92,155.6,155.65,2429794.0
2015-11-16,155.61,158.26,155.61,158.21,2391850.0
2015-11-17,158.36,158.53,156.52,157.03,2390779.0
2015-11-18,156.18,157.5,156.08,157.39,2211746.0
2015-11-19,157.63,158.51,156.71,158.38,1516278.0
2015-11-20,158.68,159.84,158.34,158.95,1891113.0
2015-11-23,158.9,159.77,158.16,158.65,1430410.0
2015-11-24,157.37,158.34,156.89,157.75,2100625.0
2015-11-25,158.06,158.47,157.63,157.63,1184162.0
2015-11-27,157.51,158.49,156.94,157.99,876130.0
2015-11-30,158.1,158.47,156.57,156.58,2658896.0
2015-12-01,156.41,157.67,156.17,156.9,2258793.0
