Date,open,high,low,close,volume
2015-04-27,57.83,58.03,56.88,57.1,10363495.0
2015-04-28,60.22,60.48,59.22,59.98,34539795.0
2015-04-29,59.33,60.43,59.23,59.68,17056708.0
2015-04-30,59.79,60.14,59.24,59.56,12463499.0
2015-05-01,59.76,60.38,59.68,59.86,9314240.0
2015-05-04,60.14,60.95,60.03,60.64,8909742.0
2015-05-05,60.32,60.7,60.06,60.49,11995090.0
2015-05-06,60.45,60.59,59.93,60.26,11546735.0
2015-05-07,60.05,60.73,59.93,60.3,8977033.0
2015-05-08,61.0,61.37,60.7,60.74,10090837.0
2015-05-11,60.66,60.69,59.83,60.0,9701542.0
2015-05-12,59.55,59.72,59.11,59.44,13176567.0
2015-05-13,59.62,59.85,58.97,59.18,7270161.0
2015-05-14,59.47,59.89,59.04,59.78,7113982.0
2015-05-15,59.94,60.23,59.81,60.23,7633087.0
2015-05-18,60.17,60.45,60.01,60.01,7169633.0
2015-05-19,59.96,60.92,59.94,60.52,8110539.0
2015-05-20,60.67,60.85,60.44,60.46,6028235.0
2015-05-21,60.55,60.78,60.09,60.1,8033251.0
2015-05-22,60.07,60.07,59.34,59.38,8942102.0
2015-05-26,59.28,59.44,58.85,58.97,10799557.0
2015-05-27,59.09,59.78,58.87,59.46,9689749.0
2015-05-28,59.45,59.85,59.38,59.7,9502770.0
2015-05-29,59.88,61.12,59.47,60.89,19845035.0
2015-06-01,60.85,61.7,60.34,60.75,11668791.0
2015-06-02,60.45,60.45,59.82,60.24,8964706.0
2015-06-03,60.66,60.88,60.26,60.39,8654521.0
2015-06-04,59.96,60.21,59.27,59.47,10736342.0
2015-06-05,59.36,59.41,58.8,58.99,10853348.0
2015-06-08,58.89,59.17,58.76,58.87,8045800.0
2015-06-09,58.96,59.29,58.71,58.84,6352051.0
2015-06-10,58.98,59.66,58.91,59.61,10210524.0
2015-06-11,59.2,59.37,58.84,58.91,11530793.0
2015-06-12,58.79,58.8,57.79,57.87,15792989.0
2015-06-15,57.6,57.64,57.02,57.12,9755028.0
2015-06-16,57.24,57.73,56.88,57.71,6880596.0
2015-06-17,57.71,58.17,57.47,57.91,7886973.0
2015-06-18,57.91,58.87,57.91,58.59,7399048.0
2015-06-19,58.41,58.84,57.95,58.04,12390906.0
2015-06-22,58.79,59.2,58.43,58.83,8257167.0
2015-06-23,58.88,59.05,58.52,59.03,7958331.0
2015-06-24,58.92,59.03,58.24,58.24,7881689.0
2015-06-25,58.25,58.59,57.71,57.9,9930319.0
