Date,open,high,low,close,volume
2015-04-27,13.82,14.31,13.71,14.07,14789087.0
2015-04-28,14.01,14.13,13.81,14.11,5967313.0
2015-04-29,13.81,14.18,13.81,14.06,7369616.0
2015-04-30,14.01,14.15,13.92,14.01,6935979.0
2015-05-01,14.1,14.37,14.02,14.3,4173406.0
2015-05-04,14.38,14.39,14.16,14.17,3635410.0
2015-05-05,14.11,14.13,13.82,13.9,5754630.0
2015-05-06,13.95,14.08,13.83,14.06,3890648.0
2015-05-07,14.05,14.15,13.97,14.09,4078111.0
2015-05-08,14.2,14.54,14.11,14.2,5690364.0
2015-05-11,14.17,14.2,14.07,14.08,2822171.0
2015-05-12,14.01,14.15,13.96,14.09,2869233.0
2015-05-13,14.13,14.31,14.05,14.12,2563137.0
2015-05-14,14.2,14.29,14.12,14.24,3988991.0
2015-05-15,14.27,14.36,14.25,14.29,3169922.0
2015-05-18,14.35,14.41,14.25,14.38,4037940.0
2015-05-19,14.38,14.41,14.12,14.16,3005094.0
2015-05-20,14.07,14.28,14.07,14.14,3157944.0
2015-05-21,14.12,14.51,14.03,14.37,6822278.0
2015-05-22,14.06,14.21,13.05,13.14,20865143.0
2015-05-26,13.41,13.5,13.18,13.44,12108041.0
2015-05-27,13.45,13.94,13.29,13.9,13225427.0
2015-05-28,14.2,14.34,13.97,14.2,14566279.0
2015-05-29,14.08,14.26,13.86,13.99,10496227.0
2015-06-01,14.18,14.37,13.99,14.08,9537575.0
2015-06-02,14.08,14.11,13.93,14.01,6545562.0
2015-06-03,14.1,14.33,14.04,14.11,10005347.0
2015-06-04,14.04,14.19,13.93,14.12,5869677.0
2015-06-05,14.1,14.26,14.05,14.2,6359129.0
2015-06-08,14.11,14.15,13.85,13.89,6204118.0
2015-06-09,13.91,14.18,13.91,14.13,7947283.0
2015-06-10,14.11,14.19,14.0,14.17,9509498.0
2015-06-11,14.16,14.47,14.16,14.46,9548167.0
2015-06-12,14.34,14.39,14.21,14.29,6102728.0
2015-06-15,14.16,14.17,14.07,14.09,6609743.0
2015-06-16,14.14,14.19,13.9,14.13,7071025.0
2015-06-17,14.12,14.16,14.03,14.1,5954400.0
2015-06-18,14.31,14.52,14.29,14.46,9413315.0
2015-06-19,14.54,14.71,14.49,14.59,7602912.0
2015-06-22,14.64,14.73,14.48,14.59,6622239.0
2015-06-23,14.63,14.68,14.47,14.49,6118158.0
2015-06-24,14.6,14.61,14.33,14.34,5077012.0
2015-06-25,14.36,14.57,14.31,14.32,4529902.0
2015-06-26,14.24,14.32,13.89,13.92,7620830.0
2015-06-29,13.74,13.75,13.25,13.27,8574623.0
2015-06-30,13.41,13.42,13.08,13.18,7338779.0
2015-07-01,13.25,13.35,13.23,13.3,4921772.0
2015-07-02,13.31,13.49,13.28,13.42,3589643.0
2015-07-06,13.29,13.4,13.1,13.25,6021460.0
2015-07-07,13.39,13.39,12.78,13.16,5781063.0
2015-07-08,13.02,13.09,12.76,12.82,4567179.0
2015-07-09,13.01,13.08,12.4,12.4,7440236.0
2015-07-10,12.52,12.6,12.37,12.5,4568948.0
2015-07-13,12.76,13.38,12.56,13.2,16071525.0
2015-07-14,13.18,13.18,12.85,12.91,7467917.0
2015-07-15,12.94,12.99,12.62,12.71,4534904.0
2015-07-16,12.8,12.87,12.7,12.78,3365896.0
2015-07-17,12.87,13.07,12.53,12.86,11205891.0
2015-07-20,12.86,12.94,12.56,12.58,5620061.0
2015-07-21,12.59,12.68,12.53,12.58,3582752.0
2015-07-22,12.42,12.48,12.26,12.4,6196250.0
2015-07-23,12.5,12.64,12.27,12.42,4888790.0
2015-07-24,12.53,12.55,12.17,12.19,4148762.0
2015-07-27,12.09,12.32,11.95,12.29,4032527.0
2015-07-28,12.37,12.65,12.25,12.43,4738756.0
2015-07-29,12.4,12.59,12.22,12.57,2930473.0
2015-07-30,12.73,12.76,12.52,12.65,3359717.0
2015-07-31,12.64,12.72,12.44,12.45,3961262.0
2015-08-03,12.41,12.5,12.34,12.48,3260367.0
2015-08-04,12.28,13.18,12.06,12.25,12827979.0
2015-08-05,12.45,13.35,12.38,12.85,13774385.0
2015-08-06,12.95,12.98,12.19,12.43,6828462.0
2015-08-07,12.4,12.55,12.23,12.51,5939438.0
2015-08-10,12.54,12.72,12.53,12.64,4640507.0
2015-08-11,12.63,12.77,12.46,12.54,5832007.0
2015-08-12,12.41,12.51,12.16,12.4,5286062.0
2015-08-13,12.37,12.41,12.15,12.26,4220627.0
2015-08-14,12.36,12.5,12.23,12.43,3160804.0
2015-08-17,12.14,12.58,12.14,12.42,3122828.0
2015-08-18,12.43,12.48,12.15,12.16,4397169.0
2015-08-19,12.34,12.34,11.88,11.91,5416508.0
2015-08-20,11.45,12.07,11.11,11.41,11938093.0
2015-08-21,11.4,11.46,11.12,11.17,6348538.0
2015-08-24,10.1,11.19,10.1,10.61,12070245.0
2015-08-25,11.08,11.15,10.37,10.39,6360662.0
2015-08-26,10.68,10.97,10.0,10.47,7433222.0
2015-08-27,10.58,11.13,10.52,11.12,8780377.0
2015-08-28,11.1,11.37,10.96,11.32,6457350.0
2015-08-31,11.27,11.42,11.16,11.26,3371403.0
2015-09-01,10.96,11.22,10.84,10.88,3710129.0
2015-09-02,11.14,11.17,10.83,11.02,4100292.0
2015-09-03,11.14,11.26,11.03,11.12,3337673.0
2015-09-04,10.97,11.09,10.81,10.84,3416183.0
2015-09-08,10.88,10.99,10.61,10.91,4186917.0
2015-09-09,11.05,11.06,10.51,10.54,3380722.0
2015-09-10,10.53,10.69,10.42,10.55,3389748.0
2015-09-11,8.22,9.09,8.21,8.84,45232843.0
2015-09-14,8.65,8.7,8.44,8.61,15022903.0
2015-09-15,8.65,8.7,8.5,8.64,9762678.0
2015-09-16,8.65,9.08,8.64,9.05,8957291.0
2015-09-17,9.06,9.1,8.83,8.89,6356663.0
2015-09-18,8.78,8.82,8.52,8.65,7559137.0
2015-09-21,8.71,8.75,8.52,8.65,5830733.0
2015-09-22,8.58,8.88,8.5,8.84,10580203.0
2015-09-23,8.79,8.91,8.6,8.72,6976273.0
2015-09-24,8.7,9.16,8.51,9.02,10006387.0
2015-09-25,9.43,9.7,8.97,9.33,26337910.0
2015-09-28,9.16,9.28,9.03,9.06,6024774.0
2015-09-29,9.24,9.29,8.93,9.05,10509181.0
2015-09-30,9.24,9.3,8.91,9.05,12162321.0
2015-10-01,8.98,9.02,8.69,8.86,13227735.0
2015-10-02,8.81,9.1,8.65,9.08,14120611.0
2015-10-05,9.27,9.37,9.11,9.13,8757562.0
2015-10-06,9.28,9.54,9.15,9.47,10220739.0
2015-10-07,9.64,9.73,9.37,9.49,8167820.0
2015-10-08,9.54,9.54,9.37,9.43,5140544.0
2015-10-09,9.4,9.61,9.37,9.41,2908736.0
2015-10-12,9.16,9.28,9.05,9.25,5013606.0
2015-10-13,9.26,9.44,9.22,9.29,4207959.0
2015-10-14,9.26,9.59,9.25,9.53,7702025.0
2015-10-15,9.59,9.74,9.35,9.42,7701844.0
2015-10-16,9.42,9.64,9.24,9.34,8334277.0
2015-10-19,9.4,9.61,9.3,9.45,5988549.0
2015-10-20,9.46,9.58,9.14,9.22,8125209.0
2015-10-21,9.42,9.42,9.08,9.08,8746328.0
2015-10-22,9.15,9.22,9.03,9.14,11423998.0
2015-10-23,9.28,9.62,9.17,9.56,8278397.0
2015-10-26,9.49,9.54,9.36,9.45,6570646.0
2015-10-27,7.61,8.19,7.55,8.05,51421669.0
2015-10-28,7.8,8.35,7.8,8.28,10008214.0
2015-10-29,8.32,8.39,8.19,8.21,6196978.0
2015-10-30,8.25,8.29,8.13,8.21,8216120.0
2015-11-02,8.21,8.41,8.19,8.4,3980468.0
2015-11-03,8.43,8.57,8.4,8.54,5572744.0
2015-11-04,8.55,8.88,8.51,8.62,8104859.0
2015-11-05,8.62,8.8,8.6,8.7,4905138.0
2015-11-06,8.68,8.98,8.61,8.9,5617613.0
2015-11-09,8.88,9.02,8.82,8.9,5126136.0
2015-11-10,8.89,8.95,8.62,8.73,4922819.0
2015-11-11,8.78,8.84,8.61,8.81,4246857.0
2015-11-12,8.67,8.82,8.6,8.6,3408955.0
2015-11-13,8.56,8.63,8.4,8.52,3243491.0
2015-11-16,8.54,8.62,8.41,8.62,4600635.0
2015-11-17,8.61,8.65,8.41,8.5,5829815.0
2015-11-18,8.6,8.6,8.42,8.48,5885526.0
2015-11-19,8.46,8.81,8.42,8.77,4758237.0
2015-11-20,8.76,8.86,8.69,8.71,2322454.0
2015-11-23,8.71,8.74,8.63,8.66,3806814.0
2015-11-24,8.64,8.78,8.54,8.55,3730178.0
2015-11-25,8.53,8.57,8.45,8.5,5020624.0
2015-11-27,8.54,8.74,8.48,8.73,1142108.0
2015-11-30,8.78,8.86,8.69,8.85,4526744.0
2015-12-01,8.91,9.42,8.87,9.38,6713193.0
2015-12-02,9.41,9.6,9.38,9.55,5819166.0
2015-12-03,9.59,9.62,9.01,9.1,5224904.0
2015-12-04,9.17,9.29,8.99,9.24,4626693.0
2015-12-07,8.75,9.55,8.71,9.09,5698446.0
