Date,open,high,low,close,volume
2015-04-27,96.71,98.14,96.22,96.93,2919318.0
2015-04-28,97.04,97.39,93.45,96.22,3303153.0
2015-04-29,96.26,96.4,94.55,95.42,2754121.0
2015-04-30,97.14,99.84,95.62,96.12,6230676.0
2015-05-01,95.94,102.28,95.8,100.99,4762545.0
2015-05-04,101.22,101.67,98.96,100.13,2447552.0
2015-05-05,99.3,100.14,97.28,97.43,2922693.0
2015-05-06,97.5,98.7,96.43,98.49,2406453.0
2015-05-07,98.87,100.85,98.56,100.74,2733653.0
2015-05-08,102.0,104.8,101.56,103.99,4490461.0
2015-05-11,104.1,104.94,103.19,103.57,2395516.0
2015-05-12,104.12,104.18,101.67,101.78,2277037.0
2015-05-13,102.23,103.18,101.5,101.64,2054777.0
2015-05-14,102.55,103.0,101.55,102.66,1890386.0
2015-05-15,103.34,103.49,101.75,102.72,2248641.0
2015-05-18,102.85,103.43,102.08,103.11,1747131.0
2015-05-19,103.5,105.69,101.97,102.79,2832372.0
2015-05-20,102.85,103.94,101.89,102.88,1745378.0
2015-05-21,102.78,106.88,101.53,106.79,4915284.0
2015-05-22,107.06,108.0,106.12,107.17,2804072.0
2015-05-26,107.88,107.97,105.78,106.99,2982094.0
2015-05-27,107.12,111.14,106.8,110.71,4101808.0
2015-05-28,111.44,112.77,109.6,110.79,5005342.0
2015-05-29,110.8,112.81,110.13,112.28,3578279.0
2015-06-01,113.23,114.0,111.34,111.98,2720290.0
2015-06-02,111.39,111.72,109.22,110.63,3023807.0
2015-06-03,111.74,111.97,108.16,108.23,2938928.0
2015-06-04,107.75,108.65,105.91,106.74,2905051.0
2015-06-05,106.41,107.65,105.87,106.97,2258470.0
2015-06-08,107.02,107.12,103.4,103.83,2781383.0
2015-06-09,103.15,104.19,101.15,103.81,2970226.0
2015-06-10,106.31,106.31,104.6,105.31,2374050.0
2015-06-11,104.95,105.59,103.69,104.66,1557866.0
2015-06-12,103.53,104.47,103.41,103.81,1630862.0
2015-06-15,102.67,103.17,101.43,102.79,2648591.0
2015-06-16,103.24,103.46,101.63,103.15,2043460.0
2015-06-17,103.21,103.88,102.01,102.17,1863547.0
2015-06-18,102.23,106.57,102.23,105.16,2933377.0
2015-06-19,105.21,105.49,103.0,104.57,3488553.0
2015-06-22,105.79,106.44,103.74,104.6,2062624.0
2015-06-23,105.36,105.7,102.69,103.38,2527263.0
