Date,open,high,low,close,volume
2016-07-06,13.35,13.65,13.35,13.64,75789.0
2016-07-07,13.65,13.8,13.27,13.29,51454.0
2016-07-08,13.32,13.7,12.91,13.62,36280.0
2016-07-11,13.65,13.65,13.28,13.38,55678.0
2016-07-12,13.4,13.52,13.0,13.04,52004.0
2016-07-13,13.24,13.56,13.16,13.35,35416.0
2016-07-14,13.33,13.62,13.19,13.61,32320.0
2016-07-15,13.35,13.51,13.18,13.25,44309.0
2016-07-18,13.25,13.31,13.13,13.3,15609.0
2016-07-19,13.06,13.34,12.88,13.03,57169.0
2016-07-20,12.89,13.03,12.55,12.6,65208.0
2016-07-21,12.6,12.86,12.6,12.75,42634.0
2016-07-22,12.68,12.68,12.48,12.55,17233.0
2016-07-25,12.32,12.32,11.97,12.03,145669.0
2016-07-26,12.35,12.69,12.13,12.53,331548.0
2016-07-27,12.76,12.91,12.23,12.81,151616.0
2016-07-28,12.97,13.11,12.73,12.98,105533.0
2016-07-29,13.25,13.43,13.2,13.28,197908.0
2016-08-01,13.66,14.62,13.66,14.49,108716.0
2016-08-02,13.9,14.74,13.7,13.9,228250.0
2016-08-03,13.96,13.96,13.55,13.65,83526.0
2016-08-04,13.84,13.99,13.55,13.56,176362.0
2016-08-05,13.49,13.62,13.14,13.21,146400.0
2016-08-08,13.65,13.65,13.08,13.08,108887.0
2016-08-09,13.25,13.28,13.07,13.17,113797.0
2016-08-10,13.38,13.48,13.18,13.2,114686.0
2016-08-11,13.27,13.34,13.01,13.05,124748.0
2016-08-12,13.27,13.3,13.0,13.11,118231.0
2016-08-15,13.13,13.35,13.08,13.11,115283.0
2016-08-16,13.24,13.24,12.68,12.77,176403.0
2016-08-17,12.77,12.84,12.51,12.67,151695.0
2016-08-18,12.78,13.0,12.63,12.96,230527.0
2016-08-19,12.92,13.0,12.6,12.7,198484.0
2016-08-22,12.9,12.93,12.5,12.71,221112.0
2016-08-23,12.98,12.98,12.56,12.6,121055.0
2016-08-24,12.6,12.6,12.04,12.08,192791.0
2016-08-25,12.04,12.5,11.9,12.19,132263.0
2016-08-26,12.3,12.51,11.78,12.0,139918.0
2016-08-29,11.93,12.38,11.81,11.98,169597.0
2016-08-30,11.98,12.0,11.38,11.43,172536.0
2016-08-31,11.42,11.42,11.05,11.29,150239.0
2016-09-01,11.3,12.14,11.2,12.11,101434.0
2016-09-02,12.38,12.53,12.21,12.34,103256.0
2016-09-06,12.69,12.78,12.5,12.65,156516.0
2016-09-07,12.8,12.8,12.29,12.38,54762.0
2016-09-08,12.38,12.39,11.95,12.03,123510.0
2016-09-09,11.93,11.94,11.38,11.49,126130.0
2016-09-12,11.48,12.1,11.29,12.01,162713.0
2016-09-13,11.97,12.05,11.55,11.74,82895.0
2016-09-14,11.8,11.89,11.5,11.51,47456.0
2016-09-15,11.53,11.9,11.45,11.72,61445.0
2016-09-16,11.66,11.79,10.92,10.96,207514.0
2016-09-19,11.15,11.28,11.09,11.19,72127.0
2016-09-20,11.18,11.38,11.12,11.22,41628.0
2016-09-21,11.41,11.78,11.31,11.72,71298.0
2016-09-22,11.9,12.01,11.56,11.68,100766.0
2016-09-23,11.69,11.7,11.3,11.33,80643.0
2016-09-26,11.45,11.49,11.16,11.23,44683.0
2016-09-27,11.26,11.26,10.95,11.05,92077.0
2016-09-28,10.96,11.25,10.82,11.07,64458.0
2016-09-29,11.05,11.17,10.84,11.01,74934.0
2016-09-30,11.45,11.45,10.87,10.94,73329.0
2016-10-03,10.98,10.98,10.3,10.45,122091.0
2016-10-04,10.22,10.22,9.6,9.74,251016.0
2016-10-05,9.83,9.91,9.37,9.81,175491.0
2016-10-06,9.61,9.95,9.53,9.91,141423.0
2016-10-07,10.03,10.28,9.93,10.11,80931.0
2016-10-10,10.2,10.29,10.15,10.21,24408.0
