Date,open,high,low,close,volume
2015-04-27,66.59,66.87,66.21,66.49,2178324.0
2015-04-28,66.16,66.93,66.01,66.9,1712037.0
2015-04-29,66.91,67.0,65.95,66.26,1362031.0
2015-04-30,65.79,66.21,64.97,65.35,1940624.0
2015-05-01,65.4,65.81,65.22,65.56,1813413.0
2015-05-04,65.8,66.47,65.8,66.05,1462666.0
2015-05-05,65.73,66.09,65.02,65.12,1616546.0
2015-05-06,65.45,65.46,64.38,64.82,1340611.0
2015-05-07,64.82,65.85,64.31,65.68,1807162.0
2015-05-08,66.25,66.69,66.01,66.48,1771092.0
2015-05-11,66.33,67.01,66.15,66.75,1551020.0
2015-05-12,66.44,66.56,65.7,66.1,1080881.0
2015-05-13,66.08,66.74,65.94,66.57,1289535.0
2015-05-14,67.03,67.17,66.61,66.82,1441191.0
2015-05-15,66.92,66.95,65.9,66.45,1207620.0
2015-05-18,66.12,66.64,65.36,65.77,1597326.0
2015-05-19,65.76,65.98,65.07,65.54,1022994.0
2015-05-20,65.46,65.7,65.09,65.39,769345.0
2015-05-21,65.26,65.68,65.09,65.54,801345.0
2015-05-22,65.47,65.99,65.4,65.76,1224014.0
2015-05-26,65.72,65.75,64.8,65.41,2097368.0
2015-05-27,65.63,66.74,65.43,66.2,1530084.0
2015-05-28,66.17,66.2,64.95,65.17,1131704.0
2015-05-29,64.91,65.19,63.42,63.56,2359032.0
2015-06-01,64.23,64.57,63.19,64.05,1498754.0
2015-06-02,64.0,64.86,63.76,64.59,1747781.0
2015-06-03,64.72,65.07,64.29,64.49,1128764.0
2015-06-04,64.07,64.34,63.59,63.82,1014490.0
2015-06-05,63.68,63.9,63.16,63.53,1007258.0
2015-06-08,63.48,63.72,63.35,63.39,900301.0
2015-06-09,63.41,64.38,63.38,63.76,1106633.0
2015-06-10,64.0,65.25,64.0,65.04,1499203.0
2015-06-11,65.09,65.55,65.01,65.46,1301157.0
2015-06-12,65.17,65.44,64.9,65.01,1049125.0
2015-06-15,64.56,64.71,63.86,64.3,928273.0
2015-06-16,64.07,64.31,63.41,64.05,1164059.0
2015-06-17,64.24,64.28,63.25,63.9,1317970.0
2015-06-18,63.99,65.19,63.99,64.84,1545166.0
2015-06-19,64.83,65.0,64.38,64.69,2406747.0
2015-06-22,65.09,65.43,64.87,65.16,1297017.0
2015-06-23,65.15,65.32,64.75,65.06,898176.0
