Date,open,high,low,close,volume
2015-06-11,15.76,17.44,15.61,16.7,1408700.0
2015-06-12,16.49,16.78,16.0,16.41,186200.0
2015-06-15,16.11,16.6,16.0,16.06,70500.0
2015-06-16,16.07,16.25,16.05,16.2,41700.0
2015-06-17,16.2,16.69,16.11,16.49,43900.0
2015-06-18,16.79,17.195,16.31,16.6,38900.0
2015-06-19,16.74,16.95,16.46,16.95,55000.0
2015-06-22,17.11,17.11,16.65,16.72,32900.0
2015-06-23,16.45,17.21,16.45,17.2,35300.0
2015-06-24,17.02,17.18,16.95,16.95,3900.0
2015-06-25,17.11,17.11,16.78,16.79,36200.0
2015-06-26,16.85,16.9,16.85,16.85,2700.0
2015-06-29,17.01,17.01,16.8,16.88,5700.0
2015-06-30,17.0,17.21,16.87,16.98,16900.0
2015-07-01,16.96,17.15,16.86,17.0,113000.0
2015-07-02,16.81,16.937,16.594,16.91,26300.0
2015-07-06,16.46,16.6,16.36,16.43,38000.0
2015-07-07,16.43,16.51,16.35,16.35,32000.0
2015-07-08,16.21,16.98,16.21,16.98,19600.0
2015-07-09,16.55,16.56,16.392,16.48,25500.0
2015-07-10,16.4,16.55,16.4,16.46,24800.0
2015-07-13,16.55,16.78,16.38,16.38,19600.0
2015-07-14,16.4,16.73,16.4,16.73,11300.0
2015-07-15,16.46,16.7,16.46,16.61,28400.0
2015-07-16,16.7,16.83,16.6,16.8,10200.0
2015-07-17,16.8,16.8,16.64,16.79,12200.0
2015-07-20,16.56,17.0,16.51,17.0,19000.0
2015-07-21,16.57,16.88,16.57,16.8,5200.0
2015-07-22,16.62,16.85,16.61,16.85,12500.0
2015-07-23,16.85,16.95,16.816,16.86,8900.0
2015-07-24,16.86,16.95,16.67,16.712,11900.0
2015-07-27,16.73,16.95,16.51,16.86,7700.0
2015-07-28,16.8,16.95,16.8,16.95,11700.0
2015-07-29,16.95,17.69,16.928,17.47,20200.0
2015-07-30,17.33,17.63,17.25,17.57,34100.0
2015-07-31,17.34,17.7,17.32,17.7,50700.0
2015-08-03,17.63,17.63,17.42,17.6,32100.0
2015-08-04,17.6,17.68,17.54,17.68,6400.0
2015-08-05,17.68,17.84,17.25,17.43,41500.0
2015-08-06,17.45,17.5,17.14,17.3,44000.0
2015-08-07,17.39,17.48,17.12,17.25,37800.0
2015-08-10,17.2,17.41,17.2,17.38,30000.0
2015-08-11,17.31,17.74,17.12,17.52,63700.0
2015-08-12,17.43,17.74,17.31,17.65,37600.0
2015-08-13,17.58,17.64,17.39,17.52,20500.0
2015-08-14,17.56,17.6,17.5,17.58,26600.0
