Date,open,high,low,close,volume
2015-04-27,3.83,3.91,3.82,3.86,11621.0
2015-04-29,3.93,3.93,3.93,3.93,200.0
2015-05-01,3.9,3.9,3.82,3.82,702.0
2015-05-04,3.82,3.89,3.82,3.88,6850.0
2015-05-05,3.84,3.84,3.82,3.82,1629.0
2015-05-07,3.82,3.93,3.82,3.82,2288.0
2015-05-08,3.82,3.92,3.71,3.88,3300.0
2015-05-11,3.8,3.8,3.75,3.79,3018.0
2015-05-12,3.77,3.77,3.77,3.77,182.0
2015-05-13,3.83,3.83,3.83,3.83,200.0
2015-05-14,3.81,3.81,3.76,3.77,1269.0
2015-05-15,3.78,3.8,3.7,3.76,8249.0
2015-05-18,3.75,3.8,3.73,3.73,10433.0
2015-05-19,3.75,3.84,3.75,3.84,3500.0
2015-05-20,3.75,3.81,3.75,3.75,5850.0
2015-05-21,3.77,3.77,3.77,3.77,100.0
2015-05-26,3.76,3.89,3.76,3.81,1932.0
2015-05-27,3.77,3.77,3.77,3.77,700.0
2015-05-29,3.78,3.78,3.78,3.78,235.0
2015-06-01,3.75,3.75,3.75,3.75,8630.0
2015-06-02,3.75,3.75,3.75,3.75,335.0
2015-06-03,3.75,3.75,3.75,3.75,10272.0
2015-06-04,3.74,3.74,3.74,3.74,500.0
2015-06-08,3.77,3.8,3.74,3.8,1050.0
2015-06-10,3.87,3.87,3.87,3.87,100.0
2015-06-11,3.83,3.85,3.76,3.85,6319.0
2015-06-12,3.85,3.85,3.85,3.85,558.0
2015-06-15,3.95,3.95,3.95,3.95,174.0
2015-06-16,3.97,3.97,3.96,3.96,300.0
2015-06-17,3.85,3.85,3.85,3.85,247.0
2015-06-18,3.93,3.93,3.93,3.93,182.0
2015-06-19,3.95,3.95,3.89,3.89,1720.0
2015-06-22,3.95,3.95,3.91,3.91,2925.0
2015-06-24,3.96,3.96,3.8,3.93,6820.0
2015-06-25,3.95,3.95,3.95,3.95,492.0
2015-06-26,3.96,3.96,3.74,3.94,11192.0
2015-06-30,3.96,3.96,3.85,3.85,843.0
2015-07-01,3.91,3.94,3.75,3.89,18054.0
2015-07-02,3.94,3.95,3.94,3.95,2682.0
2015-07-06,3.96,3.96,3.85,3.85,843.0
2015-07-07,3.96,3.96,3.9,3.9,14117.0
2015-07-08,3.9,3.98,3.85,3.85,5667.0
2015-07-09,4.14,4.14,3.92,3.92,296.0
2015-07-10,4.01,4.01,3.86,3.86,1197.0
