Date,open,high,low,close,volume
2015-04-27,45.54,46.09,45.46,45.63,2454369.0
2015-04-28,45.88,45.99,45.44,45.68,2632979.0
2015-04-29,44.92,45.39,44.64,45.16,2593632.0
2015-04-30,44.12,45.09,43.95,44.79,4376074.0
2015-05-01,46.32,46.35,45.26,45.87,2796475.0
2015-05-04,45.98,46.08,45.58,45.79,1221399.0
2015-05-05,45.95,46.43,45.74,45.91,2246537.0
2015-05-06,46.11,46.17,45.45,45.67,2184533.0
2015-05-07,45.42,45.62,44.93,45.62,2714159.0
2015-05-08,46.34,46.45,45.59,46.11,1844719.0
2015-05-11,47.03,47.37,46.65,46.88,3261321.0
2015-05-12,46.5,47.08,46.35,46.77,1816391.0
2015-05-13,46.79,47.13,46.42,46.48,1975462.0
2015-05-14,46.71,46.98,46.27,46.36,1588760.0
2015-05-15,46.24,46.33,45.95,46.13,2096675.0
2015-05-18,45.92,46.16,45.56,45.64,1581518.0
2015-05-19,44.35,44.53,43.91,44.25,3102912.0
2015-05-20,44.71,45.0,44.35,44.63,1822508.0
2015-05-21,45.25,45.27,44.83,44.97,1636968.0
2015-05-22,45.07,45.34,44.8,44.88,2330429.0
2015-05-26,44.75,44.79,44.02,44.3,1692246.0
2015-05-27,44.04,44.51,43.91,44.43,2076472.0
2015-05-28,43.93,44.23,43.56,44.14,1780389.0
2015-05-29,43.86,44.1,43.5,43.77,1435903.0
2015-06-01,43.77,43.88,42.92,43.17,1760663.0
2015-06-02,43.86,45.0,43.8,44.69,2481782.0
2015-06-03,44.4,44.65,43.94,44.1,2047092.0
2015-06-04,44.09,44.32,43.63,43.84,1332169.0
2015-06-05,43.45,44.1,43.3,43.63,1369225.0
2015-06-08,43.46,43.66,43.02,43.25,1587303.0
2015-06-09,42.98,43.09,42.38,42.42,2743993.0
2015-06-10,44.02,44.44,43.63,43.9,3302746.0
2015-06-11,44.02,44.23,43.66,44.17,1818572.0
2015-06-12,44.03,44.2,43.73,44.04,1426645.0
2015-06-15,43.61,43.87,43.51,43.61,1346766.0
2015-06-16,43.06,43.14,42.8,43.01,1604340.0
2015-06-17,43.11,43.44,42.66,43.27,1647136.0
2015-06-18,43.67,43.87,43.29,43.68,1559125.0
2015-06-19,43.51,43.7,43.13,43.16,1550511.0
2015-06-22,43.75,43.93,43.48,43.53,1157421.0
2015-06-23,43.18,43.85,43.16,43.8,1807795.0
2015-06-24,43.88,44.19,43.51,43.59,1486400.0
2015-06-25,43.38,43.49,42.84,42.9,1338984.0
2015-06-26,42.72,42.98,42.6,42.84,1003702.0
2015-06-29,42.36,42.61,42.01,42.04,1404275.0
2015-06-30,42.11,42.11,40.85,41.21,4778173.0
2015-07-01,41.05,41.14,40.62,40.73,2814311.0
2015-07-02,41.28,41.64,40.85,41.04,2034094.0
2015-07-06,39.96,40.49,39.67,40.14,2681279.0
2015-07-07,39.16,39.88,38.26,39.72,4259766.0
2015-07-08,38.4,38.65,37.96,38.17,4178705.0
2015-07-09,39.25,39.44,38.53,38.53,2642494.0
2015-07-10,39.81,39.82,39.1,39.14,2884339.0
2015-07-13,39.87,40.98,39.5,40.67,6018657.0
2015-07-14,40.68,40.69,40.09,40.51,3098824.0
2015-07-15,40.66,40.66,40.14,40.47,3101579.0
2015-07-16,41.06,41.2,40.56,40.81,2225405.0
2015-07-17,40.58,40.59,40.16,40.35,1626057.0
2015-07-20,40.28,40.42,39.92,40.01,2021763.0
2015-07-21,39.91,40.61,39.81,39.99,3715400.0
2015-07-22,38.98,39.39,38.81,39.03,2736171.0
2015-07-23,39.08,39.27,38.4,38.53,2506097.0
2015-07-24,38.08,38.1,37.09,37.39,3523141.0
2015-07-27,37.34,37.58,36.8,36.97,3126358.0
