Date,open,high,low,close,volume
2015-04-27,104.41,104.59,102.46,102.47,1059566.0
2015-04-28,102.17,103.04,101.26,101.83,1182401.0
2015-04-29,101.42,101.55,98.83,99.76,1481023.0
2015-04-30,99.76,100.57,98.44,98.88,1427253.0
2015-05-01,99.14,101.88,99.14,101.7,1169829.0
2015-05-04,101.61,102.03,100.86,101.28,826793.0
2015-05-05,100.79,101.59,99.93,100.53,913148.0
2015-05-06,100.53,101.37,100.12,101.2,1057411.0
2015-05-07,101.31,101.85,100.56,100.83,1199088.0
2015-05-08,101.55,103.4,101.55,102.57,977874.0
2015-05-11,102.79,103.4,101.97,102.01,976760.0
2015-05-12,101.87,102.79,101.14,102.07,868118.0
2015-05-13,102.2,102.82,100.98,101.24,1053374.0
2015-05-14,101.74,102.34,98.99,99.36,2524226.0
2015-05-15,99.65,100.7,99.08,100.48,1869053.0
2015-05-18,100.63,102.49,99.88,102.35,1325800.0
2015-05-19,104.26,104.76,102.61,102.98,1753002.0
2015-05-20,102.62,102.77,100.91,100.93,1322894.0
2015-05-21,100.67,102.01,100.2,101.55,2067000.0
2015-05-22,102.92,102.92,96.33,97.03,3700843.0
2015-05-26,97.25,97.52,95.22,95.56,2054221.0
2015-05-27,95.83,97.17,95.41,96.55,1378719.0
2015-05-28,96.48,97.26,96.29,96.94,1294541.0
2015-05-29,97.07,97.23,96.24,96.67,1867126.0
2015-06-01,96.81,97.23,95.76,96.52,1269685.0
2015-06-02,96.54,97.74,96.22,96.98,1022518.0
2015-06-03,97.47,98.29,96.76,98.18,929022.0
2015-06-04,97.45,98.55,97.45,97.86,1293885.0
2015-06-05,97.3,98.3,97.01,97.6,1195854.0
2015-06-08,97.53,98.53,97.28,97.58,1330271.0
2015-06-09,97.47,98.06,96.95,97.5,1374374.0
2015-06-10,97.66,98.16,97.16,97.83,974146.0
2015-06-11,98.12,98.66,97.6,97.88,765659.0
2015-06-12,48.48,49.08,48.27,48.53,1887722.0
2015-06-15,48.22,48.73,47.87,48.69,1888313.0
2015-06-16,48.54,49.18,48.46,49.17,1586801.0
2015-06-17,49.05,49.6,48.92,49.43,2111009.0
2015-06-18,49.63,50.26,49.6,50.16,1855902.0
2015-06-19,50.12,50.74,49.84,50.43,3798442.0
2015-06-22,50.73,50.78,50.25,50.31,1557846.0
2015-06-23,50.21,50.59,50.12,50.54,1687754.0
2015-06-24,49.85,50.7,49.85,50.08,1710964.0
2015-06-25,50.26,50.28,49.79,49.79,1476788.0
2015-06-26,50.03,50.57,49.85,50.27,1611317.0
2015-06-29,49.91,49.99,48.5,48.54,1993431.0
2015-06-30,49.08,49.27,48.27,48.6,2231858.0
2015-07-01,48.96,49.5,48.82,49.38,1919906.0
2015-07-02,50.33,50.45,48.97,49.31,2010431.0
2015-07-06,48.86,50.13,48.86,49.86,2440161.0
2015-07-07,50.02,50.63,49.55,50.54,3025773.0
2015-07-08,50.41,50.64,49.98,50.18,2425310.0
2015-07-09,50.69,51.0,50.27,50.32,2495170.0
