Date,open,high,low,close,volume
2015-04-27,51.81,51.94,50.76,50.87,11185570.0
2015-04-28,50.6,50.8,49.98,50.61,8805594.0
2015-04-29,50.42,50.95,50.2,50.65,7129700.0
2015-04-30,50.63,50.68,49.43,49.58,8316812.0
2015-05-01,49.95,50.42,49.68,50.28,5888877.0
2015-05-04,50.3,50.93,50.27,50.44,7348319.0
2015-05-05,49.94,50.05,49.36,49.4,10622893.0
2015-05-06,49.68,49.7,48.57,48.93,7980816.0
2015-05-07,48.74,49.55,48.72,49.35,5614992.0
2015-05-08,49.99,50.42,49.46,49.77,5956911.0
2015-05-11,49.71,50.22,49.38,49.5,4953948.0
2015-05-12,49.15,49.99,49.0,49.71,5738058.0
2015-05-13,49.85,50.15,49.42,49.59,4777992.0
2015-05-14,49.98,50.59,49.67,50.55,7258626.0
2015-05-15,50.79,50.85,50.39,50.8,5964089.0
2015-05-18,50.65,51.29,50.56,51.18,8940256.0
2015-05-19,51.48,51.71,50.96,51.42,6944770.0
2015-05-20,51.31,51.44,50.43,51.03,5623196.0
2015-05-21,50.94,51.45,50.78,51.33,5081773.0
2015-05-22,51.33,51.65,51.21,51.48,5832818.0
2015-05-26,51.38,51.78,50.66,50.84,7334892.0
2015-05-27,51.04,51.7,50.91,51.59,6178205.0
2015-05-28,51.84,51.94,51.44,51.81,5840267.0
2015-05-29,51.95,52.23,51.45,51.96,8969800.0
2015-06-01,51.96,52.46,51.67,52.22,7060711.0
2015-06-02,51.98,52.3,51.66,51.73,7857106.0
2015-06-03,52.0,52.27,51.67,52.14,5509072.0
2015-06-04,51.87,52.18,51.57,51.72,6200208.0
2015-06-05,51.57,52.44,51.27,52.19,7102467.0
2015-06-08,52.0,52.23,51.49,51.53,6278414.0
2015-06-09,51.35,51.7,51.1,51.54,4981482.0
2015-06-10,51.8,52.86,51.66,52.69,7963699.0
2015-06-11,52.81,53.0,52.44,52.49,5958023.0
2015-06-12,52.41,52.74,52.16,52.63,5215954.0
2015-06-15,52.23,52.46,52.01,52.27,5505202.0
2015-06-16,52.27,53.14,52.2,52.96,6094479.0
2015-06-17,53.09,53.47,52.72,53.24,6698244.0
2015-06-18,53.5,54.28,53.4,54.11,10696358.0
2015-06-19,54.08,54.44,53.84,53.88,9962331.0
2015-06-22,54.32,54.43,53.88,53.9,7082161.0
2015-06-23,54.04,54.18,53.72,54.11,5673827.0
2015-06-24,53.75,53.97,53.51,53.71,5511099.0
2015-06-25,54.09,54.45,54.0,54.09,5381826.0
2015-06-26,54.46,54.75,54.3,54.62,5826462.0
2015-06-29,53.87,54.39,53.51,53.55,6506188.0
2015-06-30,54.15,54.3,53.14,53.61,9680021.0
2015-07-01,53.86,54.21,53.6,53.9,6047664.0
2015-07-02,54.03,54.7,53.95,54.22,5657912.0
2015-07-06,53.64,54.4,53.63,54.31,5384249.0
2015-07-07,54.29,54.54,53.36,54.37,9453891.0
2015-07-08,53.86,54.02,53.31,53.4,8067762.0
2015-07-09,54.07,54.5,53.88,54.05,7647727.0
2015-07-10,54.54,54.73,54.18,54.58,8074427.0
2015-07-13,55.0,55.89,54.9,55.68,7439562.0
2015-07-14,55.96,56.06,55.52,55.75,6988858.0
2015-07-15,55.92,55.95,55.28,55.34,8189237.0
2015-07-16,56.06,56.16,55.66,55.74,7285526.0
2015-07-17,55.9,55.9,55.37,55.69,8670957.0
2015-07-20,55.73,56.74,55.7,56.21,7968049.0
2015-07-21,56.38,56.47,55.78,56.2,6662435.0
2015-07-22,56.43,56.87,56.25,56.69,6800540.0
2015-07-23,56.98,57.0,56.16,56.56,11642229.0
2015-07-24,59.12,59.31,57.15,57.29,14505130.0
2015-07-27,57.21,57.47,56.85,57.01,8968235.0
2015-07-28,57.39,57.4,56.56,57.14,8524365.0
2015-07-29,57.38,57.8,57.14,57.51,8426085.0
2015-07-30,57.3,58.15,57.01,58.06,7293012.0
2015-07-31,58.44,58.44,57.73,57.94,6501316.0
2015-08-03,58.62,58.96,58.03,58.19,7344538.0
2015-08-04,58.25,58.72,58.03,58.7,9080487.0
2015-08-05,59.15,59.32,58.83,59.02,7322123.0
2015-08-06,59.13,59.2,57.09,57.23,10991579.0
2015-08-07,57.33,57.36,56.51,57.2,7744371.0
2015-08-10,57.29,57.62,55.75,56.27,11946944.0
2015-08-11,55.79,56.43,55.24,56.36,8010228.0
2015-08-12,55.69,56.4,54.95,56.38,9963152.0
2015-08-13,56.52,57.25,56.51,56.85,6683079.0
2015-08-14,56.95,57.12,56.66,57.1,4789329.0
2015-08-17,57.0,57.76,56.73,57.74,5744953.0
2015-08-18,57.96,58.06,57.66,57.83,5558524.0
2015-08-19,57.58,58.08,57.11,57.59,6034687.0
2015-08-20,57.0,57.15,55.77,55.81,7395201.0
2015-08-21,54.72,54.86,52.6,52.85,20059910.0
2015-08-24,48.05,52.67,42.05,50.34,27045997.0
2015-08-25,52.96,53.61,51.05,51.09,19525311.0
2015-08-26,52.99,54.15,51.27,53.96,15296059.0
2015-08-27,54.76,56.21,54.41,55.96,15832030.0
2015-08-28,55.7,56.31,55.2,55.63,7565432.0
2015-08-31,55.19,55.47,54.5,54.7,7856267.0
2015-09-01,53.0,54.36,52.74,53.5,13301836.0
2015-09-02,54.5,55.29,53.75,55.26,9874400.0
2015-09-03,55.72,55.76,54.47,54.69,7859930.0
2015-09-04,53.87,54.57,53.84,54.28,6918069.0
2015-09-08,55.31,55.45,54.53,55.21,7959282.0
2015-09-09,55.9,56.0,54.57,54.7,8338505.0
2015-09-10,54.34,55.69,54.33,55.37,8849964.0
2015-09-11,55.19,56.54,55.03,56.53,8335151.0
2015-09-14,56.54,56.91,56.05,56.29,5437835.0
2015-09-15,56.43,57.21,56.11,56.91,6729131.0
2015-09-16,56.83,57.35,56.21,57.26,6589107.0
2015-09-17,57.32,58.1,57.04,57.28,7389452.0
2015-09-18,56.49,57.63,56.28,56.84,15456150.0
2015-09-21,57.2,57.84,56.96,57.54,6208907.0
2015-09-22,56.85,57.25,56.7,57.12,8527735.0
2015-09-23,57.16,57.93,57.05,57.79,6808097.0
2015-09-24,57.38,58.54,57.17,58.37,9897494.0
2015-09-25,58.92,58.96,57.74,57.98,10570505.0
2015-09-28,58.01,58.43,55.62,55.77,11485777.0
2015-09-29,55.85,56.3,54.81,55.72,9383202.0
2015-09-30,56.4,56.9,55.61,56.84,9658613.0
2015-10-01,56.99,57.5,55.89,57.48,8481284.0
2015-10-02,56.99,58.09,56.54,58.08,9002053.0
2015-10-05,58.49,59.18,58.07,59.02,8136417.0
2015-10-06,58.82,59.14,58.22,58.69,5519227.0
2015-10-07,58.62,58.83,57.9,58.78,8084248.0
2015-10-08,58.78,59.71,58.39,59.46,6786543.0
2015-10-09,59.47,60.11,59.3,60.07,7929780.0
2015-10-12,60.35,60.89,60.04,60.54,6406225.0
2015-10-13,60.34,60.74,60.01,60.16,6169703.0
2015-10-14,60.0,60.17,58.43,58.82,8319774.0
2015-10-15,58.95,59.83,58.08,59.69,9721962.0
2015-10-16,59.96,60.29,59.45,59.93,12836134.0
2015-10-19,60.13,61.29,59.87,60.97,8114010.0
2015-10-20,61.22,61.36,60.56,60.88,5958257.0
2015-10-21,61.07,61.12,60.16,60.53,6044961.0
2015-10-22,60.96,61.71,60.17,61.49,9122924.0
2015-10-23,62.11,62.8,61.62,62.61,8154351.0
2015-10-26,62.98,63.84,62.97,63.43,9679828.0
2015-10-27,63.37,63.41,62.19,62.69,8925911.0
2015-10-28,63.11,63.52,62.42,63.51,9533750.0
2015-10-29,63.42,63.5,61.71,62.5,13473355.0
2015-10-30,63.69,64.0,62.26,62.56,16749244.0
2015-11-02,63.01,63.1,62.12,62.24,8485016.0
2015-11-03,62.0,62.97,61.65,62.8,8831456.0
2015-11-04,63.03,63.03,61.34,61.96,9064799.0
2015-11-05,62.17,62.46,62.01,62.28,6133034.0
2015-11-06,62.05,62.24,61.61,61.97,6598258.0
2015-11-09,61.75,61.97,60.86,61.34,6821242.0
2015-11-10,61.54,62.32,61.21,62.19,6678978.0
2015-11-11,62.55,62.57,61.81,61.86,4422213.0
2015-11-12,61.34,61.65,60.75,61.07,6748884.0
2015-11-13,60.89,61.34,59.61,59.74,8758163.0
2015-11-16,59.5,60.69,59.5,60.68,8012248.0
2015-11-17,60.95,61.56,60.43,60.55,6588749.0
2015-11-18,60.66,61.86,60.33,61.8,7138694.0
2015-11-19,61.8,61.93,61.39,61.46,5140906.0
2015-11-20,61.96,62.15,61.58,61.99,8297673.0
2015-11-23,62.81,63.19,62.1,62.64,8483679.0
2015-11-24,62.06,62.37,61.22,61.96,7905429.0
2015-11-25,62.05,62.5,62.0,62.19,4532533.0
2015-11-27,62.19,62.38,61.93,62.18,2447902.0
2015-11-30,62.1,62.29,61.2,61.39,9121686.0
2015-12-01,61.08,61.68,60.51,61.37,10899535.0
2015-12-02,61.63,61.71,61.11,61.22,6579962.0
2015-12-03,61.37,61.44,59.15,59.56,12031389.0
2015-12-04,59.86,61.87,59.6,61.75,9023014.0
2015-12-07,61.75,61.95,61.44,61.89,5899685.0
2015-12-08,61.69,62.43,61.52,62.16,6653981.0
2015-12-09,61.71,62.53,60.82,61.18,8532295.0
2015-12-10,61.13,62.14,61.01,61.87,6601650.0
2015-12-11,60.86,61.19,59.6,59.82,11471920.0
2015-12-14,60.04,60.14,58.61,59.93,13418007.0
2015-12-15,60.55,60.68,59.97,59.99,7799526.0
2015-12-16,60.32,60.5,59.51,60.35,9219921.0
2015-12-17,60.66,60.83,59.47,59.51,9057850.0
2015-12-18,59.2,59.5,58.27,58.51,17966392.0
2015-12-21,58.89,59.61,58.66,59.54,7130043.0
2015-12-22,59.94,60.07,59.27,59.99,6456300.0
2015-12-23,60.26,60.37,59.96,60.34,4504154.0
2015-12-24,60.37,60.51,60.17,60.32,2215418.0
2015-12-28,60.02,60.33,59.58,60.19,4426468.0
2015-12-29,60.46,61.32,60.35,61.13,5464519.0
2015-12-30,61.22,61.4,60.75,60.82,3965626.0
2015-12-31,60.65,60.81,60.02,60.03,4912617.0
2016-01-04,58.77,58.83,57.6,58.26,13461607.0
2016-01-05,58.79,58.79,57.98,58.65,9600543.0
2016-01-06,57.7,58.53,57.64,58.13,8250347.0
2016-01-07,56.88,57.91,56.16,56.69,11099170.0
2016-01-08,57.41,57.73,56.53,56.64,10392678.0
2016-01-11,57.0,58.12,56.78,57.82,10521233.0
2016-01-12,58.39,59.53,58.18,59.46,12260977.0
2016-01-13,59.8,60.0,57.8,57.87,11266251.0
2016-01-14,57.51,59.43,56.92,58.98,11354181.0
2016-01-15,57.07,58.39,56.75,58.0,15161450.0
2016-01-19,58.67,59.39,58.12,58.55,12250972.0
2016-01-20,57.57,57.96,54.94,56.92,22753725.0
2016-01-21,57.84,59.38,57.67,59.01,20278429.0
2016-01-22,57.55,59.4,57.41,59.17,32779301.0
2016-01-25,59.36,59.38,57.61,57.71,13531738.0
2016-01-26,57.92,58.86,57.8,58.61,8880730.0
2016-01-27,58.87,58.96,57.25,57.63,12485919.0
2016-01-28,58.29,59.42,58.0,59.28,11830323.0
2016-01-29,59.78,60.88,59.64,60.77,13212666.0
2016-02-01,60.66,61.78,60.27,61.4,9527444.0
