Date,open,high,low,close,volume
2015-04-27,37.33,37.79,35.18,35.47,1062806.0
2015-04-28,35.42,35.77,34.05,34.78,1512239.0
2015-04-29,34.79,35.51,34.47,35.07,780229.0
2015-04-30,34.68,35.35,33.68,34.34,1532723.0
2015-05-01,34.1,35.45,32.68,34.05,1850090.0
2015-05-04,34.27,35.26,33.88,34.2,1088225.0
2015-05-05,34.16,35.1,33.89,35.0,1594058.0
2015-05-06,35.27,37.4,35.21,37.27,2331761.0
2015-05-07,37.3,38.42,36.75,38.04,1849737.0
2015-05-08,38.97,42.05,38.95,41.12,2663720.0
2015-05-11,41.1,41.31,39.34,39.75,1831124.0
2015-05-12,39.72,40.23,39.02,40.13,849970.0
2015-05-13,40.33,40.44,39.36,39.79,613498.0
2015-05-14,39.91,40.34,39.17,40.24,646102.0
2015-05-15,40.28,41.24,39.88,39.94,803470.0
2015-05-18,39.99,40.73,39.65,40.5,482799.0
2015-05-19,40.5,41.64,40.31,41.23,1168491.0
2015-05-20,41.34,43.25,40.87,42.99,1603887.0
2015-05-21,43.14,43.89,42.5,43.76,1697925.0
2015-05-22,43.85,44.39,42.8,43.23,871388.0
2015-05-26,43.17,43.58,42.53,42.77,1144794.0
2015-05-27,43.0,43.14,42.2,42.5,1276275.0
2015-05-28,42.36,43.57,41.85,43.16,969829.0
2015-05-29,43.05,43.9,42.82,43.09,765512.0
2015-06-01,43.19,43.68,42.16,43.39,660355.0
2015-06-02,43.22,46.44,42.8,45.52,1636440.0
2015-06-03,45.75,46.23,45.31,45.78,946369.0
2015-06-04,45.37,46.25,45.03,45.67,605979.0
2015-06-05,45.34,46.98,45.04,46.87,733436.0
2015-06-08,46.8,48.65,46.4,47.8,1373497.0
2015-06-09,47.79,47.94,45.5,46.41,1125692.0
2015-06-10,46.34,46.6,45.51,46.45,663306.0
2015-06-11,46.46,46.98,46.05,46.96,514431.0
2015-06-12,46.62,47.01,46.25,46.91,435242.0
2015-06-15,46.7,47.02,46.2,46.77,565740.0
2015-06-16,46.64,47.24,46.22,46.62,423646.0
2015-06-17,46.71,47.3,46.54,46.85,574711.0
