Date,open,high,low,close,volume
2015-04-27,3.96,3.98,3.93,3.95,22474696.0
2015-04-28,3.9,3.95,3.85,3.94,54697776.0
2015-04-29,3.93,4.0,3.9,3.98,39782528.0
2015-04-30,3.97,3.99,3.9,3.95,39605103.0
2015-05-01,3.94,3.95,3.9,3.92,30214734.0
2015-05-04,3.93,3.95,3.88,3.88,27358097.0
2015-05-05,3.88,3.9,3.83,3.85,21604751.0
2015-05-06,3.85,3.86,3.81,3.83,19936148.0
2015-05-07,3.83,3.86,3.81,3.85,17385524.0
2015-05-08,3.87,3.89,3.85,3.86,18688888.0
2015-05-11,3.85,3.87,3.82,3.83,17140880.0
2015-05-12,3.81,3.86,3.8,3.83,15805362.0
2015-05-13,3.84,3.87,3.83,3.86,16483043.0
2015-05-14,3.88,3.9,3.87,3.88,10737791.0
2015-05-15,3.9,3.91,3.89,3.91,17344834.0
2015-05-18,3.89,3.91,3.88,3.9,12651561.0
2015-05-19,3.91,3.92,3.89,3.9,15850192.0
2015-05-20,3.9,3.92,3.89,3.91,15584521.0
2015-05-21,3.91,3.93,3.9,3.93,16733315.0
2015-05-22,3.92,3.93,3.9,3.91,16893364.0
2015-05-26,3.89,3.91,3.85,3.87,19065504.0
2015-05-27,3.87,3.92,3.87,3.9,18847744.0
2015-05-28,3.88,3.89,3.79,3.79,38251337.0
2015-05-29,3.8,3.86,3.79,3.85,30947232.0
2015-06-01,3.85,3.88,3.84,3.88,24662519.0
2015-06-02,3.86,3.89,3.85,3.87,18943506.0
2015-06-03,3.88,3.92,3.87,3.91,15947553.0
2015-06-04,3.89,3.92,3.89,3.9,13388174.0
2015-06-05,3.9,3.92,3.88,3.88,19060104.0
2015-06-08,3.86,3.89,3.81,3.81,22200912.0
2015-06-09,3.81,3.83,3.73,3.78,30315548.0
2015-06-10,3.79,3.85,3.78,3.83,26117302.0
2015-06-11,3.83,3.85,3.79,3.82,22104506.0
2015-06-12,3.8,3.82,3.78,3.81,11396387.0
2015-06-15,3.78,3.81,3.75,3.77,24449705.0
2015-06-16,3.77,3.79,3.75,3.76,28647433.0
2015-06-17,3.77,3.78,3.74,3.77,29946092.0
2015-06-18,3.77,3.88,3.77,3.86,47321558.0
2015-06-19,3.86,3.88,3.85,3.87,32946031.0
2015-06-22,3.88,3.9,3.86,3.88,17344737.0
2015-06-23,3.86,3.88,3.84,3.86,10639126.0
2015-06-24,3.84,3.87,3.81,3.81,13683036.0
2015-06-25,3.83,3.83,3.79,3.81,21463973.0
2015-06-26,3.83,3.86,3.81,3.84,29575886.0
2015-06-29,3.82,3.82,3.71,3.72,31791236.0
2015-06-30,3.73,3.75,3.7,3.73,31207736.0
2015-07-01,3.76,3.76,3.73,3.75,29266803.0
2015-07-02,3.75,3.76,3.71,3.72,16141865.0
2015-07-06,3.7,3.7,3.66,3.68,37620190.0
2015-07-07,3.68,3.74,3.64,3.71,22001337.0
2015-07-08,3.69,3.72,3.63,3.65,19759944.0
2015-07-09,3.66,3.73,3.66,3.7,33374450.0
2015-07-10,3.72,3.75,3.7,3.72,19616587.0
2015-07-13,3.75,3.83,3.74,3.82,21360651.0
2015-07-14,3.81,3.87,3.8,3.83,27526068.0
2015-07-15,3.81,3.87,3.81,3.84,19949879.0
2015-07-16,3.85,3.89,3.85,3.87,18328195.0
2015-07-17,3.87,3.89,3.84,3.85,17683342.0
2015-07-20,3.87,3.87,3.82,3.83,14930643.0
2015-07-21,3.81,3.86,3.81,3.84,32954166.0
2015-07-22,3.83,3.86,3.82,3.85,20933688.0
2015-07-23,3.86,3.89,3.85,3.88,57452779.0
2015-07-24,3.9,3.93,3.86,3.88,35997007.0
2015-07-27,3.86,3.9,3.78,3.84,56564205.0
2015-07-28,3.93,3.97,3.86,3.96,85003731.0
2015-07-29,3.98,4.0,3.95,3.95,35738226.0
2015-07-30,3.96,4.01,3.94,3.97,37154571.0
2015-07-31,3.98,4.0,3.96,3.96,26814837.0
2015-08-03,3.96,4.0,3.95,3.96,25155350.0
2015-08-04,3.99,4.0,3.95,3.95,27952330.0
2015-08-05,3.96,3.99,3.92,3.92,31611398.0
2015-08-06,3.93,3.94,3.87,3.91,42311667.0
2015-08-07,3.92,3.95,3.88,3.93,19325442.0
2015-08-10,3.94,3.97,3.92,3.95,19829946.0
2015-08-11,3.93,3.96,3.88,3.9,24510834.0
2015-08-12,3.87,4.0,3.87,3.96,43544746.0
2015-08-13,3.97,3.99,3.96,3.99,21233607.0
2015-08-14,3.99,4.01,3.9,3.94,27670798.0
2015-08-17,3.92,3.95,3.9,3.95,13908907.0
2015-08-18,3.95,3.96,3.91,3.93,16890205.0
2015-08-19,3.92,3.93,3.88,3.9,19930994.0
2015-08-20,3.88,3.89,3.79,3.8,34305850.0
2015-08-21,3.75,3.8,3.71,3.72,40726994.0
2015-08-24,3.34,3.71,3.31,3.6,41095239.0
2015-08-25,3.74,3.75,3.63,3.63,24990522.0
2015-08-26,3.67,3.74,3.61,3.72,52748644.0
2015-08-27,3.75,3.83,3.72,3.79,28194874.0
2015-08-28,3.78,3.87,3.77,3.83,21587574.0
2015-08-31,3.81,3.84,3.77,3.81,21683418.0
2015-09-01,3.77,3.8,3.73,3.76,43162370.0
2015-09-02,3.79,3.84,3.76,3.83,27884040.0
2015-09-03,3.83,3.87,3.79,3.8,30579931.0
2015-09-04,3.77,3.81,3.76,3.78,20396772.0
2015-09-08,3.81,3.85,3.8,3.85,22692781.0
2015-09-09,3.87,3.92,3.83,3.84,22773623.0
2015-09-10,3.85,3.89,3.82,3.86,20937825.0
2015-09-11,3.84,3.85,3.79,3.81,24426362.0
2015-09-14,3.81,3.85,3.75,3.83,22035036.0
2015-09-15,3.84,3.86,3.82,3.85,15552936.0
2015-09-16,3.85,3.88,3.84,3.87,20061854.0
2015-09-17,3.87,3.91,3.86,3.86,21747080.0
2015-09-18,3.85,3.88,3.79,3.82,36926164.0
2015-09-21,3.83,3.88,3.81,3.84,21014044.0
2015-09-22,3.82,3.85,3.81,3.85,17151253.0
2015-09-23,3.85,3.88,3.82,3.83,15045876.0
2015-09-24,3.82,3.83,3.77,3.78,30957117.0
2015-09-25,3.81,3.83,3.76,3.79,19998618.0
2015-09-28,3.79,3.79,3.7,3.71,36404857.0
2015-09-29,3.72,3.73,3.65,3.65,26379697.0
2015-09-30,3.69,3.76,3.68,3.73,24358771.0
2015-10-01,3.76,3.81,3.75,3.78,28186233.0
2015-10-02,3.77,3.83,3.69,3.82,29399635.0
2015-10-05,3.84,3.87,3.83,3.86,29204324.0
2015-10-06,3.86,3.92,3.86,3.91,29673176.0
2015-10-07,3.93,3.97,3.87,3.89,45774612.0
2015-10-08,3.89,3.93,3.88,3.89,19886758.0
2015-10-09,3.9,3.92,3.84,3.84,35440107.0
2015-10-12,3.85,3.94,3.85,3.92,22082189.0
2015-10-13,3.91,3.94,3.9,3.91,14482632.0
2015-10-14,3.92,3.94,3.88,3.93,31129654.0
2015-10-15,3.94,3.96,3.91,3.95,19057096.0
2015-10-16,3.97,4.0,3.94,3.96,18504540.0
2015-10-19,3.96,3.97,3.93,3.94,18831281.0
2015-10-20,3.94,4.02,3.92,4.01,35909807.0
2015-10-21,4.04,4.07,3.9,3.91,40475492.0
2015-10-22,3.94,4.05,3.89,3.97,63683888.0
2015-10-23,4.02,4.07,3.98,4.02,47537897.0
2015-10-26,4.03,4.09,4.01,4.08,35429507.0
2015-10-27,4.09,4.1,4.03,4.08,28823529.0
2015-10-28,4.09,4.15,4.07,4.11,40600307.0
2015-10-29,4.11,4.18,4.1,4.13,30567177.0
2015-10-30,4.14,4.14,4.08,4.08,33191795.0
2015-11-02,4.09,4.16,4.08,4.12,25324899.0
2015-11-03,4.12,4.15,4.1,4.13,18514512.0
2015-11-04,4.14,4.17,4.09,4.15,28664101.0
2015-11-05,4.16,4.16,4.08,4.12,26527387.0
2015-11-06,4.11,4.14,4.09,4.1,25285699.0
2015-11-09,4.08,4.11,4.05,4.11,25245936.0
2015-11-10,4.11,4.15,4.07,4.14,26157551.0
2015-11-11,4.15,4.19,4.12,4.12,31644950.0
2015-11-12,4.13,4.15,4.06,4.1,47039664.0
2015-11-13,4.1,4.12,4.07,4.08,20157475.0
2015-11-16,4.08,4.11,4.02,4.1,19878231.0
2015-11-17,4.1,4.12,4.06,4.08,21823307.0
2015-11-18,4.08,4.16,4.08,4.14,18858876.0
2015-11-19,4.14,4.16,4.12,4.15,20162609.0
2015-11-20,4.16,4.19,4.14,4.19,25190099.0
2015-11-23,4.18,4.2,4.13,4.14,18765499.0
2015-11-24,4.14,4.14,4.09,4.11,16153225.0
2015-11-25,4.11,4.13,4.1,4.11,11203626.0
2015-11-27,4.11,4.14,4.1,4.13,8268394.0
2015-11-30,4.13,4.14,4.09,4.11,22344791.0
2015-12-01,4.12,4.17,4.12,4.16,23323916.0
2015-12-02,4.17,4.18,4.11,4.11,18697934.0
2015-12-03,4.11,4.14,4.02,4.06,33114023.0
2015-12-04,4.06,4.11,4.05,4.09,22558453.0
2015-12-07,4.08,4.09,4.03,4.03,23725082.0
2015-12-08,4.01,4.05,4.0,4.0,25237413.0
2015-12-09,4.01,4.07,4.0,4.01,25357966.0
2015-12-10,4.02,4.08,4.02,4.06,22584929.0
2015-12-11,4.02,4.05,3.96,4.01,42207839.0
2015-12-14,4.01,4.02,3.96,4.0,29754840.0
2015-12-15,4.16,4.17,4.07,4.07,59697285.0
2015-12-16,4.09,4.1,4.02,4.09,25252703.0
2015-12-17,4.09,4.11,4.01,4.03,23502282.0
2015-12-18,4.02,4.03,3.97,3.99,43735613.0
2015-12-21,4.0,4.01,3.97,4.0,17195927.0
2015-12-22,4.01,4.05,3.99,4.02,18300015.0
2015-12-23,4.04,4.09,4.03,4.07,26360574.0
2015-12-24,4.09,4.12,4.08,4.08,17868939.0
2015-12-28,4.07,4.11,4.04,4.07,19504343.0
2015-12-29,4.08,4.11,4.07,4.09,18021890.0
2015-12-30,4.09,4.11,4.07,4.07,12095213.0
2015-12-31,4.06,4.1,4.05,4.08,26032049.0
2016-01-04,4.03,4.04,3.93,3.96,32759719.0
2016-01-05,3.97,3.99,3.9,3.9,34931612.0
2016-01-06,3.9,3.94,3.86,3.89,32564631.0
2016-01-07,3.83,3.88,3.82,3.84,33048567.0
2016-01-08,3.84,3.87,3.79,3.81,29568824.0
2016-01-11,3.83,3.84,3.76,3.81,34543694.0
2016-01-12,3.85,3.86,3.76,3.79,28868112.0
2016-01-13,3.8,3.82,3.67,3.71,33885937.0
2016-01-14,3.71,3.77,3.63,3.72,38223400.0
2016-01-15,3.62,3.67,3.58,3.63,51715209.0
2016-01-19,3.65,3.68,3.6,3.66,31669791.0
2016-01-20,3.6,3.63,3.45,3.59,54389831.0
2016-01-21,3.61,3.72,3.58,3.66,48617701.0
2016-01-22,3.72,3.76,3.71,3.73,23076402.0
2016-01-25,3.72,3.73,3.64,3.64,32358845.0
2016-01-26,3.68,3.73,3.65,3.73,24236310.0
2016-01-27,3.7,3.75,3.63,3.63,28846980.0
2016-01-28,3.66,3.69,3.59,3.64,31185960.0
2016-01-29,3.67,3.73,3.65,3.7,29170639.0
2016-02-01,3.69,3.74,3.64,3.72,35424339.0
2016-02-02,3.64,3.66,3.56,3.57,63154290.0
2016-02-03,3.59,3.6,3.47,3.5,56206684.0
2016-02-04,3.49,3.55,3.47,3.51,31772998.0
2016-02-05,3.51,3.52,3.4,3.42,52071499.0
2016-02-08,3.36,3.39,3.29,3.36,47637402.0
2016-02-09,3.34,3.4,3.31,3.35,41525516.0
2016-02-10,3.39,3.45,3.36,3.4,37084621.0
2016-02-11,3.34,3.42,3.32,3.38,35221985.0
2016-02-12,3.43,3.46,3.38,3.46,31423666.0
2016-02-16,3.49,3.5,3.42,3.49,35584996.0
2016-02-17,3.51,3.59,3.5,3.56,36141153.0
2016-02-18,3.57,3.59,3.54,3.58,31989392.0
2016-02-19,3.55,3.64,3.54,3.62,38469392.0
2016-02-22,3.66,3.72,3.65,3.7,38862663.0
2016-02-23,3.67,3.7,3.6,3.61,36102219.0
2016-02-24,3.57,3.64,3.54,3.6,41071705.0
2016-02-25,3.61,3.71,3.61,3.69,31204648.0
2016-02-26,3.71,3.73,3.67,3.69,41422888.0
2016-02-29,3.68,3.75,3.68,3.72,52289265.0
2016-03-01,3.74,3.78,3.72,3.76,47580057.0
2016-03-02,3.78,3.82,3.74,3.81,40088478.0
2016-03-03,3.83,3.9,3.82,3.87,27902931.0
2016-03-04,3.89,3.94,3.87,3.91,34853300.0
2016-03-07,3.88,3.97,3.86,3.9,50999022.0
2016-03-08,3.87,3.92,3.86,3.87,36526617.0
2016-03-09,3.9,3.97,3.89,3.95,29299682.0
2016-03-10,3.96,3.97,3.83,3.88,47445104.0
2016-03-11,3.9,3.92,3.88,3.91,53603815.0
