Date,open,high,low,close,volume
2015-04-27,97.44,97.44,94.5,94.63,1840465.0
2015-04-28,94.62,95.41,93.55,95.1,1614797.0
2015-04-29,94.95,94.95,93.18,94.32,1251315.0
2015-04-30,93.6,93.99,91.77,92.24,1911742.0
2015-05-01,92.81,93.45,92.48,93.4,1275659.0
2015-05-04,93.65,94.15,93.46,93.63,1044585.0
2015-05-05,93.21,93.55,92.47,92.9,1025359.0
2015-05-06,93.37,93.47,92.13,92.56,969474.0
2015-05-07,92.37,93.28,92.37,92.61,800530.0
2015-05-08,93.77,94.8,93.49,94.56,1258427.0
2015-05-11,94.59,94.88,94.2,94.36,741510.0
2015-05-12,93.98,94.14,93.04,93.08,1098264.0
2015-05-13,93.15,93.81,92.71,92.91,818982.0
2015-05-14,93.66,95.34,93.34,95.26,1319692.0
2015-05-15,95.23,95.68,95.0,95.51,1253725.0
2015-05-18,95.69,96.89,95.53,96.59,994669.0
2015-05-19,96.48,96.96,96.16,96.68,1025793.0
2015-05-20,96.67,97.57,96.67,96.78,979972.0
2015-05-21,96.65,96.84,96.13,96.4,739080.0
2015-05-22,96.19,96.71,95.79,96.44,1267923.0
2015-05-26,96.37,96.37,95.3,95.53,1164360.0
2015-05-27,96.0,96.79,95.55,96.59,887770.0
2015-05-28,96.46,96.94,95.83,96.24,856015.0
2015-05-29,96.15,97.12,95.73,96.13,1321624.0
2015-06-01,96.67,96.84,95.44,96.12,812013.0
2015-06-02,95.75,96.63,95.14,96.11,771746.0
2015-06-03,96.45,96.45,95.61,96.04,604983.0
2015-06-04,95.77,95.97,94.73,95.04,965283.0
2015-06-05,95.04,95.38,94.49,95.2,782966.0
2015-06-08,94.96,95.46,94.6,94.62,610638.0
2015-06-09,94.47,94.74,93.95,94.16,747367.0
2015-06-10,94.5,96.11,94.16,96.01,1194372.0
2015-06-11,96.12,96.85,95.87,96.54,788572.0
2015-06-12,96.11,96.48,95.53,95.67,627349.0
2015-06-15,95.05,95.17,93.9,94.67,1178454.0
2015-06-16,94.57,95.31,94.37,95.16,719919.0
