Date,open,high,low,close,volume
2015-04-27,34.05,34.3,34.04,34.09,24392190.0
2015-04-28,34.28,34.98,34.17,34.86,48302358.0
2015-04-29,34.58,35.23,34.54,34.76,40639746.0
2015-04-30,34.7,34.9,34.55,34.64,29269778.0
2015-05-01,34.56,34.72,34.13,34.42,34144284.0
2015-05-04,34.41,34.71,34.25,34.53,21285398.0
2015-05-05,34.49,34.58,33.66,33.72,31710525.0
2015-05-06,33.71,33.79,33.08,33.38,30633429.0
2015-05-07,33.25,33.56,33.11,33.37,22621763.0
2015-05-08,33.72,33.83,33.59,33.69,27607097.0
2015-05-11,33.65,33.7,33.38,33.49,21475715.0
2015-05-12,33.31,33.94,33.03,33.66,41249416.0
2015-05-13,33.63,34.14,33.57,33.9,34400159.0
2015-05-14,34.08,34.2,34.0,34.13,23884887.0
2015-05-15,34.11,34.38,34.01,34.33,28085917.0
2015-05-18,34.28,35.02,34.26,34.87,59609265.0
2015-05-19,34.79,34.85,34.17,34.37,38248846.0
2015-05-20,34.43,34.71,34.29,34.62,27279976.0
2015-05-21,34.55,35.22,34.52,35.07,41559606.0
2015-05-22,34.89,35.03,34.61,34.71,26299073.0
2015-05-26,34.6,34.75,34.26,34.67,37125315.0
2015-05-27,34.75,35.09,34.6,34.95,31566604.0
2015-05-28,34.96,34.97,34.64,34.8,19533958.0
2015-05-29,34.75,34.82,34.54,34.54,26101714.0
2015-06-01,34.53,34.6,34.24,34.35,28166793.0
2015-06-02,34.37,34.53,34.28,34.36,19484805.0
2015-06-03,34.45,35.17,34.36,35.03,39000024.0
2015-06-04,34.92,35.48,34.78,35.27,56104519.0
2015-06-05,35.16,35.17,34.5,34.57,36650690.0
2015-06-08,34.5,34.72,34.49,34.59,25327068.0
2015-06-09,34.59,34.79,34.5,34.51,23823903.0
2015-06-10,34.59,34.76,34.59,34.72,31296058.0
2015-06-11,34.82,34.98,34.78,34.88,29754766.0
2015-06-12,34.75,34.96,34.64,34.65,25781645.0
2015-06-15,34.54,34.57,34.4,34.41,24270145.0
2015-06-16,34.3,34.75,34.26,34.67,29699857.0
2015-06-17,34.72,34.85,34.54,34.8,30433808.0
2015-06-18,34.8,35.1,34.76,35.02,37314612.0
2015-06-19,34.92,35.06,34.88,34.99,34340595.0
2015-06-22,35.1,35.15,35.0,35.04,23491825.0
2015-06-23,35.57,36.25,35.51,35.91,69916593.0
2015-06-24,35.92,35.95,35.68,35.78,33365759.0
2015-06-25,36.13,36.45,36.04,36.18,45537439.0
2015-06-26,36.38,36.4,35.91,36.12,29362054.0
2015-06-29,35.87,36.23,35.75,35.77,26730687.0
2015-06-30,36.03,36.15,35.46,35.52,31316870.0
2015-07-01,35.59,35.63,35.27,35.57,36887598.0
2015-07-02,35.85,35.93,35.64,35.73,22192646.0
2015-07-06,35.6,35.66,35.47,35.61,25378417.0
2015-07-07,35.79,35.85,35.37,35.77,26995707.0
2015-07-08,35.28,35.32,34.74,34.79,31299536.0
2015-07-09,35.02,35.04,34.33,34.39,33051557.0
2015-07-10,34.62,34.85,34.55,34.65,30576088.0
2015-07-13,34.75,34.97,34.67,34.88,26716871.0
2015-07-14,34.74,35.13,34.66,35.12,24825948.0
2015-07-15,35.1,35.13,34.68,34.73,29016635.0
2015-07-16,34.85,35.19,34.85,35.16,18428661.0
2015-07-17,35.1,35.24,34.9,35.01,20301725.0
2015-07-20,35.04,35.06,34.71,34.9,22212564.0
2015-07-21,34.67,34.67,34.39,34.57,27142831.0
2015-07-22,34.25,34.35,34.02,34.27,51718524.0
2015-07-23,34.28,34.34,33.86,33.93,34224353.0
2015-07-24,34.66,35.09,34.29,34.29,86858551.0
2015-07-27,34.22,34.66,34.02,34.32,50226296.0
2015-07-28,34.57,34.58,34.22,34.33,52260693.0
2015-07-29,34.47,34.91,34.37,34.69,39801095.0
2015-07-30,34.86,34.89,34.68,34.8,25951130.0
2015-07-31,34.94,34.99,34.72,34.74,29820624.0
2015-08-03,34.95,35.02,34.5,34.66,29655156.0
2015-08-04,34.79,34.8,34.5,34.58,25945782.0
2015-08-05,34.79,34.83,34.51,34.57,22777882.0
2015-08-06,34.55,34.59,33.95,34.24,32698207.0
2015-08-07,34.11,34.26,34.04,34.21,25612877.0
2015-08-10,34.3,34.78,34.2,34.78,29136433.0
2015-08-11,34.6,34.96,34.57,34.65,35374383.0
2015-08-12,33.86,34.07,33.45,34.02,61974465.0
2015-08-13,34.01,34.17,33.79,33.81,35169107.0
2015-08-14,33.91,34.05,33.78,34.05,22725714.0
