Date,open,high,low,close,volume
2015-04-27,66.39,67.46,65.89,66.28,1869288.0
2015-04-28,65.94,66.39,64.28,64.88,2047908.0
2015-04-29,64.21,65.09,62.97,64.04,2189091.0
2015-04-30,64.0,64.73,63.16,63.68,1601779.0
2015-05-01,63.44,63.87,62.13,63.8,2159440.0
2015-05-04,64.0,65.3,63.97,64.16,2415215.0
2015-05-05,63.01,64.14,62.29,63.0,6380100.0
2015-05-06,63.27,63.69,62.28,63.33,1980977.0
2015-05-07,64.32,64.64,62.9,64.56,2723258.0
2015-05-08,65.19,65.5,63.5,63.77,1316001.0
2015-05-11,64.19,64.92,63.62,63.73,2113277.0
2015-05-12,63.4,65.33,63.38,65.13,2512696.0
2015-05-13,64.9,66.15,64.12,65.27,3053102.0
2015-05-14,73.96,76.0,70.57,71.14,12015129.0
2015-05-15,71.5,74.26,71.13,71.97,3714913.0
2015-05-18,72.77,72.88,70.65,71.98,2008901.0
2015-05-19,72.42,73.48,72.24,72.49,1534386.0
2015-05-20,71.95,72.48,70.79,71.94,1896604.0
2015-05-21,72.3,72.34,71.44,71.99,1782967.0
2015-05-22,77.95,86.17,77.85,84.63,14459760.0
2015-05-26,87.23,87.62,80.7,81.99,7346071.0
2015-05-27,82.0,83.81,80.75,81.51,2410102.0
2015-05-28,78.81,80.83,77.8,80.22,3059974.0
2015-05-29,80.05,80.73,79.64,79.87,2054316.0
2015-06-01,80.3,82.76,80.3,81.63,2728204.0
2015-06-02,76.51,77.9,72.44,77.04,9329010.0
2015-06-03,76.79,76.98,74.45,74.85,4350191.0
2015-06-04,74.4,75.86,73.7,75.07,2767623.0
2015-06-05,75.07,77.55,74.71,76.07,2139684.0
2015-06-08,75.89,76.65,74.3,74.34,1601225.0
2015-06-09,74.42,75.12,72.87,74.67,1743243.0
2015-06-10,74.49,76.29,74.1,76.17,1530790.0
2015-06-11,76.42,78.64,76.41,77.5,3014240.0
2015-06-12,74.77,77.91,74.57,77.39,5526487.0
2015-06-15,76.35,76.67,75.25,76.13,2600476.0
2015-06-16,75.66,76.12,73.56,75.71,2868837.0
2015-06-17,76.62,77.0,75.08,75.41,2320192.0
2015-06-18,74.5,75.49,72.3,75.01,6085180.0
2015-06-19,74.37,74.48,71.6,71.63,5537578.0
2015-06-22,72.54,74.11,72.1,73.85,2846729.0
2015-06-23,74.87,75.1,73.54,73.95,2617163.0
2015-06-24,74.5,74.5,72.51,72.9,1722540.0
2015-06-25,73.35,74.0,72.74,73.85,2409510.0
2015-06-26,72.0,73.59,71.64,73.25,2812073.0
2015-06-29,71.56,72.05,70.27,70.6,1638442.0
2015-06-30,71.91,72.75,71.44,72.59,1812202.0
2015-07-01,73.54,73.85,70.77,71.0,1835471.0
2015-07-02,70.99,71.58,70.02,71.31,1659146.0
2015-07-06,69.94,71.84,68.9,71.52,2617176.0
2015-07-07,69.19,71.31,63.0,71.09,8794552.0
2015-07-08,67.36,70.83,67.36,69.32,4323384.0
2015-07-09,72.04,72.95,70.28,71.48,2905812.0
2015-07-10,73.56,73.66,71.71,73.32,1850840.0
2015-07-13,73.6,74.74,72.99,73.83,1659212.0
2015-07-14,74.19,74.95,73.11,74.31,1249437.0
2015-07-15,73.7,73.7,69.95,70.22,2537346.0
2015-07-16,71.44,73.14,71.18,71.88,1535970.0
2015-07-17,72.32,72.79,71.31,71.9,1408029.0
2015-07-20,72.14,73.55,71.28,72.78,2095235.0
2015-07-21,72.84,75.06,72.29,74.18,2907606.0
2015-07-22,74.06,75.0,72.87,74.18,920298.0
2015-07-23,74.58,77.57,74.39,75.15,1770147.0
2015-07-24,75.0,75.82,71.83,72.78,1710771.0
2015-07-27,70.2,71.08,68.47,69.0,2176245.0
2015-07-28,68.94,69.3,66.87,68.27,2954509.0
2015-07-29,68.72,71.31,68.38,70.51,2077051.0
2015-07-30,70.65,71.0,69.96,70.68,1918482.0
2015-07-31,71.19,72.48,69.9,71.58,2370936.0
2015-08-03,71.68,72.8,69.66,71.5,4102754.0
2015-08-04,75.0,79.42,74.3,78.57,8560021.0
2015-08-05,79.73,80.2,78.35,79.5,3193434.0
2015-08-06,79.73,79.84,76.91,77.46,1699304.0
2015-08-07,77.55,77.55,74.94,75.5,1499393.0
2015-08-10,75.97,78.05,75.82,77.57,1819622.0
2015-08-11,75.92,75.92,70.66,71.98,4274338.0
2015-08-12,70.29,70.9,66.37,70.24,5354847.0
2015-08-13,69.89,73.75,69.58,72.13,3212733.0
2015-08-14,71.33,72.95,70.8,71.58,1183974.0
