Date,open,high,low,close,volume
2015-04-27,119.18,119.41,116.07,116.24,5075313.0
2015-04-28,116.89,117.74,114.28,117.59,4109507.0
2015-04-29,116.22,117.32,112.04,113.61,6927996.0
2015-04-30,113.53,114.33,111.12,111.4,6611684.0
2015-05-01,112.29,113.66,111.74,113.2,5775393.0
2015-05-04,113.7,114.92,113.45,114.56,3396139.0
2015-05-05,113.94,114.28,113.01,113.37,3903564.0
2015-05-06,114.0,114.49,112.66,113.49,3362241.0
2015-05-07,113.15,115.14,113.11,114.76,3275414.0
2015-05-08,115.92,116.59,115.05,115.68,3048264.0
2015-05-11,115.61,115.79,114.72,114.77,3365616.0
2015-05-12,114.23,115.08,113.83,114.64,3834085.0
2015-05-13,114.62,116.3,114.62,115.86,3644694.0
2015-05-14,117.18,118.62,116.21,118.53,4673632.0
2015-05-15,118.78,119.35,118.31,119.33,3050496.0
2015-05-18,119.22,119.98,118.84,119.8,2813843.0
2015-05-19,119.82,121.13,119.69,120.55,3521924.0
2015-05-20,120.73,121.85,120.03,121.24,3373381.0
2015-05-21,120.76,120.84,120.05,120.46,2969976.0
2015-05-22,120.3,120.78,119.14,119.59,2902447.0
2015-05-26,119.22,119.59,117.7,118.24,2991105.0
2015-05-27,118.88,119.85,118.26,119.45,2576601.0
2015-05-28,119.31,119.81,118.29,119.62,2863522.0
2015-05-29,120.06,121.62,117.74,120.21,5913255.0
2015-06-01,120.54,120.56,118.75,119.86,3870979.0
2015-06-02,119.49,119.68,117.41,117.75,4196974.0
2015-06-03,118.0,118.99,117.45,118.35,3432562.0
2015-06-04,117.92,117.97,116.03,116.65,3239562.0
2015-06-05,116.33,116.75,115.36,116.53,2719434.0
2015-06-08,116.38,117.67,116.32,116.91,3264372.0
2015-06-09,116.93,117.38,115.79,116.99,3016132.0
2015-06-10,117.03,118.88,116.73,118.55,3977497.0
2015-06-11,118.41,119.94,118.22,119.32,3559580.0
2015-06-12,118.84,119.0,117.5,117.65,3050897.0
2015-06-15,116.83,120.88,116.0,118.98,6758228.0
2015-06-16,119.14,122.18,119.0,121.55,7204604.0
2015-06-17,121.9,122.2,119.16,119.74,4794372.0
2015-06-18,120.39,121.38,119.92,120.89,3465763.0
2015-06-19,120.65,120.88,119.9,120.33,4064540.0
2015-06-22,121.63,122.23,119.94,120.25,4422249.0
2015-06-23,121.37,122.77,121.01,122.74,4938330.0
2015-06-24,122.8,123.0,119.09,119.17,4599643.0
2015-06-25,119.57,123.41,119.5,122.33,6116147.0
2015-06-26,123.79,124.11,122.73,123.25,11188873.0
2015-06-29,122.04,123.03,121.11,121.19,3557455.0
2015-06-30,122.42,122.94,121.0,122.0,4967711.0
2015-07-01,122.95,123.65,122.22,123.38,3239981.0
2015-07-02,123.82,123.88,121.02,121.81,3660234.0
2015-07-06,119.6,123.1,119.26,122.16,6511940.0
2015-07-07,122.36,122.8,117.81,120.7,6451505.0
2015-07-08,119.05,119.99,118.39,118.78,3980240.0
2015-07-09,120.04,120.56,119.31,119.34,3293267.0
2015-07-10,120.99,122.75,120.7,122.15,3997110.0
2015-07-13,123.1,123.75,121.81,122.45,3623628.0
2015-07-14,122.18,125.2,122.0,125.0,4155070.0
2015-07-15,124.95,126.05,123.81,125.86,5052699.0
2015-07-16,125.42,125.5,122.1,124.93,7212672.0
2015-07-17,124.7,124.98,123.7,123.85,3686942.0
2015-07-20,124.05,124.22,122.33,122.65,3192645.0
2015-07-21,122.57,122.72,120.34,120.86,4192950.0
2015-07-22,120.97,121.24,120.08,120.61,3384674.0
2015-07-23,121.63,121.68,118.76,119.33,4857646.0
2015-07-24,119.12,119.72,117.58,117.94,3759999.0
2015-07-27,117.88,118.09,116.66,117.88,3741348.0
2015-07-28,118.74,121.57,118.5,121.52,5148496.0
2015-07-29,121.82,122.11,120.62,121.52,3894447.0
2015-07-30,121.14,121.92,119.55,120.56,3722878.0
2015-07-31,120.47,122.72,120.47,121.4,3564057.0
2015-08-03,121.61,122.17,120.14,120.89,2530690.0
2015-08-04,121.58,121.63,120.23,120.84,2046362.0
2015-08-05,121.76,124.24,121.76,123.92,3803348.0
2015-08-06,124.37,124.64,121.8,122.04,2994725.0
2015-08-07,121.71,121.86,120.26,121.82,2269100.0
2015-08-10,122.5,123.34,121.94,122.48,2465480.0
2015-08-11,121.27,123.02,121.27,122.26,2578527.0
2015-08-12,121.26,121.78,119.05,121.2,3005251.0
2015-08-13,121.33,121.99,120.29,120.52,3199538.0
2015-08-14,120.57,121.18,120.26,121.02,2034572.0
