Date,open,high,low,close,volume
2021-07-14,11.08,15.0,9.32,11.55,6955915.0
2021-07-15,11.95,12.0,10.22,10.43,2162474.0
2021-07-16,10.82,11.11,10.0,10.25,1863101.0
2021-07-19,9.97,10.84,9.92,10.48,1685106.0
2021-07-20,10.78,11.14,10.5,10.62,2647342.0
2021-07-21,10.52,10.57,10.01,10.22,1745916.0
2021-07-22,10.21,10.28,9.27,9.5,3097631.0
2021-07-23,9.69,9.69,8.21,8.28,4056670.0
2021-07-26,8.58,8.74,7.78,8.05,2870148.0
2021-07-27,8.36,8.36,7.39,7.41,2987808.0
2021-07-28,7.65,7.8,7.1,7.51,2873178.0
2021-07-29,7.61,8.57,7.51,7.73,2284257.0
2021-07-30,7.8,8.0,7.33,8.0,1421802.0
2021-08-02,7.96,8.19,7.57,7.89,1414343.0
2021-08-03,8.04,8.04,7.53,7.79,903929.0
2021-08-04,7.61,7.9,7.57,7.59,1021806.0
2021-08-05,7.75,7.76,7.4,7.6,1208752.0
2021-08-06,7.7,7.71,7.29,7.48,1637576.0
2021-08-09,7.41,7.8,7.28,7.8,1425982.0
2021-08-10,7.8,8.75,7.64,8.43,3591434.0
2021-08-11,8.54,9.05,8.4,8.72,2063366.0
2021-08-12,8.79,8.99,8.3,8.78,2247820.0
2021-08-13,8.78,8.89,8.32,8.44,1401358.0
2021-08-16,8.39,8.62,8.14,8.14,1249548.0
2021-08-17,8.09,8.14,7.41,7.83,1665851.0
2021-08-18,7.96,8.2,7.86,8.16,631971.0
2021-08-19,7.97,8.14,7.44,7.44,1303050.0
2021-08-20,7.53,7.93,7.5,7.81,561241.0
2021-08-23,7.95,8.01,7.82,7.89,696539.0
2021-08-24,7.95,8.03,7.74,7.92,879798.0
2021-08-25,7.55,7.69,6.75,6.97,12234528.0
2021-08-26,6.97,7.52,6.86,6.95,5218107.0
2021-08-27,7.0,7.19,6.93,7.09,2167084.0
2021-08-30,7.23,7.25,6.65,6.8,2968916.0
2021-08-31,6.66,6.96,6.43,6.59,4110735.0
2021-09-01,6.65,7.73,6.55,7.62,3850736.0
2021-09-02,7.64,7.87,7.36,7.74,1961645.0
2021-09-03,8.0,8.45,7.86,8.23,4296551.0
2021-09-07,8.33,8.35,7.27,7.38,4253928.0
2021-09-08,7.38,7.82,7.22,7.73,2031656.0
2021-09-09,7.62,7.99,7.53,7.64,1541637.0
2021-09-10,7.69,7.78,7.51,7.73,1255461.0
2021-09-13,7.65,7.87,7.41,7.48,1334930.0
2021-09-14,7.86,7.88,7.46,7.62,2590571.0
2021-09-15,7.7,8.1,7.57,7.57,3982021.0
2021-09-16,7.57,8.05,7.56,7.81,3631709.0
2021-09-17,7.75,7.96,7.43,7.48,13273333.0
2021-09-20,7.28,7.73,7.25,7.49,2011506.0
2021-09-21,7.6,7.65,7.21,7.31,967775.0
2021-09-22,7.35,7.49,7.26,7.32,944653.0
2021-09-23,7.35,7.44,7.15,7.17,936502.0
2021-09-24,7.1,7.22,7.01,7.09,868649.0
2021-09-27,7.1,7.19,6.94,7.03,1117949.0
2021-09-28,6.96,7.04,6.7,6.88,1662317.0
2021-09-29,6.9,6.95,6.61,6.7,1451596.0
2021-09-30,6.7,6.78,6.56,6.59,861096.0
2021-10-01,6.99,7.61,6.9,7.51,3049093.0
