Date,open,high,low,close,volume
2015-04-27,98.04,98.36,97.24,97.43,3900920.0
2015-04-28,99.19,101.77,98.7,100.77,8173810.0
2015-04-29,101.41,101.98,100.8,101.25,5446279.0
2015-04-30,100.94,101.3,100.08,100.53,3997305.0
2015-05-01,100.95,101.42,100.29,101.38,2838732.0
2015-05-04,101.32,101.96,101.13,101.43,2992470.0
2015-05-05,101.01,101.34,99.92,100.11,2838157.0
2015-05-06,100.4,100.66,98.58,99.22,3383939.0
2015-05-07,99.3,100.23,99.28,99.64,3148413.0
2015-05-08,100.42,101.35,100.27,100.36,2958319.0
2015-05-11,100.36,100.87,100.23,100.53,4073005.0
2015-05-12,100.23,100.37,99.68,99.97,2432239.0
2015-05-13,99.63,100.14,99.16,99.43,3201833.0
2015-05-14,99.41,101.32,99.4,100.67,5961843.0
2015-05-15,102.03,102.57,101.68,102.13,5330863.0
2015-05-18,101.75,102.24,101.33,101.91,2750186.0
2015-05-19,102.15,102.84,101.7,102.08,3196174.0
2015-05-20,102.2,102.5,101.64,101.96,2589553.0
2015-05-21,101.92,102.45,101.62,102.05,2159467.0
2015-05-22,102.27,102.27,101.18,101.43,2198342.0
2015-05-26,101.4,101.42,100.19,100.52,2312658.0
2015-05-27,100.52,101.13,99.98,100.92,2064579.0
2015-05-28,100.6,100.93,99.76,99.87,2715020.0
2015-05-29,99.75,99.76,98.78,99.22,4194175.0
2015-06-01,99.77,100.12,98.89,99.48,2803765.0
2015-06-02,98.94,100.0,98.57,99.43,2313392.0
2015-06-03,99.85,101.4,99.5,100.6,3586711.0
2015-06-04,100.05,100.68,99.9,100.1,3118079.0
2015-06-05,100.15,100.7,99.77,100.51,2687618.0
2015-06-08,100.52,100.57,99.21,99.27,2783896.0
2015-06-09,99.16,100.18,99.02,99.62,2326163.0
2015-06-10,99.94,100.82,99.6,100.46,2677249.0
2015-06-11,100.81,101.16,100.46,101.0,1872679.0
2015-06-12,100.49,100.97,99.69,100.06,2412586.0
2015-06-15,99.62,100.16,99.0,99.96,2131185.0
2015-06-16,99.93,100.47,98.82,100.35,3061933.0
2015-06-17,99.91,100.7,99.5,100.42,2844659.0
