Date,open,high,low,close,volume
2015-04-27,35.31,35.39,35.14,35.17,2906230.0
2015-04-28,34.97,35.28,34.84,35.25,2711724.0
2015-04-29,35.67,35.83,35.41,35.62,3669476.0
2015-04-30,35.32,35.44,35.11,35.2,2664784.0
2015-05-01,34.98,35.0,34.67,34.92,1884423.0
2015-05-04,35.05,35.1,34.96,35.03,1399715.0
2015-05-05,34.98,35.07,34.67,34.75,6164294.0
2015-05-06,35.37,35.45,35.08,35.27,4908590.0
2015-05-07,35.24,35.38,34.95,35.22,2718293.0
2015-05-08,35.69,35.99,35.6,35.84,3420079.0
2015-05-11,36.54,36.66,36.27,36.38,5224370.0
2015-05-12,36.47,36.68,36.36,36.47,4258410.0
2015-05-13,36.99,37.08,36.8,36.9,6493027.0
2015-05-14,37.09,37.15,36.89,36.93,4816431.0
2015-05-15,36.93,37.05,36.78,37.04,2894643.0
2015-05-18,36.62,36.73,36.46,36.51,3866552.0
2015-05-19,35.03,36.31,34.83,36.2,11046661.0
2015-05-20,36.76,37.23,36.68,37.14,5901006.0
2015-05-21,37.72,38.68,37.69,38.68,10011908.0
2015-05-22,39.09,39.46,39.07,39.21,9542805.0
2015-05-26,39.16,39.2,38.4,38.65,4723072.0
2015-05-27,38.58,38.84,38.43,38.65,2860296.0
2015-05-28,38.48,39.24,38.36,39.18,4122658.0
2015-05-29,39.28,39.36,38.83,39.04,3633209.0
2015-06-01,39.0,39.16,38.49,38.81,3988885.0
2015-06-02,38.95,39.2,38.61,38.65,4508616.0
2015-06-03,38.26,38.47,38.07,38.27,6810135.0
2015-06-04,38.19,38.36,37.58,37.71,5965628.0
2015-06-05,36.89,37.2,36.84,37.05,4773301.0
2015-06-08,37.35,37.45,37.09,37.22,7152248.0
2015-06-09,37.05,37.31,36.78,37.18,4247344.0
2015-06-10,36.39,36.79,36.28,36.54,4573730.0
2015-06-11,36.54,36.85,36.46,36.64,4932851.0
2015-06-12,36.36,36.53,36.23,36.36,2682997.0
2015-06-15,36.03,36.13,35.85,36.03,2300170.0
2015-06-16,36.3,36.58,36.2,36.52,2834684.0
2015-06-17,36.42,36.47,36.09,36.27,3613152.0
2015-06-18,36.69,37.2,36.64,37.07,4311833.0
2015-06-19,36.97,37.3,36.91,36.97,3619713.0
2015-06-22,37.81,37.93,37.57,37.6,3167734.0
2015-06-23,37.98,38.14,37.8,37.8,2581003.0
2015-06-24,37.62,37.67,37.41,37.47,2409024.0
2015-06-25,37.69,37.74,37.44,37.48,2236003.0
2015-06-26,37.38,37.55,37.04,37.2,2586079.0
2015-06-29,36.72,36.9,36.43,36.52,3824700.0
2015-06-30,36.68,36.68,36.1,36.45,5734265.0
2015-07-01,36.74,36.79,36.46,36.53,2422052.0
2015-07-02,36.75,36.84,36.67,36.67,2082982.0
2015-07-06,36.03,36.22,35.87,35.99,2722697.0
2015-07-07,35.49,35.67,34.79,35.63,6934065.0
2015-07-08,35.15,35.32,34.97,35.11,3234300.0
2015-07-09,35.54,35.64,35.37,35.39,3077311.0
2015-07-10,36.4,36.58,36.29,36.46,4487214.0
2015-07-13,36.72,36.85,36.55,36.59,2407359.0
2015-07-14,36.76,37.08,36.71,36.98,2228439.0
2015-07-15,36.91,36.92,36.58,36.78,3972865.0
2015-07-16,36.98,37.14,36.91,37.04,2981414.0
2015-07-17,36.94,37.11,36.78,37.02,2283765.0
2015-07-20,37.04,37.35,36.93,37.21,3711342.0
2015-07-21,36.82,36.83,36.53,36.61,2421121.0
2015-07-22,36.36,36.54,36.3,36.44,1563875.0
2015-07-23,36.23,36.25,35.95,36.19,4116182.0
2015-07-24,37.16,37.35,36.76,36.91,4349075.0
2015-07-27,36.71,36.85,36.51,36.61,3415244.0
2015-07-28,36.68,36.95,36.58,36.88,2427335.0
2015-07-29,37.61,37.9,37.48,37.61,3913895.0
2015-07-30,37.57,37.9,37.32,37.77,3185001.0
2015-07-31,37.84,37.98,37.72,37.78,2580214.0
2015-08-03,37.76,37.77,37.29,37.56,2557942.0
2015-08-04,37.78,37.82,37.56,37.63,2017591.0
2015-08-05,38.08,38.43,38.04,38.25,3060085.0
2015-08-06,38.28,38.32,37.85,37.95,3017796.0
2015-08-07,37.65,37.73,37.39,37.71,4443758.0
2015-08-10,37.62,38.1,37.59,37.96,3683265.0
2015-08-11,37.7,37.84,37.41,37.56,2243223.0
2015-08-12,37.19,37.42,36.76,37.42,4220122.0
2015-08-13,37.32,37.5,37.22,37.3,1755412.0
2015-08-14,37.28,37.54,37.23,37.53,2052850.0
2015-08-17,37.15,37.55,37.07,37.45,1653235.0
2015-08-18,37.56,37.67,37.42,37.55,1295900.0
2015-08-19,37.36,37.36,36.62,36.97,2640113.0
2015-08-20,36.73,36.8,36.18,36.2,3269052.0
2015-08-21,35.72,35.93,34.82,34.83,4779670.0
2015-08-24,33.49,34.39,33.06,33.39,12020893.0
2015-08-25,34.99,35.01,33.31,33.35,8000059.0
2015-08-26,34.39,34.4,33.28,34.24,7198366.0
2015-08-27,34.58,34.88,34.33,34.82,5326560.0
2015-08-28,34.47,34.96,34.41,34.84,3510833.0
2015-08-31,34.69,34.7,34.27,34.48,2515608.0
2015-09-01,33.76,33.96,33.54,33.66,4769694.0
2015-09-02,34.35,34.36,33.82,34.34,4028152.0
2015-09-03,34.51,34.72,34.35,34.42,3288875.0
2015-09-04,34.08,34.13,33.69,33.89,2997172.0
2015-09-08,35.29,35.34,34.79,35.11,2899523.0
2015-09-09,35.64,35.67,34.81,34.86,3070774.0
2015-09-10,35.17,35.38,35.02,35.21,3678001.0
2015-09-11,34.39,34.72,34.34,34.68,3952871.0
2015-09-14,34.2,34.42,34.03,34.29,2870892.0
2015-09-15,33.47,33.88,33.46,33.74,6943504.0
2015-09-16,34.07,34.23,34.01,34.2,2882809.0
2015-09-17,33.71,34.17,33.58,33.84,4155444.0
2015-09-18,33.64,34.01,33.57,33.67,4194086.0
2015-09-21,33.86,33.91,33.5,33.77,2466960.0
2015-09-22,32.95,33.07,32.65,32.96,3976299.0
2015-09-23,33.18,33.29,32.92,33.01,4196510.0
2015-09-24,32.47,32.88,32.28,32.72,4102050.0
2015-09-25,33.27,33.28,32.62,32.82,6458329.0
2015-09-28,31.83,31.92,31.07,31.12,8263179.0
2015-09-29,31.41,31.42,30.73,30.89,13270363.0
2015-09-30,31.42,31.76,31.27,31.73,15755382.0
2015-10-01,31.11,31.33,30.71,31.0,5821592.0
2015-10-02,30.69,31.9,30.58,31.88,5600475.0
2015-10-05,32.24,32.47,32.19,32.38,3356318.0
2015-10-06,32.4,32.49,32.3,32.39,3254875.0
2015-10-07,32.21,32.41,31.91,32.09,5884404.0
2015-10-08,31.85,32.44,31.81,32.41,4523723.0
2015-10-09,32.5,32.65,32.26,32.32,2622429.0
2015-10-12,32.32,32.38,32.2,32.31,1638787.0
2015-10-13,31.79,32.17,31.75,31.79,2840613.0
2015-10-14,31.83,31.85,31.44,31.76,5845602.0
2015-10-15,31.87,32.21,31.83,32.03,4394785.0
2015-10-16,32.29,32.35,32.14,32.23,3955255.0
2015-10-19,32.36,32.37,32.06,32.14,2260221.0
2015-10-20,32.22,32.29,32.13,32.2,2648314.0
2015-10-21,32.18,32.33,31.9,31.93,2292475.0
2015-10-22,33.07,33.4,32.92,33.2,4614368.0
2015-10-23,33.53,33.53,33.27,33.37,2934449.0
2015-10-26,33.36,33.4,33.18,33.27,1728707.0
2015-10-27,33.0,33.03,32.76,32.96,2579427.0
2015-10-28,33.1,33.5,33.02,33.4,2605052.0
2015-10-29,33.07,33.19,32.88,33.0,2139252.0
2015-10-30,32.65,33.17,32.65,32.96,2351986.0
2015-11-02,33.03,33.24,32.99,33.21,2712374.0
2015-11-03,32.78,33.44,32.77,33.22,4163339.0
2015-11-04,33.6,33.62,33.12,33.36,2798802.0
2015-11-05,33.15,33.27,32.91,33.06,2553005.0
2015-11-06,32.63,32.8,32.38,32.66,2903766.0
2015-11-09,32.64,32.69,32.18,32.31,2383112.0
2015-11-10,33.79,33.94,33.48,33.69,6636615.0
2015-11-11,33.98,34.64,33.96,34.42,4290234.0
2015-11-12,33.9,33.94,33.54,33.58,3164204.0
2015-11-13,33.46,33.58,33.22,33.31,2025872.0
2015-11-16,33.35,33.82,33.32,33.79,2779293.0
2015-11-17,34.13,34.26,33.91,34.06,3417141.0
2015-11-18,33.43,33.61,33.33,33.58,3666523.0
2015-11-19,33.97,34.03,33.6,33.71,5261443.0
2015-11-20,34.21,34.21,33.75,33.82,3058991.0
2015-11-23,33.71,33.91,33.25,33.35,2941882.0
2015-11-24,32.93,33.11,32.91,33.03,2646041.0
2015-11-25,33.66,33.74,33.47,33.69,3386962.0
2015-11-27,34.0,34.0,33.76,33.81,1686472.0
2015-11-30,33.79,33.92,33.51,33.56,3301532.0
2015-12-01,33.66,33.69,33.31,33.47,2586909.0
2015-12-02,33.26,33.3,32.9,32.96,3004701.0
2015-12-03,33.09,33.12,32.47,32.63,4304800.0
2015-12-04,32.58,32.92,32.44,32.88,4711778.0
2015-12-07,32.91,33.26,32.75,33.22,6140087.0
2015-12-08,32.44,32.75,32.34,32.55,6300450.0
2015-12-09,32.74,32.9,32.17,32.43,3680629.0
2015-12-10,32.37,32.43,32.07,32.09,3220272.0
2015-12-11,31.83,31.89,31.45,31.5,3486129.0
2015-12-14,31.55,31.6,30.82,31.2,3897735.0
2015-12-15,31.64,31.77,31.43,31.46,3733748.0
2015-12-16,32.25,32.33,31.67,32.31,3517048.0
2015-12-17,32.32,32.33,31.74,31.8,3844093.0
2015-12-18,31.69,31.75,31.21,31.22,3893940.0
2015-12-21,31.62,31.66,31.16,31.33,2777763.0
2015-12-22,31.4,31.47,31.17,31.41,2397263.0
2015-12-23,31.91,32.15,31.9,32.12,3821310.0
2015-12-24,32.16,32.23,32.0,32.06,1031750.0
2015-12-28,31.88,32.0,31.79,31.92,2242430.0
2015-12-29,32.13,32.44,32.05,32.4,2554997.0
2015-12-30,32.17,32.32,32.06,32.12,2215613.0
2015-12-31,32.82,32.88,32.15,32.26,3011886.0
2016-01-04,32.12,32.21,31.58,32.19,4584325.0
2016-01-05,32.33,32.33,32.02,32.23,2857985.0
2016-01-06,32.03,32.08,31.74,31.93,2621726.0
2016-01-07,31.51,31.93,31.46,31.64,4848883.0
2016-01-08,32.75,33.12,32.4,32.53,8719833.0
2016-01-11,32.55,32.57,31.89,32.14,6157444.0
2016-01-12,32.07,32.21,31.73,32.15,3964189.0
2016-01-13,32.21,32.29,31.48,31.51,4170227.0
2016-01-14,31.63,32.08,31.34,31.87,3389391.0
2016-01-15,30.77,31.13,30.51,30.79,4018863.0
2016-01-19,30.7,30.85,30.5,30.68,5182817.0
2016-01-20,30.18,30.27,29.32,30.05,5153031.0
2016-01-21,29.88,30.69,29.64,30.42,3533116.0
2016-01-22,31.2,31.71,31.12,31.58,3898215.0
2016-01-25,31.2,31.35,30.94,30.98,3366790.0
2016-01-26,31.15,33.35,31.11,31.65,4462167.0
2016-01-27,31.61,32.07,31.39,31.6,3427457.0
2016-01-28,31.3,31.44,30.83,31.25,4621278.0
2016-01-29,31.46,32.25,31.44,32.2,3936082.0
2016-02-01,31.93,32.94,31.91,32.72,3341337.0
2016-02-02,32.27,32.27,31.77,31.89,3795729.0
2016-02-03,31.49,31.75,30.98,31.58,5189343.0
2016-02-04,30.78,31.04,30.57,30.9,7062769.0
2016-02-05,30.65,30.71,29.98,30.15,5522874.0
2016-02-08,29.46,29.48,28.83,29.19,5067270.0
2016-02-09,28.91,29.41,28.9,29.24,4243417.0
2016-02-10,29.31,29.63,29.16,29.36,4350778.0
2016-02-11,29.33,29.5,29.03,29.27,4805042.0
2016-02-12,29.52,29.95,29.41,29.9,3116496.0
2016-02-16,29.95,30.42,29.9,30.26,4037923.0
2016-02-17,31.0,31.32,30.9,31.09,4313758.0
2016-02-18,31.09,31.15,30.92,30.96,3522775.0
2016-02-19,30.47,30.74,30.31,30.57,2691414.0
2016-02-22,30.45,30.69,30.43,30.65,3173879.0
2016-02-23,30.31,30.41,29.97,30.03,2931495.0
2016-02-24,29.69,29.99,29.45,29.89,5248920.0
2016-02-25,30.35,30.79,30.08,30.67,3390362.0
2016-02-26,30.44,30.54,30.3,30.4,2360594.0
2016-02-29,30.27,30.74,30.25,30.4,2404910.0
2016-03-01,30.89,31.35,30.8,31.35,2368679.0
2016-03-02,31.07,31.37,30.94,31.35,2163212.0
2016-03-03,31.34,31.57,31.2,31.51,2100102.0
2016-03-04,31.67,31.73,31.43,31.57,2131012.0
2016-03-07,30.8,31.3,30.69,31.13,2485167.0
2016-03-08,31.08,31.18,30.86,30.97,1929645.0
2016-03-09,30.9,31.01,30.68,30.74,2410484.0
2016-03-10,30.81,31.04,30.3,30.57,2494122.0
2016-03-11,31.07,31.49,31.04,31.48,2462381.0
2016-03-14,31.58,31.68,31.51,31.56,3591572.0
2016-03-15,31.36,31.38,31.19,31.28,3420860.0
2016-03-16,31.12,31.57,31.07,31.53,2332121.0
2016-03-17,31.73,32.03,31.52,31.95,2474335.0
2016-03-18,32.02,32.03,31.53,31.56,2490454.0
2016-03-21,31.24,31.59,31.22,31.44,2877328.0
2016-03-22,30.89,31.31,30.88,31.24,2934080.0
2016-03-23,31.3,31.35,31.21,31.26,1953059.0
2016-03-24,31.0,31.31,30.94,31.3,1831376.0
2016-03-28,31.56,31.57,31.25,31.44,1380352.0
2016-03-29,31.27,31.88,31.12,31.78,3162807.0
2016-03-30,32.2,32.41,32.08,32.1,3218204.0
2016-03-31,32.04,32.2,31.92,32.05,2785793.0
2016-04-01,31.32,31.83,31.23,31.73,3741121.0
2016-04-04,31.64,31.85,31.51,31.74,4168566.0
2016-04-05,31.19,31.27,30.5,30.66,5177336.0
2016-04-06,30.89,31.37,30.81,31.34,3116977.0
2016-04-07,31.39,31.7,31.32,31.68,7019963.0
2016-04-08,32.08,32.52,32.07,32.22,5304461.0
