Date,open,high,low,close,volume
2015-04-27,54.79,55.5,54.71,54.97,19812788.0
2015-04-28,54.91,55.43,54.87,55.41,12955571.0
2015-04-29,55.17,55.76,55.07,55.46,17573756.0
2015-04-30,55.65,55.65,54.78,55.1,16234867.0
2015-05-01,55.26,55.58,54.96,55.19,12042956.0
2015-05-04,55.27,55.77,55.26,55.73,9904553.0
2015-05-05,55.73,56.2,55.6,55.72,16910394.0
2015-05-06,55.43,55.6,54.45,54.92,15650009.0
2015-05-07,54.96,55.19,54.61,54.81,14691457.0
2015-05-08,55.17,56.05,55.09,56.05,17418707.0
2015-05-11,55.92,55.96,55.44,55.51,12803144.0
2015-05-12,55.31,55.64,55.0,55.47,11554458.0
2015-05-13,55.47,55.83,55.37,55.6,11341246.0
2015-05-14,55.95,56.13,55.72,56.04,10899187.0
2015-05-15,56.04,56.04,55.3,55.52,13204739.0
2015-05-18,55.58,55.98,55.55,55.75,10502016.0
2015-05-19,55.9,56.7,55.89,56.4,16872718.0
2015-05-20,56.32,56.37,55.93,56.08,13230360.0
2015-05-21,55.91,56.18,55.83,56.01,13398856.0
2015-05-22,56.04,56.23,55.99,56.0,8556405.0
2015-05-26,55.97,56.0,55.46,55.66,15742666.0
2015-05-27,55.92,56.31,55.71,56.07,11804453.0
2015-05-28,56.11,56.3,55.89,56.21,8714015.0
2015-05-29,56.25,56.26,55.68,55.96,17152698.0
2015-06-01,56.24,56.49,55.8,56.04,15696098.0
2015-06-02,56.01,56.45,55.74,56.18,13118078.0
2015-06-03,56.35,57.2,56.35,56.91,16049446.0
2015-06-04,56.53,56.89,55.93,56.14,17401139.0
2015-06-05,57.04,57.22,56.4,56.61,16718319.0
2015-06-08,56.94,56.94,56.12,56.12,13930268.0
2015-06-09,56.23,56.92,56.0,56.7,14465642.0
2015-06-10,56.98,57.57,56.9,57.21,18546137.0
2015-06-11,57.26,57.57,57.07,57.26,13797699.0
2015-06-12,57.13,57.29,56.74,57.09,13350680.0
2015-06-15,56.65,57.07,56.48,56.98,12708386.0
2015-06-16,56.85,57.24,56.73,57.22,10441613.0
2015-06-17,57.31,57.55,57.1,57.17,17493338.0
2015-06-18,57.29,57.84,57.19,57.7,18213000.0
2015-06-19,57.42,57.57,57.05,57.05,32859580.0
2015-06-22,57.58,58.04,57.53,57.91,14965038.0
2015-06-23,58.0,58.26,57.76,57.89,13092744.0
2015-06-24,57.67,58.15,57.54,57.54,13120153.0
2015-06-25,57.75,57.79,57.13,57.17,13944051.0
2015-06-26,57.34,57.58,57.29,57.44,15915336.0
2015-06-29,56.8,57.19,56.01,56.06,19053905.0
2015-06-30,56.54,56.88,55.99,56.24,16798651.0
2015-07-01,57.09,57.2,56.61,56.91,12044866.0
2015-07-02,56.84,57.14,56.52,56.74,9974918.0
2015-07-06,56.1,56.53,56.01,56.44,11619484.0
2015-07-07,56.32,56.47,55.07,56.25,15772042.0
2015-07-08,55.84,56.17,55.21,55.25,12673975.0
2015-07-09,56.06,56.15,55.44,55.5,13404069.0
2015-07-10,56.33,56.46,55.86,56.08,13142184.0
2015-07-13,56.56,56.76,56.42,56.74,14958002.0
2015-07-14,56.46,57.37,56.39,57.25,20045156.0
2015-07-15,57.41,58.16,57.26,57.78,17107507.0
2015-07-16,58.24,58.35,57.98,58.17,13172758.0
2015-07-17,57.97,58.05,57.49,57.94,12941330.0
2015-07-20,57.99,58.29,57.88,58.05,9672925.0
2015-07-21,58.02,58.37,57.75,57.95,12335756.0
2015-07-22,58.07,58.59,57.99,58.52,14859641.0
2015-07-23,58.73,58.76,58.07,58.21,13038454.0
2015-07-24,58.18,58.34,57.7,57.78,13142505.0
2015-07-27,57.48,57.84,57.34,57.59,15474144.0
2015-07-28,57.73,57.84,57.16,57.4,16446566.0
2015-07-29,57.6,58.13,57.42,57.96,13580927.0
2015-07-30,57.85,58.19,57.72,58.15,9770685.0
2015-07-31,58.23,58.25,57.79,57.87,12123838.0
2015-08-03,58.07,58.07,57.5,57.91,13071212.0
2015-08-04,57.77,58.16,57.71,57.82,12308832.0
2015-08-05,57.81,58.02,57.48,57.65,11982779.0
2015-08-06,57.65,57.95,57.4,57.53,12524854.0
2015-08-07,57.57,57.86,57.04,57.47,13585613.0
2015-08-10,57.8,57.98,57.68,57.94,12324200.0
2015-08-11,57.23,57.55,56.98,57.21,15026917.0
2015-08-12,56.9,56.95,56.2,56.72,21663210.0
2015-08-13,56.75,57.13,56.63,56.89,11734570.0
2015-08-14,56.89,57.37,56.82,57.33,9721765.0
2015-08-17,57.02,57.5,56.93,57.35,11116724.0
2015-08-18,57.41,57.72,57.27,57.54,10573730.0
2015-08-19,57.28,57.55,56.95,57.06,13697088.0
2015-08-20,56.46,56.58,56.11,56.12,20709512.0
2015-08-21,55.33,55.78,53.96,53.97,31607038.0
2015-08-24,49.2,53.24,47.75,51.25,38730043.0
2015-08-25,53.55,53.65,50.0,50.02,30516901.0
2015-08-26,51.56,52.41,50.58,52.3,29576044.0
2015-08-27,53.44,54.1,52.88,54.03,25418252.0
2015-08-28,53.75,53.93,53.04,53.54,18207202.0
2015-08-31,53.4,53.56,53.06,53.33,13737999.0
2015-09-01,52.11,52.32,50.53,50.99,27797314.0
2015-09-02,52.49,52.49,51.27,51.99,20699429.0
2015-09-03,52.39,53.0,52.22,52.43,15613260.0
2015-09-04,51.8,51.82,50.76,51.29,22184650.0
2015-09-08,52.65,52.98,51.98,52.93,19430504.0
2015-09-09,53.61,53.7,52.02,52.19,16028262.0
2015-09-10,52.07,52.86,51.8,52.56,17935500.0
2015-09-11,52.34,52.66,52.03,52.62,12491713.0
2015-09-14,52.63,52.88,52.41,52.77,16232005.0
2015-09-15,53.04,53.78,52.82,53.47,14028020.0
2015-09-16,53.52,53.89,52.9,53.72,14448951.0
2015-09-17,53.7,53.91,52.03,52.21,24403353.0
2015-09-18,51.27,51.48,50.7,51.04,38973497.0
2015-09-21,51.52,51.74,51.18,51.55,16288830.0
2015-09-22,50.87,51.15,50.33,50.69,21192645.0
2015-09-23,50.88,50.94,50.5,50.78,12420086.0
2015-09-24,50.09,50.68,49.8,50.55,16566605.0
2015-09-25,51.36,51.87,51.07,51.48,18283140.0
2015-09-28,51.07,51.3,50.2,50.37,16841440.0
2015-09-29,50.47,50.96,50.0,50.89,20677118.0
2015-09-30,51.63,51.72,50.7,51.35,20427101.0
2015-10-01,51.51,51.86,50.91,51.44,15494317.0
2015-10-02,50.28,51.29,49.51,51.26,21526696.0
2015-10-05,51.71,52.57,51.5,52.41,15050605.0
2015-10-06,52.18,52.54,51.92,52.03,14286850.0
2015-10-07,52.49,52.72,51.91,52.19,13863490.0
2015-10-08,52.23,52.59,51.77,52.54,15330600.0
2015-10-09,53.02,53.07,51.98,52.14,16847638.0
2015-10-12,52.12,52.43,51.75,52.18,10570665.0
2015-10-13,52.02,52.31,51.71,51.86,15778302.0
2015-10-14,51.7,51.9,50.74,51.5,26184345.0
2015-10-15,51.98,52.7,51.75,52.69,18141308.0
2015-10-16,53.15,53.19,52.5,52.88,15543897.0
2015-10-19,52.76,53.01,52.45,52.56,15329998.0
2015-10-20,52.62,53.28,52.58,53.08,13504278.0
2015-10-21,53.04,53.86,53.03,53.12,17666680.0
2015-10-22,53.4,54.45,53.4,54.06,18212224.0
2015-10-23,54.34,54.8,54.11,54.75,16893740.0
2015-10-26,54.76,54.81,54.16,54.29,12519477.0
2015-10-27,53.98,54.32,53.82,54.12,12206843.0
