Date,open,high,low,close,volume
2015-04-27,9.5,10.02,9.39,9.78,170081.0
2015-04-28,9.79,9.97,9.78,9.9,97863.0
2015-04-29,9.89,9.96,9.74,9.78,93819.0
2015-04-30,9.72,9.82,9.3,9.32,139909.0
2015-05-01,9.32,9.45,9.25,9.4,154986.0
2015-05-04,9.44,9.73,9.44,9.55,79301.0
2015-05-05,9.51,9.63,9.17,9.3,139137.0
2015-05-06,9.32,9.8,9.3,9.71,165625.0
2015-05-07,10.16,10.45,9.8,10.37,202359.0
2015-05-08,10.61,10.72,10.39,10.41,165367.0
2015-05-11,10.46,10.79,10.46,10.53,418543.0
2015-05-12,10.53,10.55,10.29,10.43,125668.0
2015-05-13,10.48,10.65,10.36,10.49,119609.0
2015-05-14,10.5,10.58,10.37,10.57,158870.0
2015-05-15,10.56,10.67,10.38,10.41,101886.0
2015-05-18,10.41,10.64,10.31,10.61,110725.0
2015-05-19,10.6,10.63,10.49,10.54,63344.0
2015-05-20,10.56,10.57,10.42,10.54,78837.0
2015-05-21,10.5,10.56,10.32,10.35,65128.0
2015-05-22,10.35,10.36,10.13,10.19,62117.0
2015-05-26,10.15,10.21,9.93,10.03,166151.0
2015-05-27,10.03,10.16,9.98,10.12,305007.0
2015-05-28,10.08,10.1,9.89,9.98,110359.0
2015-05-29,9.94,10.0,9.75,9.78,138148.0
2015-06-01,9.85,9.86,9.65,9.83,90094.0
2015-06-02,9.76,9.89,9.76,9.83,89325.0
2015-06-03,9.83,9.96,9.81,9.9,88919.0
2015-06-04,9.82,9.89,9.58,9.62,69827.0
2015-06-05,9.63,9.67,9.41,9.55,101321.0
2015-06-08,9.56,9.58,9.44,9.53,66230.0
2015-06-09,9.54,9.58,9.35,9.53,119756.0
2015-06-10,9.61,9.8,9.61,9.74,169743.0
2015-06-11,9.75,9.79,9.58,9.64,51257.0
2015-06-12,9.63,9.75,9.24,9.46,117108.0
2015-06-15,9.35,9.35,9.18,9.23,242528.0
2015-06-16,9.22,9.34,9.1,9.18,126485.0
2015-06-17,9.22,9.28,9.04,9.09,79974.0
2015-06-18,9.12,9.37,9.07,9.21,112214.0
2015-06-19,9.24,9.41,9.22,9.24,197639.0
2015-06-22,9.25,9.39,9.13,9.37,94347.0
2015-06-23,9.4,9.52,9.3,9.33,94688.0
2015-06-24,9.29,9.29,9.12,9.16,61967.0
2015-06-25,9.22,9.22,9.09,9.17,66870.0
2015-06-26,9.22,9.59,9.17,9.57,280326.0
2015-06-29,9.51,9.52,9.1,9.13,91344.0
2015-06-30,9.21,9.21,9.03,9.18,167904.0
2015-07-01,9.36,9.47,9.18,9.31,94359.0
2015-07-02,9.35,9.35,9.04,9.16,65125.0
2015-07-06,9.1,9.17,9.04,9.05,83959.0
2015-07-07,9.14,9.14,8.78,8.93,125767.0
2015-07-08,8.81,8.96,8.56,8.68,168857.0
2015-07-09,8.76,8.8,8.62,8.7,237783.0
2015-07-10,8.83,9.15,8.77,9.12,119174.0
2015-07-13,9.17,9.28,9.14,9.24,112261.0
2015-07-14,9.22,9.25,9.16,9.18,109763.0
2015-07-15,9.23,9.32,9.1,9.28,82252.0
