date,close,high,low,trade_count,open,volume,vwap,tic
2025-01-02,584.64,591.13,580.5,603951,589.39,50203975,585.069059,SPY
2025-01-03,591.95,592.6,586.43,427267,587.53,37888459,590.3249,SPY
2025-01-06,595.36,599.7,593.6,468834,596.27,47679442,596.616783,SPY
2025-01-07,588.63,597.75,586.78,489809,597.42,60393052,591.010705,SPY
2025-01-08,589.49,590.5799,585.195,432460,588.7,47304672,588.281771,SPY
2025-01-10,580.49,585.95,578.55,720924,585.88,73105046,581.355095,SPY
2025-01-13,581.39,581.75,575.35,505933,575.77,47910060,578.886779,SPY
2025-01-14,582.19,585.0,578.35,473554,584.36,48420580,581.845057,SPY
2025-01-15,592.78,593.94,589.195,488787,590.325,56900159,592.171696,SPY
2025-01-16,591.64,594.35,590.93,409217,594.175,44319662,592.628159,SPY
2025-01-17,597.58,599.36,595.61,420955,596.96,58070628,597.811044,SPY
2025-01-21,603.05,603.06,598.67,429380,600.67,42532853,601.650228,SPY
2025-01-22,606.44,607.82,605.36,367155,605.92,48195973,606.756402,SPY
2025-01-23,609.75,609.75,605.52,330491,605.8,41152102,607.610365,SPY
2025-01-24,607.97,610.78,606.8,360925,609.81,34604693,608.544314,SPY
2025-01-27,599.37,599.69,594.64,685466,594.81,70361125,597.680869,SPY
2025-01-28,604.52,605.37,597.25,419856,600.62,44433322,602.91773,SPY
2025-01-29,601.81,604.13,599.22,426224,603.72,37177429,601.975438,SPY
2025-01-30,605.04,606.6,600.715,419933,603.96,39281255,604.043298,SPY
2025-01-31,601.82,609.96,601.05,591698,607.5,66671471,604.912328,SPY
2025-02-03,597.77,600.29,590.49,730460,592.67,65713364,596.422957,SPY
2025-02-04,601.78,602.3,597.28,377667,597.83,33024773,600.835606,SPY
2025-02-05,604.22,604.37,598.58,358145,600.64,30653149,602.220255,SPY
2025-02-06,606.32,606.4525,602.63,351828,605.99,35771503,605.227961,SPY
2025-02-07,600.77,608.13,600.05,554348,606.89,50188662,602.782187,SPY
2025-02-10,604.85,605.4999,602.74,393593,604.03,26023524,604.488606,SPY
2025-02-11,605.31,605.86,602.43,408321,602.55,30056740,604.533431,SPY
2025-02-12,603.36,604.55,598.51,435863,599.2,45076076,602.334147,SPY
2025-02-13,609.73,609.94,603.2,426318,604.48,40921297,607.637911,SPY
2025-02-14,609.7,610.99,609.07,330615,609.94,26910448,610.09029,SPY
2025-02-18,611.49,611.49,608.38,364168,610.88,26749030,610.093495,SPY
2025-02-19,612.93,613.23,609.56,332869,610.08,30898690,611.742949,SPY
2025-02-20,610.38,611.684,607.02,388456,611.54,36554002,609.150979,SPY
2025-02-21,599.94,610.3,599.47,628050,610.16,76519818,603.120085,SPY
2025-02-24,597.21,603.03,596.49,600743,602.02,50737213,599.090526,SPY
