date,tic,open,high,low,close,volume
2016-01-04,AAPL,102.61,105.368,102.0,105.35,71935339
2016-01-04,ABBV,58.06,58.32,56.4,57.61,11717056
2016-01-04,ABT,43.94,44.05,42.5,42.93,13106072
2016-01-04,ADBE,91.77,92.0,90.54,91.97,3289473
2016-01-04,AMD,2.77,2.82,2.63,2.77,33698464
2016-01-04,AMT,96.29,96.78,95.09,96.7,3071544
2016-01-04,AMZN,656.29,657.715,627.51,636.99,9616395
2016-01-04,AXP,68.09,68.18,66.77,67.59,10069871
2016-01-04,BA,141.49,141.7,139.43,140.5,6178380
2016-01-04,BAC,16.45,16.49,16.25,16.43,133975487
2016-01-04,BLK,333.04,333.46,329.005,333.1,1026165
2016-01-04,CAT,66.88,68.085,65.72,67.99,9067095
2016-01-04,COP,46.41,47.77,46.08,46.88,9671036
2016-01-04,COST,159.81,160.1,157.865,159.54,2871188
2016-01-04,CRM,77.14,77.21,75.64,76.71,5247147
2016-01-04,CSCO,26.39,26.42,25.88,26.41,39410994
2016-01-04,CVX,89.53,90.11,87.57,88.85,12358253
2016-01-04,DIS,103.37,103.43,101.73,102.98,13637011
2016-01-04,DUK,70.93,71.21,70.16,71.19,3889936
2016-01-04,EQIX,299.75,300.6,293.25,296.08,928404
2016-01-04,FCX,6.6,6.76,6.3,6.55,44727954
2016-01-04,GE,30.55,30.76,30.25,30.71,68191994
2016-01-04,GOOGL,762.2,762.2,747.54,759.44,3546264
2016-01-04,GS,175.79,177.19,173.76,177.14,4063377
2016-01-04,HD,130.11,131.07,129.45,131.07,9010836
2016-01-04,HON,101.55,102.64,100.99,102.57,3693553
2016-01-04,JNJ,101.71,101.81,99.45,100.48,14395232
2016-01-04,JPM,63.95,64.06,63.01,63.62,27827227
2016-01-04,KO,42.34,42.5,41.965,42.4,18196044
2016-01-04,LLY,83.4,83.6,81.79,82.87,7476704
2016-01-04,LOW,74.69,75.57,74.5,75.28,7019426
2016-01-04,MA,95.37,95.59,93.72,94.81,7645727
2016-01-04,MCD,117.25,117.73,115.87,117.58,10805677
2016-01-04,META,101.95,102.24,99.75,102.22,40592464
2016-01-04,MS,30.7,31.515,30.56,31.48,17056916
2016-01-04,MSFT,54.32,54.8,53.39,54.8,59379610
2016-01-04,NEE,102.87,103.65,102.34,103.57,2151934
2016-01-04,NFLX,109.0,110.0,105.21,109.96,21234213
2016-01-04,NKE,61.11,61.91,60.86,61.52,12562870
2016-01-04,NVDA,32.29,32.58,32.04,32.37,9777779
2016-01-04,ORCL,36.01,36.01,35.36,35.75,20427598
2016-01-04,PEP,98.56,99.0,97.8,98.77,7602056
2016-01-04,PFE,31.85,32.03,31.57,31.95,40602981
2016-01-04,PG,78.36,78.5,77.54,78.37,13282511
2016-01-04,PLD,42.36,42.42,41.46,41.9,3228999
2016-01-04,SBUX,58.77,58.83,57.6,58.26,14663611
2016-01-04,SHW,257.31,260.035,251.11,254.75,1232199
2016-01-04,SLB,69.45,70.02,67.96,69.18,9883336
2016-01-04,SO,46.41,47.07,46.25,47.03,7471568
2016-01-04,T,34.06,34.35,34.0,34.35,34853630
2016-01-04,TGT,71.82,73.71,71.53,73.55,9303094
2016-01-04,TMO,139.45,140.15,137.32,138.75,3496893
2016-01-04,TSLA,230.72,231.38,219.0,223.41,6950990
2016-01-04,UNH,116.91,116.91,114.525,116.46,5583065
2016-01-04,UPS,95.34,95.4,94.06,94.84,4127292
2016-01-04,V,76.06,76.38,75.01,75.7,14892651
2016-01-04,VZ,45.67,45.905,45.36,45.87,20061699
2016-01-04,WMT,60.5,61.49,60.36,61.46,12960758
2016-01-04,XOM,77.5,77.94,76.455,77.46,23034280
2016-01-05,AAPL,105.75,105.85,102.41,102.71,58690536
2016-01-05,ABBV,57.99,58.25,56.815,57.37,7938731
2016-01-05,ABT,42.95,43.2,42.61,42.92,8575631
2016-01-05,ADBE,92.01,92.85,91.41,92.34,1955248
2016-01-05,AMD,2.77,2.8,2.64,2.75,13372522
2016-01-05,AMT,96.93,98.75,96.8,98.61,2596755
2016-01-05,AMZN,646.86,646.91,627.65,633.79,5986947
2016-01-05,AXP,67.37,67.71,65.67,66.55,11341027
2016-01-05,BA,140.99,141.7,139.77,141.07,3567191
