Contract Symbol,Last Price,Bid,Ask,Last Trade Date,Expiry,Strike,Option Type,Open Interest,Volume,Implied Volatility,Spot Price,Discount Rate,Direct Discount Rate,Smooth Discount Rate
AAPL260427P00240000,0.01,0.0,0.01,2026-04-27 13:45:17.000000,2026-04-27,240.0,put,390.0,2.0,4.9091,267.8699,0.045,0.045,0.045
AAPL260427P00242500,0.01,0.0,0.01,2026-04-27 09:52:01.000000,2026-04-27,242.5,put,78.0,2.0,4.478,267.8699,0.045,0.045,0.045
AAPL260427P00245000,0.01,0.0,0.01,2026-04-27 14:32:05.000000,2026-04-27,245.0,put,241.0,259.0,4.0481,267.8699,0.045,0.045,0.045
AAPL260427P00247500,0.01,0.0,0.01,2026-04-27 11:06:45.000000,2026-04-27,247.5,put,53.0,31.0,3.6191,267.8699,0.045,0.045,0.045
AAPL260427P00250000,0.01,0.0,0.01,2026-04-27 14:32:40.000000,2026-04-27,250.0,put,296.0,55.0,3.1905,267.8699,0.045,0.045,0.045
AAPL260427C00252500,13.86,14.3,15.75,2026-04-27 15:12:07.000000,2026-04-27,252.5,call,16.0,67.0,3.7466,267.8699,0.045,0.045,0.045
AAPL260427P00252500,0.01,0.0,0.01,2026-04-27 15:31:06.000000,2026-04-27,252.5,put,391.0,100.0,2.7615,267.8699,0.045,0.045,0.045
AAPL260427C00255000,12.45,12.1,13.3,2026-04-27 15:39:02.000000,2026-04-27,255.0,call,226.0,28.0,4.2354,267.8699,0.045,0.045,0.045
AAPL260427P00255000,0.01,0.0,0.01,2026-04-27 15:17:29.000000,2026-04-27,255.0,put,410.0,1742.0,2.331,267.8699,0.045,0.045,0.045
AAPL260427C00257500,9.5,9.8,10.85,2026-04-27 15:28:13.000000,2026-04-27,257.5,call,21.0,44.0,3.8609,267.8699,0.045,0.045,0.045
AAPL260427P00257500,0.01,0.0,0.01,2026-04-27 15:37:53.000000,2026-04-27,257.5,put,410.0,1057.0,1.8977,267.8699,0.045,0.045,0.045
AAPL260427C00260000,7.63,7.2,8.0,2026-04-27 15:54:21.000000,2026-04-27,260.0,call,174.0,311.0,2.4326,267.8699,0.045,0.045,0.045
AAPL260427P00260000,0.01,0.0,0.01,2026-04-27 15:54:02.000000,2026-04-27,260.0,put,1205.0,2714.0,1.4594,267.8699,0.045,0.045,0.045
AAPL260427C00262500,5.16,4.8,5.5,2026-04-27 15:56:59.000000,2026-04-27,262.5,call,79.0,1204.0,1.9212,267.8699,0.045,0.045,0.045
AAPL260427P00262500,0.01,0.0,0.01,2026-04-27 15:56:32.000000,2026-04-27,262.5,put,1175.0,7660.0,1.0119,267.8699,0.045,0.045,0.045
AAPL260427C00265000,2.57,2.44,2.89,2026-04-27 15:59:50.000000,2026-04-27,265.0,call,576.0,12751.0,0.958,267.8699,0.045,0.045,0.045
AAPL260427P00265000,0.01,0.0,0.01,2026-04-27 15:59:33.000000,2026-04-27,265.0,put,2217.0,51561.0,0.5461,267.8699,0.045,0.045,0.045
AAPL260427C00267500,0.19,0.19,0.27,2026-04-27 15:59:59.000000,2026-04-27,267.5,call,738.0,99318.0,0.1863,267.8699,0.045,0.045,0.045
AAPL260427P00267500,0.1,0.07,0.11,2026-04-27 15:59:59.000000,2026-04-27,267.5,put,2778.0,28005.0,0.1987,267.8699,0.045,0.045,0.045
AAPL260427C00270000,0.01,0.01,0.02,2026-04-27 15:59:49.000000,2026-04-27,270.0,call,5180.0,90281.0,0.6536,267.8699,0.045,0.045,0.045
AAPL260427C00272500,0.01,0.0,0.01,2026-04-27 15:57:57.000000,2026-04-27,272.5,call,5528.0,22977.0,1.0055,267.8699,0.045,0.045,0.045
AAPL260427P00272500,4.55,4.55,5.5,2026-04-27 15:54:53.000000,2026-04-27,272.5,put,2202.0,1603.0,1.1607,267.8699,0.045,0.045,0.045
AAPL260427C00275000,0.01,0.0,0.01,2026-04-27 15:59:43.000000,2026-04-27,275.0,call,10094.0,11583.0,1.4308,267.8699,0.045,0.045,0.045
AAPL260427C00277500,0.01,0.0,0.01,2026-04-27 15:46:58.000000,2026-04-27,277.5,call,8259.0,5086.0,1.8395,267.8699,0.045,0.045,0.045
AAPL260427C00280000,0.01,0.0,0.01,2026-04-27 15:58:18.000000,2026-04-27,280.0,call,7738.0,5021.0,2.2358,267.8699,0.045,0.045,0.045
AAPL260427C00282500,0.01,0.0,0.01,2026-04-27 15:44:50.000000,2026-04-27,282.5,call,2902.0,246.0,2.6218,267.8699,0.045,0.045,0.045
AAPL260427P00282500,14.35,14.5,15.85,2026-04-27 09:58:38.000000,2026-04-27,282.5,put,10.0,40.0,4.1066,267.8699,0.045,0.045,0.045
AAPL260427C00285000,0.01,0.0,0.01,2026-04-27 14:46:37.000000,2026-04-27,285.0,call,1681.0,131.0,2.9991,267.8699,0.045,0.045,0.045
AAPL260427C00287500,0.01,0.0,0.01,2026-04-27 14:46:37.000000,2026-04-27,287.5,call,1746.0,12.0,3.3687,267.8699,0.045,0.045,0.045
AAPL260427C00290000,0.01,0.0,0.01,2026-04-27 14:46:37.000000,2026-04-27,290.0,call,461.0,23.0,3.7315,267.8699,0.045,0.045,0.045
AAPL260427C00292500,0.01,0.0,0.01,2026-04-27 14:46:37.000000,2026-04-27,292.5,call,8.0,18.0,4.088,267.8699,0.045,0.045,0.045
AAPL260427C00295000,0.01,0.0,0.01,2026-04-27 14:46:37.000000,2026-04-27,295.0,call,402.0,12.0,4.4385,267.8699,0.045,0.045,0.045
AAPL260427C00297500,0.01,0.0,0.01,2026-04-27 09:42:11.000000,2026-04-27,297.5,call,5.0,8.0,4.7837,267.8699,0.045,0.045,0.045
AAPL260429P00185000,0.01,0.0,0.01,2026-04-27 10:43:48.000000,2026-04-29,185.0,put,7503.0,1.0,1.5666,267.8699,0.045,0.045,0.045
AAPL260429C00190000,82.78,75.7,79.55,2026-04-22 14:30:14.000000,2026-04-29,190.0,call,7.0,0.0,1.7941,267.8699,0.045,0.045,0.045
AAPL260429P00190000,0.01,0.0,0.01,2026-04-27 11:05:07.000000,2026-04-29,190.0,put,7501.0,1.0,1.4604,267.8699,0.045,0.045,0.045
AAPL260429C00195000,0.0,70.7,74.5,2026-04-28 13:23:34.011536,2026-04-29,195.0,call,0.0,0.0,1.5377,267.8699,0.045,0.045,0.045
AAPL260429P00195000,0.09,0.0,0.01,2026-04-20 10:07:40.000000,2026-04-29,195.0,put,1.0,0.0,1.3565,267.8699,0.045,0.045,0.045
AAPL260429P00200000,0.01,0.0,0.01,2026-04-27 15:27:31.000000,2026-04-29,200.0,put,1.0,6000.0,1.255,267.8699,0.045,0.045,0.045
AAPL260429P00205000,0.0,0.0,0.05,2026-04-28 13:23:34.013097,2026-04-29,205.0,put,0.0,0.0,1.3352,267.8699,0.045,0.045,0.045
AAPL260429P00210000,0.01,0.0,0.01,2026-04-27 15:31:35.000000,2026-04-29,210.0,put,1.0,4.0,1.058,267.8699,0.045,0.045,0.045
AAPL260429P00215000,0.01,0.0,0.02,2026-04-27 15:42:04.000000,2026-04-29,215.0,put,3.0,47.0,1.0607,267.8699,0.045,0.045,0.045
AAPL260429P00220000,0.01,0.0,0.02,2026-04-27 13:58:36.000000,2026-04-29,220.0,put,478.0,104.0,0.9584,267.8699,0.045,0.045,0.045
AAPL260429P00225000,0.02,0.01,0.02,2026-04-27 14:44:48.000000,2026-04-29,225.0,put,18.0,28.0,0.8577,267.8699,0.045,0.045,0.045
AAPL260429P00230000,0.02,0.01,0.03,2026-04-27 15:48:22.000000,2026-04-29,230.0,put,15.0,23.0,0.7812,267.8699,0.045,0.045,0.045
AAPL260429P00235000,0.05,0.01,0.04,2026-04-27 12:55:00.000000,2026-04-29,235.0,put,224.0,505.0,0.6975,267.8699,0.045,0.045,0.045
AAPL260429P00237500,0.03,0.01,0.04,2026-04-27 15:54:47.000000,2026-04-29,237.5,put,8.0,11.0,0.6465,267.8699,0.045,0.045,0.045
AAPL260429P00240000,0.03,0.02,0.05,2026-04-27 14:14:30.000000,2026-04-29,240.0,put,327.0,32.0,0.6201,267.8699,0.045,0.045,0.045
AAPL260429C00242500,23.93,23.65,26.75,2026-04-27 14:30:09.000000,2026-04-29,242.5,call,0.0,3.0,0.6672,267.8699,0.045,0.045,0.045
AAPL260429P00242500,0.04,0.01,0.05,2026-04-27 15:36:03.000000,2026-04-29,242.5,put,95.0,126.0,0.557,267.8699,0.045,0.045,0.045
AAPL260429C00245000,26.2,21.1,24.3,2026-04-22 10:17:23.000000,2026-04-29,245.0,call,2.0,0.0,0.6073,267.8699,0.045,0.045,0.045
AAPL260429P00245000,0.05,0.01,0.05,2026-04-27 15:57:31.000000,2026-04-29,245.0,put,344.0,245.0,0.5054,267.8699,0.045,0.045,0.045
AAPL260429C00247500,19.3,18.8,21.8,2026-04-27 14:53:52.000000,2026-04-29,247.5,call,1.0,3.0,0.6144,267.8699,0.045,0.045,0.045
AAPL260429P00247500,0.05,0.04,0.06,2026-04-27 15:29:34.000000,2026-04-29,247.5,put,283.0,78.0,0.4859,267.8699,0.045,0.045,0.045
AAPL260429C00250000,17.95,16.5,18.7,2026-04-27 15:57:44.000000,2026-04-29,250.0,call,10.0,398.0,0.349,267.8699,0.045,0.045,0.045
AAPL260429P00250000,0.06,0.05,0.07,2026-04-27 15:55:05.000000,2026-04-29,250.0,put,487.0,324.0,0.443,267.8699,0.045,0.045,0.045
AAPL260429C00252500,14.32,13.75,16.8,2026-04-27 15:11:13.000000,2026-04-29,252.5,call,6.0,666.0,0.4709,267.8699,0.045,0.045,0.045
AAPL260429P00252500,0.08,0.07,0.08,2026-04-27 15:59:34.000000,2026-04-29,252.5,put,114.0,457.0,0.401,267.8699,0.045,0.045,0.045
AAPL260429P00255000,0.13,0.11,0.12,2026-04-27 15:59:40.000000,2026-04-29,255.0,put,918.0,1840.0,0.3701,267.8699,0.045,0.045,0.045
AAPL260429C00257500,10.1,9.9,10.6,2026-04-27 15:51:59.000000,2026-04-29,257.5,call,150.0,61.0,0.3282,267.8699,0.045,0.045,0.045
AAPL260429P00257500,0.2,0.19,0.2,2026-04-27 15:59:38.000000,2026-04-29,257.5,put,1183.0,4688.0,0.3441,267.8699,0.045,0.045,0.045
AAPL260429C00260000,7.97,7.7,8.15,2026-04-27 15:55:25.000000,2026-04-29,260.0,call,685.0,207.0,0.3165,267.8699,0.045,0.045,0.045
AAPL260429P00260000,0.36,0.33,0.36,2026-04-27 15:59:40.000000,2026-04-29,260.0,put,2045.0,3205.0,0.3214,267.8699,0.045,0.045,0.045
AAPL260429C00262500,5.97,4.7,5.95,2026-04-27 15:53:58.000000,2026-04-29,262.5,call,119.0,215.0,0.2136,267.8699,0.045,0.045,0.045
