Contract Symbol,Last Price,Bid,Ask,Last Trade Date,Expiry,Strike,Option Type,Open Interest,Volume,Implied Volatility,Spot Price,Discount Rate,Direct Discount Rate,Smooth Discount Rate
AMZN260427P00235000,0.01,0.0,0.01,2026-04-27 13:02:08.000000,2026-04-27,235.0,put,3394.0,80.0,4.8362,261.71,0.045,0.045,0.045
AMZN260427P00237500,0.01,0.0,0.01,2026-04-27 13:08:56.000000,2026-04-27,237.5,put,445.0,35.0,4.39,261.71,0.045,0.045,0.045
AMZN260427P00240000,0.01,0.0,0.01,2026-04-27 13:44:24.000000,2026-04-27,240.0,put,1205.0,66.0,3.9451,261.71,0.045,0.045,0.045
AMZN260427P00242500,0.01,0.0,0.01,2026-04-27 13:35:46.000000,2026-04-27,242.5,put,641.0,8.0,3.501,261.71,0.045,0.045,0.045
AMZN260427P00245000,0.01,0.0,0.01,2026-04-27 15:26:57.000000,2026-04-27,245.0,put,1943.0,217.0,3.057,261.71,0.045,0.045,0.045
AMZN260427P00247500,0.01,0.0,0.01,2026-04-27 13:56:21.000000,2026-04-27,247.5,put,721.0,326.0,2.6121,261.71,0.045,0.045,0.045
AMZN260427C00250000,11.08,10.9,11.6,2026-04-27 15:59:10.000000,2026-04-27,250.0,call,1786.0,309.0,3.5911,261.71,0.045,0.045,0.045
AMZN260427P00250000,0.01,0.0,0.01,2026-04-27 15:51:49.000000,2026-04-27,250.0,put,1816.0,1202.0,2.165,261.71,0.045,0.045,0.045
AMZN260427P00252500,0.01,0.0,0.01,2026-04-27 15:55:11.000000,2026-04-27,252.5,put,2040.0,1439.0,1.7141,261.71,0.045,0.045,0.045
AMZN260427P00255000,0.01,0.0,0.01,2026-04-27 15:53:47.000000,2026-04-27,255.0,put,3024.0,2962.0,1.2561,261.71,0.045,0.045,0.045
AMZN260427P00257500,0.01,0.0,0.01,2026-04-27 15:55:53.000000,2026-04-27,257.5,put,2191.0,22706.0,0.7848,261.71,0.045,0.045,0.045
AMZN260427C00260000,1.02,0.88,1.39,2026-04-27 15:59:25.000000,2026-04-27,260.0,call,4852.0,18094.0,0.368,261.71,0.045,0.045,0.045
AMZN260427P00260000,0.01,0.0,0.01,2026-04-27 15:59:09.000000,2026-04-27,260.0,put,3507.0,44002.0,0.2804,261.71,0.045,0.045,0.045
AMZN260427C00262500,0.01,0.01,0.02,2026-04-27 15:59:58.000000,2026-04-27,262.5,call,3254.0,75479.0,0.4189,261.71,0.045,0.045,0.045
AMZN260427P00262500,1.48,1.32,1.57,2026-04-27 15:59:35.000000,2026-04-27,262.5,put,3954.0,20036.0,0.516,261.71,0.045,0.045,0.045
AMZN260427C00265000,0.01,0.0,0.02,2026-04-27 15:59:37.000000,2026-04-27,265.0,call,6051.0,109441.0,0.8341,261.71,0.045,0.045,0.045
AMZN260427P00265000,3.9,2.96,4.15,2026-04-27 15:54:55.000000,2026-04-27,265.0,put,1078.0,7839.0,1.3586,261.71,0.045,0.045,0.045
AMZN260427C00267500,0.01,0.0,0.01,2026-04-27 15:59:50.000000,2026-04-27,267.5,call,4386.0,13326.0,1.2838,261.71,0.045,0.045,0.045
AMZN260427P00267500,6.55,5.3,7.5,2026-04-27 15:54:09.000000,2026-04-27,267.5,put,16.0,831.0,1.4575,261.71,0.045,0.045,0.045
