Contract Symbol,Last Price,Bid,Ask,Last Trade Date,Expiry,Strike,Option Type,Open Interest,Volume,Implied Volatility,Spot Price,Discount Rate,Direct Discount Rate,Smooth Discount Rate
CVX260501C00100000,92.0,83.95,86.15,2026-04-13 09:39:33.000000,2026-05-01,100.0,call,1.0,0.0,2.71,184.78,0.045,0.045,0.045
CVX260501P00100000,0.0,0.0,0.01,2026-04-28 13:28:03.139983,2026-05-01,100.0,put,0.0,0.0,1.847,184.78,0.045,0.045,0.045
CVX260501C00105000,0.0,78.95,81.2,2026-04-28 13:28:03.140045,2026-05-01,105.0,call,0.0,0.0,2.5513,184.78,0.045,0.045,0.045
CVX260501P00105000,0.0,0.0,0.22,2026-04-28 13:28:03.140086,2026-05-01,105.0,put,0.0,0.0,1.708,184.78,0.045,0.045,0.045
CVX260501C00110000,0.0,73.75,76.15,2026-04-28 13:28:03.140127,2026-05-01,110.0,call,0.0,0.0,2.111,184.78,0.045,0.045,0.045
CVX260501P00110000,0.0,0.0,0.03,2026-04-28 13:28:03.140162,2026-05-01,110.0,put,0.0,0.0,1.7282,184.78,0.045,0.045,0.045
CVX260501C00115000,80.4,68.95,71.15,2026-04-09 11:02:22.000000,2026-05-01,115.0,call,1.0,0.0,2.1341,184.78,0.045,0.045,0.045
CVX260501P00115000,0.0,0.0,2.13,2026-04-28 13:28:03.140229,2026-05-01,115.0,put,0.0,0.0,2.8714,184.78,0.045,0.045,0.045
CVX260501C00120000,0.0,63.95,66.2,2026-04-28 13:28:03.140261,2026-05-01,120.0,call,0.0,0.0,1.9939,184.78,0.045,0.045,0.045
CVX260501P00120000,0.03,0.0,0.03,2026-04-27 10:01:24.000000,2026-05-01,120.0,put,0.0,14.0,1.4571,184.78,0.045,0.045,0.045
CVX260501C00125000,0.0,58.95,61.2,2026-04-28 13:28:03.140335,2026-05-01,125.0,call,0.0,0.0,1.8226,184.78,0.045,0.045,0.045
CVX260501P00125000,0.0,0.0,2.13,2026-04-28 13:28:03.140368,2026-05-01,125.0,put,0.0,0.0,2.4448,184.78,0.045,0.045,0.045
CVX260501C00130000,0.0,54.0,56.2,2026-04-28 13:28:03.140398,2026-05-01,130.0,call,0.0,0.0,1.6867,184.78,0.045,0.045,0.045
CVX260501P00130000,0.01,0.0,0.04,2026-04-27 11:16:45.000000,2026-05-01,130.0,put,53.0,10.0,1.2401,184.78,0.045,0.045,0.045
CVX260501C00135000,0.0,49.0,51.2,2026-04-28 13:28:03.140458,2026-05-01,135.0,call,0.0,0.0,1.5251,184.78,0.045,0.045,0.045
CVX260501P00135000,0.02,0.0,2.06,2026-04-27 09:51:47.000000,2026-05-01,135.0,put,1.0,4.0,2.0295,184.78,0.045,0.045,0.045
CVX260501C00140000,0.0,44.0,46.2,2026-04-28 13:28:03.140520,2026-05-01,140.0,call,0.0,0.0,1.3684,184.78,0.045,0.045,0.045
CVX260501P00140000,0.01,0.0,0.44,2026-04-27 11:17:04.000000,2026-05-01,140.0,put,53.0,16.0,1.3597,184.78,0.045,0.045,0.045
CVX260501C00145000,0.0,39.0,41.2,2026-04-28 13:28:03.140577,2026-05-01,145.0,call,0.0,0.0,1.2161,184.78,0.045,0.045,0.045
CVX260501P00145000,0.1,0.0,0.28,2026-04-24 15:47:20.000000,2026-05-01,145.0,put,120.0,0.0,1.1276,184.78,0.045,0.045,0.045
CVX260501C00150000,35.0,34.5,36.2,2026-04-27 11:45:04.000000,2026-05-01,150.0,call,70.0,1.0,1.2299,184.78,0.045,0.045,0.045
CVX260501P00150000,0.17,0.0,0.35,2026-04-24 15:47:49.000000,2026-05-01,150.0,put,365.0,0.0,1.0258,184.78,0.045,0.045,0.045
CVX260501C00155000,0.0,29.05,31.25,2026-04-28 13:28:03.140694,2026-05-01,155.0,call,0.0,0.0,0.9572,184.78,0.045,0.045,0.045
CVX260501P00155000,0.02,0.0,0.23,2026-04-27 12:11:42.000000,2026-05-01,155.0,put,56.0,7.0,0.8294,184.78,0.045,0.045,0.045
CVX260501C00157500,0.0,26.55,28.75,2026-04-28 13:28:03.140748,2026-05-01,157.5,call,0.0,0.0,0.8837,184.78,0.045,0.045,0.045
CVX260501P00157500,0.04,0.0,0.07,2026-04-27 15:43:31.000000,2026-05-01,157.5,put,2.0,17.0,0.6482,184.78,0.045,0.045,0.045
CVX260501C00160000,27.2,24.05,26.25,2026-04-14 11:23:32.000000,2026-05-01,160.0,call,1.0,0.0,0.8106,184.78,0.045,0.045,0.045
CVX260501P00160000,0.09,0.0,0.3,2026-04-27 10:54:19.000000,2026-05-01,160.0,put,174.0,2.0,0.7309,184.78,0.045,0.045,0.045
CVX260501C00162500,0.0,21.6,23.8,2026-04-28 13:28:03.140855,2026-05-01,162.5,call,0.0,0.0,0.7644,184.78,0.045,0.045,0.045
CVX260501P00162500,0.07,0.0,1.0,2026-04-27 13:14:10.000000,2026-05-01,162.5,put,50.0,124.0,0.8471,184.78,0.045,0.045,0.045
CVX260501C00165000,23.02,19.1,21.35,2026-04-22 12:05:20.000000,2026-05-01,165.0,call,2.0,0.0,0.7017,184.78,0.045,0.045,0.045
CVX260501P00165000,0.1,0.02,0.3,2026-04-27 15:41:52.000000,2026-05-01,165.0,put,699.0,144.0,0.605,184.78,0.045,0.045,0.045
CVX260501C00167500,17.38,16.7,18.85,2026-04-21 12:50:04.000000,2026-05-01,167.5,call,10.0,0.0,0.6469,184.78,0.045,0.045,0.045
CVX260501P00167500,0.84,0.04,0.79,2026-04-27 15:59:51.000000,2026-05-01,167.5,put,157.0,140.0,0.6603,184.78,0.045,0.045,0.045
CVX260501C00170000,15.52,14.35,16.45,2026-04-24 11:23:40.000000,2026-05-01,170.0,call,18.0,0.0,0.6122,184.78,0.045,0.045,0.045
CVX260501P00170000,0.28,0.24,0.3,2026-04-27 15:58:10.000000,2026-05-01,170.0,put,392.0,970.0,0.5254,184.78,0.045,0.045,0.045
CVX260501C00172500,14.72,12.0,14.1,2026-04-15 13:35:32.000000,2026-05-01,172.5,call,10.0,0.0,0.5723,184.78,0.045,0.045,0.045
CVX260501P00172500,0.39,0.37,0.45,2026-04-27 15:59:36.000000,2026-05-01,172.5,put,188.0,588.0,0.5016,184.78,0.045,0.045,0.045
CVX260501C00175000,11.45,9.75,11.6,2026-04-27 15:02:22.000000,2026-05-01,175.0,call,22.0,41.0,0.5148,184.78,0.045,0.045,0.045
CVX260501P00175000,0.66,0.63,0.72,2026-04-27 15:59:44.000000,2026-05-01,175.0,put,844.0,544.0,0.4906,184.78,0.045,0.045,0.045
CVX260501C00177500,8.4,7.75,9.6,2026-04-27 14:12:41.000000,2026-05-01,177.5,call,29.0,3.0,0.5164,184.78,0.045,0.045,0.045
CVX260501P00177500,0.98,0.88,1.1,2026-04-27 15:57:59.000000,2026-05-01,177.5,put,487.0,556.0,0.4639,184.78,0.045,0.045,0.045
CVX260501C00180000,7.03,6.25,6.85,2026-04-27 14:43:03.000000,2026-05-01,180.0,call,389.0,71.0,0.469,184.78,0.045,0.045,0.045
CVX260501P00180000,1.49,1.38,1.64,2026-04-27 15:57:53.000000,2026-05-01,180.0,put,588.0,305.0,0.4468,184.78,0.045,0.045,0.045
CVX260501C00182500,4.7,4.6,5.0,2026-04-27 15:57:36.000000,2026-05-01,182.5,call,200.0,55.0,0.4512,184.78,0.045,0.045,0.045
CVX260501P00182500,2.24,2.15,2.4,2026-04-27 15:57:29.000000,2026-05-01,182.5,put,337.0,718.0,0.4334,184.78,0.045,0.045,0.045
CVX260501C00185000,3.55,3.25,3.5,2026-04-27 15:53:39.000000,2026-05-01,185.0,call,693.0,833.0,0.4423,184.78,0.045,0.045,0.045
CVX260501P00185000,3.36,3.2,3.6,2026-04-27 15:47:27.000000,2026-05-01,185.0,put,608.0,226.0,0.4314,184.78,0.045,0.045,0.045
CVX260501C00187500,2.26,2.15,2.38,2026-04-27 15:59:20.000000,2026-05-01,187.5,call,2733.0,740.0,0.4372,184.78,0.045,0.045,0.045
CVX260501P00187500,4.3,4.6,5.35,2026-04-27 15:18:47.000000,2026-05-01,187.5,put,235.0,78.0,0.4501,184.78,0.045,0.045,0.045
CVX260501C00190000,1.48,1.39,1.52,2026-04-27 15:58:04.000000,2026-05-01,190.0,call,2012.0,913.0,0.4354,184.78,0.045,0.045,0.045
CVX260501P00190000,5.78,5.4,8.2,2026-04-27 14:51:39.000000,2026-05-01,190.0,put,171.0,6.0,0.4694,184.78,0.045,0.045,0.045
CVX260501C00192500,0.93,0.87,1.08,2026-04-27 15:57:59.000000,2026-05-01,192.5,call,2392.0,643.0,0.4502,184.78,0.045,0.045,0.045
CVX260501P00192500,8.5,7.9,9.75,2026-04-27 11:54:22.000000,2026-05-01,192.5,put,27.0,2.0,0.49,184.78,0.045,0.045,0.045
CVX260501C00195000,0.61,0.55,0.64,2026-04-27 15:59:53.000000,2026-05-01,195.0,call,2500.0,728.0,0.4528,184.78,0.045,0.045,0.045
CVX260501P00195000,10.0,9.5,11.4,2026-04-27 11:01:53.000000,2026-05-01,195.0,put,244.0,1.0,0.3752,184.78,0.045,0.045,0.045
CVX260501C00197500,0.4,0.36,0.47,2026-04-27 15:58:34.000000,2026-05-01,197.5,call,1023.0,571.0,0.4759,184.78,0.045,0.045,0.045
CVX260501P00197500,12.51,11.65,13.9,2026-04-24 10:43:57.000000,2026-05-01,197.5,put,96.0,0.0,0.3575,184.78,0.045,0.045,0.045
CVX260501C00200000,0.26,0.24,0.28,2026-04-27 15:59:58.000000,2026-05-01,200.0,call,2648.0,548.0,0.4855,184.78,0.045,0.045,0.045
CVX260501P00200000,15.5,14.2,16.55,2026-04-27 13:03:35.000000,2026-05-01,200.0,put,261.0,7.0,0.4698,184.78,0.045,0.045,0.045
CVX260501C00202500,0.2,0.16,0.26,2026-04-27 15:16:31.000000,2026-05-01,202.5,call,184.0,265.0,0.5214,184.78,0.045,0.045,0.045
CVX260501C00205000,0.12,0.04,0.14,2026-04-27 15:43:28.000000,2026-05-01,205.0,call,1283.0,451.0,0.4974,184.78,0.045,0.045,0.045
CVX260501C00207500,0.07,0.06,0.13,2026-04-27 15:25:07.000000,2026-05-01,207.5,call,56.0,19.0,0.5503,184.78,0.045,0.045,0.045
CVX260501C00210000,0.06,0.0,0.07,2026-04-27 15:11:23.000000,2026-05-01,210.0,call,1001.0,147.0,0.5206,184.78,0.045,0.045,0.045
CVX260501P00210000,22.8,23.9,26.5,2026-04-23 14:08:59.000000,2026-05-01,210.0,put,213.0,0.0,0.6425221382641843,184.78,0.045,0.045,0.045
CVX260501C00215000,0.04,0.01,0.04,2026-04-27 14:43:35.000000,2026-05-01,215.0,call,764.0,33.0,0.5798,184.78,0.045,0.045,0.045
CVX260501C00220000,0.02,0.01,0.07,2026-04-27 12:48:23.000000,2026-05-01,220.0,call,736.0,33.0,0.6934,184.78,0.045,0.045,0.045
CVX260501C00225000,0.01,0.01,0.14,2026-04-27 14:43:35.000000,2026-05-01,225.0,call,477.0,37.0,0.8337,184.78,0.045,0.045,0.045
CVX260501C00230000,0.02,0.01,0.02,2026-04-27 15:06:44.000000,2026-05-01,230.0,call,300.0,131.0,0.7616,184.78,0.045,0.045,0.045
CVX260501C00235000,0.04,0.0,0.04,2026-04-27 10:33:23.000000,2026-05-01,235.0,call,61.0,6.0,0.852,184.78,0.045,0.045,0.045
