Contract Symbol,Last Price,Bid,Ask,Last Trade Date,Expiry,Strike,Option Type,Open Interest,Volume,Implied Volatility,Spot Price,Discount Rate,Direct Discount Rate,Smooth Discount Rate
GOOGL260427C00305000,47.28,44.05,46.6,2026-04-27 15:24:09.000000,2026-04-27,305.0,call,6.0,299.0,4.13,352.28,0.045,0.045,0.045
GOOGL260427P00317500,0.02,0.0,0.01,2026-04-27 13:58:52.000000,2026-04-27,317.5,put,207.0,247.0,4.4007,352.28,0.045,0.045,0.045
GOOGL260427P00320000,0.02,0.0,0.01,2026-04-27 14:00:52.000000,2026-04-27,320.0,put,734.0,56.0,4.0782,352.28,0.045,0.045,0.045
GOOGL260427P00322500,0.01,0.0,0.02,2026-04-27 14:28:51.000000,2026-04-27,322.5,put,114.0,3.0,4.0099,352.28,0.045,0.045,0.045
GOOGL260427P00325000,0.01,0.0,0.01,2026-04-27 15:09:54.000000,2026-04-27,325.0,put,1699.0,546.0,3.4348,352.28,0.045,0.045,0.045
GOOGL260427P00327500,0.01,0.0,0.01,2026-04-27 14:35:59.000000,2026-04-27,327.5,put,1210.0,205.0,3.1134,352.28,0.045,0.045,0.045
GOOGL260427P00330000,0.01,0.0,0.01,2026-04-27 15:51:50.000000,2026-04-27,330.0,put,653.0,333.0,2.7919,352.28,0.045,0.045,0.045
GOOGL260427C00332500,19.07,17.35,18.7,2026-04-27 15:41:46.000000,2026-04-27,332.5,call,52.0,70.0,4.0758,352.28,0.045,0.045,0.045
GOOGL260427P00332500,0.01,0.0,0.01,2026-04-27 15:53:06.000000,2026-04-27,332.5,put,2822.0,662.0,2.4698,352.28,0.045,0.045,0.045
GOOGL260427P00335000,0.04,0.0,0.01,2026-04-27 15:54:11.000000,2026-04-27,335.0,put,3687.0,1058.0,2.1467,352.28,0.045,0.045,0.045
GOOGL260427C00337500,12.95,12.25,13.7,2026-04-27 15:57:43.000000,2026-04-27,337.5,call,1070.0,365.0,2.9347,352.28,0.045,0.045,0.045
GOOGL260427P00337500,0.04,0.0,0.02,2026-04-27 15:53:24.000000,2026-04-27,337.5,put,985.0,1673.0,2.1316,352.28,0.045,0.045,0.045
GOOGL260427P00340000,0.03,0.0,0.01,2026-04-27 15:49:07.000000,2026-04-27,340.0,put,2636.0,2217.0,1.4941,352.28,0.045,0.045,0.045
GOOGL260427C00342500,7.85,7.5,8.7,2026-04-27 15:59:30.000000,2026-04-27,342.5,call,1853.0,3263.0,2.287,352.28,0.045,0.045,0.045
GOOGL260427P00342500,0.01,0.0,0.01,2026-04-27 15:51:58.000000,2026-04-27,342.5,put,548.0,5525.0,1.162,352.28,0.045,0.045,0.045
GOOGL260427C00345000,5.37,5.1,5.6,2026-04-27 15:59:45.000000,2026-04-27,345.0,call,3193.0,7481.0,1.0248,352.28,0.045,0.045,0.045
GOOGL260427P00345000,0.01,0.0,0.01,2026-04-27 15:59:11.000000,2026-04-27,345.0,put,196.0,9248.0,0.8228,352.28,0.045,0.045,0.045
GOOGL260427C00347500,2.92,2.67,3.05,2026-04-27 15:59:49.000000,2026-04-27,347.5,call,1103.0,16005.0,0.8927,352.28,0.045,0.045,0.045
GOOGL260427P00347500,0.01,0.0,0.01,2026-04-27 15:59:31.000000,2026-04-27,347.5,put,65.0,20323.0,0.4704,352.28,0.045,0.045,0.045
GOOGL260427C00350000,0.43,0.37,0.5,2026-04-27 15:59:56.000000,2026-04-27,350.0,call,7476.0,75029.0,0.2507,352.28,0.045,0.045,0.045
GOOGL260427P00350000,0.09,0.07,0.09,2026-04-27 15:59:59.000000,2026-04-27,350.0,put,11.0,23700.0,0.2184,352.28,0.045,0.045,0.045
GOOGL260427C00352500,0.01,0.0,0.01,2026-04-27 15:59:57.000000,2026-04-27,352.5,call,861.0,56058.0,0.3724,352.28,0.045,0.045,0.045
GOOGL260427C00355000,0.01,0.0,0.01,2026-04-27 15:59:52.000000,2026-04-27,355.0,call,4378.0,35228.0,0.7232,352.28,0.045,0.045,0.045
GOOGL260427C00357500,0.02,0.0,0.01,2026-04-27 15:54:10.000000,2026-04-27,357.5,call,230.0,7372.0,1.0529,352.28,0.045,0.045,0.045
GOOGL260427C00360000,0.01,0.0,0.01,2026-04-27 15:59:39.000000,2026-04-27,360.0,call,1213.0,3286.0,1.3699,352.28,0.045,0.045,0.045
GOOGL260427C00362500,0.01,0.0,0.01,2026-04-27 15:30:05.000000,2026-04-27,362.5,call,36.0,1073.0,1.6776,352.28,0.045,0.045,0.045
GOOGL260427C00365000,0.01,0.0,0.01,2026-04-27 15:23:22.000000,2026-04-27,365.0,call,248.0,321.0,1.9778,352.28,0.045,0.045,0.045
GOOGL260427C00367500,0.01,0.0,0.01,2026-04-27 15:12:40.000000,2026-04-27,367.5,call,41.0,216.0,2.2717,352.28,0.045,0.045,0.045
GOOGL260427C00370000,0.01,0.0,0.01,2026-04-27 14:41:09.000000,2026-04-27,370.0,call,161.0,109.0,2.5602,352.28,0.045,0.045,0.045
GOOGL260427C00372500,0.01,0.0,0.01,2026-04-27 12:44:39.000000,2026-04-27,372.5,call,388.0,457.0,2.8438,352.28,0.045,0.045,0.045
