Contract Symbol,Last Price,Bid,Ask,Last Trade Date,Expiry,Strike,Option Type,Open Interest,Volume,Implied Volatility,Spot Price,Discount Rate,Direct Discount Rate,Smooth Discount Rate
JPM260501C00165000,145.43,145.35,148.45,2026-04-27 11:50:36.000000,2026-05-01,165.0,call,0.0,1.0,2.6737,311.61,0.045,0.045,0.045
JPM260501P00165000,0.1,0.0,0.01,2026-04-21 15:40:03.000000,2026-05-01,165.0,put,111.0,0.0,1.8362,311.61,0.045,0.045,0.045
JPM260501C00170000,140.69,141.0,143.7,2026-04-27 11:08:25.000000,2026-05-01,170.0,call,0.0,14.0,2.9747,311.61,0.045,0.045,0.045
JPM260501P00170000,0.14,0.0,0.05,2026-04-27 10:39:35.000000,2026-05-01,170.0,put,45.0,1.0,1.9965,311.61,0.045,0.045,0.045
JPM260501C00175000,0.0,135.8,138.2,2026-04-28 13:26:20.985926,2026-05-01,175.0,call,0.0,0.0,2.5568,311.61,0.045,0.045,0.045
JPM260501P00175000,0.03,0.0,0.05,2026-04-13 15:33:09.000000,2026-05-01,175.0,put,61.0,0.0,1.9069,311.61,0.045,0.045,0.045
JPM260501C00180000,0.0,130.8,132.95,2026-04-28 13:26:20.986014,2026-05-01,180.0,call,0.0,0.0,2.2929,311.61,0.045,0.045,0.045
JPM260501P00180000,0.0,0.0,0.25,2026-04-28 13:26:20.986045,2026-05-01,180.0,put,0.0,0.0,1.8197,311.61,0.045,0.045,0.045
JPM260501C00185000,125.53,126.0,128.75,2026-04-27 11:50:36.000000,2026-05-01,185.0,call,0.0,1.0,2.614,311.61,0.045,0.045,0.045
JPM260501P00185000,0.1,0.0,0.05,2026-04-24 12:46:42.000000,2026-05-01,185.0,put,1.0,0.0,1.7348,311.61,0.045,0.045,0.045
JPM260501C00190000,120.15,121.05,123.7,2026-04-27 10:16:08.000000,2026-05-01,190.0,call,0.0,13.0,2.4944,311.61,0.045,0.045,0.045
JPM260501P00190000,0.18,0.0,0.05,2026-04-08 15:26:18.000000,2026-05-01,190.0,put,2.0,0.0,1.652,311.61,0.045,0.045,0.045
JPM260501C00195000,115.0,115.45,118.75,2026-04-27 09:31:25.000000,2026-05-01,195.0,call,0.0,1.0,2.1955,311.61,0.045,0.045,0.045
JPM260501P00195000,0.01,0.0,0.05,2026-04-27 14:45:26.000000,2026-05-01,195.0,put,0.0,32.0,1.5712,311.61,0.045,0.045,0.045
JPM260501C00200000,0.0,110.5,113.05,2026-04-28 13:26:20.986242,2026-05-01,200.0,call,0.0,0.0,1.7218,311.61,0.045,0.045,0.045
JPM260501P00200000,0.27,0.0,0.05,2026-04-02 10:21:29.000000,2026-05-01,200.0,put,2.0,0.0,1.4922,311.61,0.045,0.045,0.045
JPM260501C00205000,0.0,105.5,108.6,2026-04-28 13:26:20.986296,2026-05-01,205.0,call,0.0,0.0,1.9451,311.61,0.045,0.045,0.045
JPM260501P00205000,0.01,0.0,0.05,2026-04-27 14:57:00.000000,2026-05-01,205.0,put,10.0,33.0,1.4151,311.61,0.045,0.045,0.045
JPM260501C00210000,0.0,100.5,102.9,2026-04-28 13:26:20.986353,2026-05-01,210.0,call,0.0,0.0,1.3006,311.61,0.045,0.045,0.045
JPM260501P00210000,0.08,0.0,0.05,2026-04-20 14:31:27.000000,2026-05-01,210.0,put,6.0,0.0,1.3396,311.61,0.045,0.045,0.045
JPM260501C00215000,0.0,96.25,98.05,2026-04-28 13:26:20.986409,2026-05-01,215.0,call,0.0,0.0,1.8122,311.61,0.045,0.045,0.045
JPM260501P00215000,0.02,0.0,2.13,2026-04-23 11:45:26.000000,2026-05-01,215.0,put,1.0,0.0,2.0995,311.61,0.045,0.045,0.045
JPM260501C00220000,0.0,90.5,93.6,2026-04-28 13:26:20.986465,2026-05-01,220.0,call,0.0,0.0,1.6474,311.61,0.045,0.045,0.045
JPM260501P00220000,0.01,0.0,0.02,2026-04-27 15:47:08.000000,2026-05-01,220.0,put,36.0,48.0,1.0997,311.61,0.045,0.045,0.045
JPM260501C00225000,0.0,85.5,88.45,2026-04-28 13:26:20.986519,2026-05-01,225.0,call,0.0,0.0,1.4977,311.61,0.045,0.045,0.045
JPM260501P00225000,0.01,0.0,0.05,2026-04-27 09:55:45.000000,2026-05-01,225.0,put,363.0,4.0,1.1223,311.61,0.045,0.045,0.045
JPM260501C00230000,0.0,80.5,83.55,2026-04-28 13:26:20.986571,2026-05-01,230.0,call,0.0,0.0,1.4422,311.61,0.045,0.045,0.045
JPM260501P00230000,0.01,0.0,0.05,2026-04-27 14:57:26.000000,2026-05-01,230.0,put,315.0,58.0,1.0526,311.61,0.045,0.045,0.045
JPM260501P00235000,0.01,0.0,0.04,2026-04-27 11:31:46.000000,2026-05-01,235.0,put,279.0,2.0,0.9633,311.61,0.045,0.045,0.045
JPM260501C00240000,0.0,70.55,73.2,2026-04-28 13:26:20.988090,2026-05-01,240.0,call,0.0,0.0,1.1498,311.61,0.045,0.045,0.045
JPM260501P00240000,0.02,0.0,0.04,2026-04-27 15:53:17.000000,2026-05-01,240.0,put,53.0,37.0,0.9169,311.61,0.045,0.045,0.045
JPM260501C00245000,0.0,65.55,67.4,2026-04-28 13:26:20.988173,2026-05-01,245.0,call,0.0,0.0,1.2018,311.61,0.045,0.045,0.045
JPM260501P00245000,0.03,0.0,0.2,2026-04-27 14:55:41.000000,2026-05-01,245.0,put,185.0,21.0,1.0006,311.61,0.045,0.045,0.045
JPM260501C00250000,58.61,60.55,63.15,2026-04-24 15:42:56.000000,2026-05-01,250.0,call,2.0,0.0,0.9632,311.61,0.045,0.045,0.045
JPM260501P00250000,0.03,0.01,0.04,2026-04-27 15:12:45.000000,2026-05-01,250.0,put,261.0,72.0,0.7855,311.61,0.045,0.045,0.045
JPM260501C00255000,0.0,55.9,57.95,2026-04-28 13:26:20.988301,2026-05-01,255.0,call,0.0,0.0,0.9419,311.61,0.045,0.045,0.045
JPM260501P00255000,0.04,0.01,0.43,2026-04-27 13:35:48.000000,2026-05-01,255.0,put,69.0,11.0,0.9469,311.61,0.045,0.045,0.045
JPM260501C00260000,48.8,50.9,53.55,2026-04-08 10:25:30.000000,2026-05-01,260.0,call,3.0,0.0,1.0024,311.61,0.045,0.045,0.045
JPM260501P00260000,0.07,0.0,0.05,2026-04-27 09:30:02.000000,2026-05-01,260.0,put,230.0,3.0,0.6577,311.61,0.045,0.045,0.045
JPM260501C00265000,45.86,45.9,48.0,2026-04-10 15:28:21.000000,2026-05-01,265.0,call,3.0,0.0,0.7952,311.61,0.045,0.045,0.045
JPM260501P00265000,0.05,0.0,0.03,2026-04-27 13:42:01.000000,2026-05-01,265.0,put,128.0,30.0,0.5814,311.61,0.045,0.045,0.045
JPM260501C00270000,40.75,40.35,43.1,2026-04-27 12:53:36.000000,2026-05-01,270.0,call,9.0,1.0,0.4383,311.61,0.045,0.045,0.045
JPM260501P00270000,0.04,0.03,0.1,2026-04-27 15:19:33.000000,2026-05-01,270.0,put,234.0,66.0,0.5963,311.61,0.045,0.045,0.045
JPM260501P00272500,0.3,0.0,0.18,2026-04-21 12:49:35.000000,2026-05-01,272.5,put,3.0,0.0,0.5875,311.61,0.045,0.045,0.045
JPM260501C00275000,36.41,36.35,37.95,2026-04-10 15:28:21.000000,2026-05-01,275.0,call,19.0,0.0,0.7143,311.61,0.045,0.045,0.045
