Contract Symbol,Last Price,Bid,Ask,Last Trade Date,Expiry,Strike,Option Type,Open Interest,Volume,Implied Volatility,Spot Price,Discount Rate,Direct Discount Rate,Smooth Discount Rate
UNH260501C00145000,0.0,206.65,211.6,2026-04-28 13:27:22.473002,2026-05-01,145.0,call,0.0,0.0,4.5127707791571785,353.6,0.045,0.045,0.045
UNH260501P00145000,0.03,0.0,0.01,2026-04-20 10:16:34.000000,2026-05-01,145.0,put,28.0,0.0,2.5224,353.6,0.045,0.045,0.045
UNH260501C00150000,200.0,201.65,206.7,2026-04-27 11:20:20.000000,2026-05-01,150.0,call,4.0,4.0,4.414338923045503,353.6,0.045,0.045,0.045
UNH260501P00150000,0.01,0.0,0.01,2026-04-24 11:15:38.000000,2026-05-01,150.0,put,1.0,0.0,2.4303,353.6,0.045,0.045,0.045
UNH260501C00155000,193.68,196.65,201.6,2026-04-27 11:21:48.000000,2026-05-01,155.0,call,2.0,12.0,4.1953432926832095,353.6,0.045,0.045,0.045
UNH260501P00155000,0.0,0.0,0.05,2026-04-28 13:27:22.479059,2026-05-01,155.0,put,0.0,0.0,2.6501,353.6,0.045,0.045,0.045
UNH260501C00160000,189.75,191.65,196.5,2026-04-27 12:19:13.000000,2026-05-01,160.0,call,0.0,10.0,3.9806154624353405,353.6,0.045,0.045,0.045
UNH260501P00160000,0.02,0.0,0.05,2026-04-21 13:21:33.000000,2026-05-01,160.0,put,1.0,0.0,2.5535,353.6,0.045,0.045,0.045
UNH260501C00165000,184.74,186.65,191.65,2026-04-27 12:19:34.000000,2026-05-01,165.0,call,0.0,4.0,3.927381970969116,353.6,0.045,0.045,0.045
UNH260501P00165000,0.0,0.0,0.05,2026-04-28 13:27:22.485376,2026-05-01,165.0,put,0.0,0.0,2.4598,353.6,0.045,0.045,0.045
UNH260501C00170000,179.78,181.65,186.25,2026-04-27 12:19:34.000000,2026-05-01,170.0,call,0.0,2.0,3.5206473923041406,353.6,0.045,0.045,0.045
UNH260501P00170000,0.0,0.0,0.05,2026-04-28 13:27:22.488412,2026-05-01,170.0,put,0.0,0.0,2.3689,353.6,0.045,0.045,0.045
UNH260501C00175000,0.0,176.65,181.35,2026-04-28 13:27:22.491404,2026-05-01,175.0,call,0.0,0.0,3.4628056666080234,353.6,0.045,0.045,0.045
UNH260501P00175000,0.0,0.0,0.05,2026-04-28 13:27:22.491458,2026-05-01,175.0,put,0.0,0.0,2.2806,353.6,0.045,0.045,0.045
UNH260501C00180000,0.0,171.65,176.7,2026-04-28 13:27:22.494439,2026-05-01,180.0,call,0.0,0.0,3.5372645237552414,353.6,0.045,0.045,0.045
