Contract Symbol,Last Price,Bid,Ask,Last Trade Date,Expiry,Strike,Option Type,Open Interest,Volume,Implied Volatility,Spot Price,Discount Rate,Direct Discount Rate,Smooth Discount Rate
XOM260501C00080000,68.45,68.0,69.1,2026-04-27 15:51:37.000000,2026-05-01,80.0,call,1.0,20.0,3.0198,148.39,0.045,0.045,0.045
XOM260501P00080000,0.05,0.0,0.01,2026-04-06 12:51:52.000000,2026-05-01,80.0,put,1.0,0.0,1.8863,148.39,0.045,0.045,0.045
XOM260501P00085000,0.03,0.0,0.22,2026-04-21 11:11:15.000000,2026-05-01,85.0,put,0.0,0.0,1.7108,148.39,0.045,0.045,0.045
XOM260501C00090000,58.56,57.85,59.25,2026-04-27 15:59:29.000000,2026-05-01,90.0,call,0.0,36.0,2.4956,148.39,0.045,0.045,0.045
XOM260501P00090000,0.0,0.0,0.59,2026-04-28 13:27:43.535439,2026-05-01,90.0,put,0.0,0.0,2.4585,148.39,0.045,0.045,0.045
XOM260501C00095000,53.58,52.9,54.3,2026-04-27 15:59:29.000000,2026-05-01,95.0,call,0.0,28.0,2.3112,148.39,0.045,0.045,0.045
XOM260501P00095000,0.02,0.0,2.12,2026-04-21 10:08:13.000000,2026-05-01,95.0,put,2.0,0.0,2.8534,148.39,0.045,0.045,0.045
XOM260501C00100000,48.48,47.95,49.1,2026-04-27 15:51:42.000000,2026-05-01,100.0,call,0.0,10.0,1.9951,148.39,0.045,0.045,0.045
XOM260501P00100000,0.02,0.0,2.12,2026-04-22 11:34:22.000000,2026-05-01,100.0,put,11.0,0.0,2.5807,148.39,0.045,0.045,0.045
XOM260501C00105000,43.53,42.95,44.1,2026-04-27 15:36:06.000000,2026-05-01,105.0,call,0.0,8.0,1.7768,148.39,0.045,0.045,0.045
XOM260501P00105000,0.0,0.0,2.12,2026-04-28 13:27:43.535650,2026-05-01,105.0,put,0.0,0.0,2.3188,148.39,0.045,0.045,0.045
XOM260501C00110000,38.55,37.95,39.15,2026-04-27 15:36:06.000000,2026-05-01,110.0,call,1.0,2.0,1.5908,148.39,0.045,0.045,0.045
XOM260501P00110000,0.05,0.0,0.04,2026-04-21 11:11:27.000000,2026-05-01,110.0,put,29.0,0.0,1.0905,148.39,0.045,0.045,0.045
XOM260501C00115000,33.74,33.05,34.3,2026-04-27 15:57:38.000000,2026-05-01,115.0,call,0.0,10.0,1.4817,148.39,0.045,0.045,0.045
XOM260501P00115000,0.01,0.0,0.49,2026-04-27 09:33:15.000000,2026-05-01,115.0,put,13.0,1.0,1.3308,148.39,0.045,0.045,0.045
XOM260501C00120000,28.77,28.0,29.35,2026-04-27 15:57:38.000000,2026-05-01,120.0,call,36.0,22.0,1.2734,148.39,0.045,0.045,0.045
XOM260501P00120000,0.02,0.0,0.04,2026-04-27 12:12:39.000000,2026-05-01,120.0,put,23.0,15.0,0.7982,148.39,0.045,0.045,0.045
XOM260501C00125000,23.84,23.1,24.45,2026-04-27 15:54:43.000000,2026-05-01,125.0,call,4.0,12.0,1.1227,148.39,0.045,0.045,0.045
XOM260501P00125000,0.05,0.01,0.07,2026-04-27 15:59:14.000000,2026-05-01,125.0,put,108.0,35.0,0.7166,148.39,0.045,0.045,0.045
XOM260501C00130000,20.23,18.05,19.8,2026-04-27 10:47:42.000000,2026-05-01,130.0,call,19.0,2.0,0.9774,148.39,0.045,0.045,0.045
XOM260501P00130000,0.1,0.05,0.14,2026-04-27 15:59:06.000000,2026-05-01,130.0,put,657.0,56.0,0.6486,148.39,0.045,0.045,0.045
XOM260501C00131000,0.0,17.0,18.95,2026-04-28 13:27:43.535955,2026-05-01,131.0,call,0.0,0.0,0.9531,148.39,0.045,0.045,0.045
XOM260501P00131000,0.11,0.0,0.25,2026-04-27 15:51:42.000000,2026-05-01,131.0,put,1.0,3.0,0.6461,148.39,0.045,0.045,0.045
XOM260501C00132000,0.0,16.05,18.3,2026-04-28 13:27:43.536009,2026-05-01,132.0,call,0.0,0.0,0.9775,148.39,0.045,0.045,0.045
XOM260501P00132000,0.1,0.04,0.58,2026-04-27 14:54:21.000000,2026-05-01,132.0,put,54.0,7.0,0.735,148.39,0.045,0.045,0.045
XOM260501C00133000,0.0,14.95,17.35,2026-04-28 13:27:43.536064,2026-05-01,133.0,call,0.0,0.0,0.9239,148.39,0.045,0.045,0.045
XOM260501P00133000,0.13,0.06,0.4,2026-04-27 15:21:51.000000,2026-05-01,133.0,put,8.0,9.0,0.653,148.39,0.045,0.045,0.045
XOM260501C00134000,0.0,14.0,16.35,2026-04-28 13:27:43.536120,2026-05-01,134.0,call,0.0,0.0,0.886,148.39,0.045,0.045,0.045
XOM260501P00134000,0.15,0.0,0.52,2026-04-27 11:11:59.000000,2026-05-01,134.0,put,184.0,17.0,0.6335,148.39,0.045,0.045,0.045
XOM260501C00135000,15.53,13.15,15.15,2026-04-27 09:52:11.000000,2026-05-01,135.0,call,307.0,9.0,0.8326,148.39,0.045,0.045,0.045
XOM260501P00135000,0.18,0.19,0.23,2026-04-27 15:56:50.000000,2026-05-01,135.0,put,693.0,361.0,0.5692,148.39,0.045,0.045,0.045
XOM260501C00136000,0.0,12.15,14.25,2026-04-28 13:27:43.536235,2026-05-01,136.0,call,0.0,0.0,0.801,148.39,0.045,0.045,0.045
XOM260501P00136000,0.23,0.23,0.27,2026-04-27 15:45:15.000000,2026-05-01,136.0,put,102.0,664.0,0.5544,148.39,0.045,0.045,0.045
XOM260501C00137000,11.85,11.4,12.65,2026-04-27 13:22:45.000000,2026-05-01,137.0,call,27.0,36.0,0.7044,148.39,0.045,0.045,0.045
XOM260501P00137000,0.29,0.24,0.32,2026-04-27 15:59:11.000000,2026-05-01,137.0,put,351.0,838.0,0.5315,148.39,0.045,0.045,0.045
XOM260501C00138000,11.2,10.45,11.7,2026-04-27 15:55:08.000000,2026-05-01,138.0,call,45.0,40.0,0.6732,148.39,0.045,0.045,0.045
XOM260501P00138000,0.34,0.32,0.37,2026-04-27 15:58:24.000000,2026-05-01,138.0,put,561.0,1158.0,0.5206,148.39,0.045,0.045,0.045
XOM260501C00139000,11.85,9.45,11.0,2026-04-27 10:23:42.000000,2026-05-01,139.0,call,7.0,15.0,0.6663,148.39,0.045,0.045,0.045
XOM260501P00139000,0.43,0.36,0.44,2026-04-27 15:59:31.000000,2026-05-01,139.0,put,99.0,418.0,0.5011,148.39,0.045,0.045,0.045
XOM260501C00140000,8.9,8.5,9.65,2026-04-27 13:26:10.000000,2026-05-01,140.0,call,26.0,16.0,0.5804,148.39,0.045,0.045,0.045
XOM260501P00140000,0.52,0.43,0.54,2026-04-27 15:59:50.000000,2026-05-01,140.0,put,842.0,295.0,0.4876,148.39,0.045,0.045,0.045
XOM260501C00141000,7.72,7.75,8.95,2026-04-24 12:59:32.000000,2026-05-01,141.0,call,305.0,0.0,0.5981,148.39,0.045,0.045,0.045
XOM260501P00141000,0.63,0.61,0.67,2026-04-27 15:59:58.000000,2026-05-01,141.0,put,156.0,345.0,0.4907,148.39,0.045,0.045,0.045
XOM260501C00142000,7.71,6.85,7.85,2026-04-27 11:16:28.000000,2026-05-01,142.0,call,60.0,1.0,0.5472,148.39,0.045,0.045,0.045
XOM260501P00142000,0.74,0.74,0.82,2026-04-27 15:59:53.000000,2026-05-01,142.0,put,600.0,747.0,0.4765,148.39,0.045,0.045,0.045
XOM260501C00143000,6.58,6.1,6.95,2026-04-27 13:22:23.000000,2026-05-01,143.0,call,61.0,5.0,0.5311,148.39,0.045,0.045,0.045
XOM260501P00143000,0.99,0.94,1.01,2026-04-27 15:59:42.000000,2026-05-01,143.0,put,212.0,188.0,0.4707,148.39,0.045,0.045,0.045
XOM260501C00144000,6.03,5.35,5.55,2026-04-27 15:53:38.000000,2026-05-01,144.0,call,44.0,16.0,0.4613,148.39,0.045,0.045,0.045
XOM260501P00144000,1.24,1.09,1.24,2026-04-27 15:59:57.000000,2026-05-01,144.0,put,559.0,96.0,0.4573,148.39,0.045,0.045,0.045
XOM260501C00145000,5.16,4.6,4.8,2026-04-27 15:52:15.000000,2026-05-01,145.0,call,180.0,74.0,0.451,148.39,0.045,0.045,0.045
XOM260501P00145000,1.3,1.37,1.54,2026-04-27 15:56:45.000000,2026-05-01,145.0,put,584.0,274.0,0.4535,148.39,0.045,0.045,0.045
XOM260501C00146000,4.0,3.95,4.15,2026-04-27 14:17:26.000000,2026-05-01,146.0,call,53.0,29.0,0.4502,148.39,0.045,0.045,0.045
XOM260501P00146000,1.82,1.64,1.88,2026-04-27 15:59:00.000000,2026-05-01,146.0,put,894.0,395.0,0.4447,148.39,0.045,0.045,0.045
XOM260501C00147000,3.6,3.35,3.6,2026-04-27 15:59:51.000000,2026-05-01,147.0,call,189.0,33.0,0.4527,148.39,0.045,0.045,0.045
XOM260501P00147000,2.24,2.12,2.3,2026-04-27 15:59:23.000000,2026-05-01,147.0,put,428.0,472.0,0.4513,148.39,0.045,0.045,0.045
XOM260501C00148000,2.81,2.82,2.97,2026-04-27 15:59:46.000000,2026-05-01,148.0,call,2347.0,218.0,0.4452,148.39,0.045,0.045,0.045
XOM260501P00148000,2.65,2.52,2.77,2026-04-27 15:58:52.000000,2026-05-01,148.0,put,424.0,536.0,0.446,148.39,0.045,0.045,0.045
XOM260501C00149000,2.4,2.37,2.52,2026-04-27 15:59:18.000000,2026-05-01,149.0,call,284.0,1720.0,0.4495,148.39,0.045,0.045,0.045
XOM260501P00149000,3.2,2.97,3.25,2026-04-27 15:59:34.000000,2026-05-01,149.0,put,274.0,963.0,0.4362,148.39,0.045,0.045,0.045
XOM260501C00150000,1.99,1.98,2.04,2026-04-27 15:59:46.000000,2026-05-01,150.0,call,1742.0,1954.0,0.4472,148.39,0.045,0.045,0.045
XOM260501P00150000,3.3,3.55,3.85,2026-04-27 15:54:21.000000,2026-05-01,150.0,put,489.0,758.0,0.4372,148.39,0.045,0.045,0.045
XOM260501C00152500,1.16,1.15,1.22,2026-04-27 15:59:34.000000,2026-05-01,152.5,call,3385.0,1136.0,0.4463,148.39,0.045,0.045,0.045
XOM260501P00152500,5.1,5.0,5.6,2026-04-27 15:18:11.000000,2026-05-01,152.5,put,172.0,28.0,0.4184,148.39,0.045,0.045,0.045
XOM260501C00155000,0.68,0.67,0.7,2026-04-27 15:59:58.000000,2026-05-01,155.0,call,12823.0,14026.0,0.4509,148.39,0.045,0.045,0.045
XOM260501P00155000,7.2,6.7,7.6,2026-04-27 15:32:29.000000,2026-05-01,155.0,put,261.0,62.0,0.3709,148.39,0.045,0.045,0.045
XOM260501C00157500,0.39,0.38,0.44,2026-04-27 15:59:18.000000,2026-05-01,157.5,call,657.0,876.0,0.4731,148.39,0.045,0.045,0.045
XOM260501P00157500,8.95,8.65,9.8,2026-04-27 11:36:50.000000,2026-05-01,157.5,put,107.0,7.0,0.4334198864346228,148.39,0.045,0.045,0.045
XOM260501C00160000,0.25,0.23,0.26,2026-04-27 15:58:32.000000,2026-05-01,160.0,call,3805.0,822.0,0.4919,148.39,0.045,0.045,0.045
XOM260501P00160000,12.0,11.2,12.15,2026-04-27 13:13:18.000000,2026-05-01,160.0,put,524.0,11.0,0.4863394580370275,148.39,0.045,0.045,0.045
XOM260501C00162500,0.14,0.11,0.15,2026-04-27 15:59:45.000000,2026-05-01,162.5,call,10417.0,11739.0,0.499,148.39,0.045,0.045,0.045
XOM260501C00165000,0.08,0.09,0.11,2026-04-27 15:56:27.000000,2026-05-01,165.0,call,1268.0,951.0,0.5399,148.39,0.045,0.045,0.045
XOM260501C00167500,0.3,0.07,0.15,2026-04-27 15:55:52.000000,2026-05-01,167.5,call,313.0,144.0,0.6113,148.39,0.045,0.045,0.045
XOM260501C00170000,0.07,0.0,0.09,2026-04-27 14:58:58.000000,2026-05-01,170.0,call,1737.0,199.0,0.5886,148.39,0.045,0.045,0.045
XOM260501C00172500,0.06,0.0,0.08,2026-04-27 14:24:51.000000,2026-05-01,172.5,call,217.0,67.0,0.6322,148.39,0.045,0.045,0.045
XOM260501C00175000,0.04,0.03,0.05,2026-04-27 15:46:14.000000,2026-05-01,175.0,call,3316.0,584.0,0.6837,148.39,0.045,0.045,0.045
XOM260501C00177500,0.04,0.0,0.21,2026-04-24 15:59:15.000000,2026-05-01,177.5,call,237.0,0.0,0.8379,148.39,0.045,0.045,0.045
XOM260501C00180000,0.03,0.02,0.03,2026-04-27 15:48:08.000000,2026-05-01,180.0,call,583.0,147.0,0.7408,148.39,0.045,0.045,0.045
XOM260501C00182500,0.01,0.0,0.03,2026-04-27 11:27:52.000000,2026-05-01,182.5,call,60.0,25.0,0.7449,148.39,0.045,0.045,0.045
XOM260501C00185000,0.04,0.0,0.05,2026-04-27 13:34:55.000000,2026-05-01,185.0,call,1067.0,84.0,0.8318,148.39,0.045,0.045,0.045
XOM260501C00187500,0.38,0.0,0.53,2026-04-09 12:40:27.000000,2026-05-01,187.5,call,300.0,0.0,1.2111,148.39,0.045,0.045,0.045
XOM260501C00190000,0.01,0.0,0.15,2026-04-27 10:35:51.000000,2026-05-01,190.0,call,390.0,1.0,1.0476,148.39,0.045,0.045,0.045
XOM260501C00192500,0.01,0.0,0.37,2026-04-27 09:30:59.000000,2026-05-01,192.5,call,6.0,1.0,1.2448,148.39,0.045,0.045,0.045
XOM260501C00195000,0.01,0.0,0.01,2026-04-27 15:00:41.000000,2026-05-01,195.0,call,319.0,2.0,0.8627,148.39,0.045,0.045,0.045
XOM260501C00197500,0.04,0.0,0.04,2026-04-13 15:44:20.000000,2026-05-01,197.5,call,4.0,0.0,1.0204,148.39,0.045,0.045,0.045
XOM260501C00200000,0.01,0.0,0.01,2026-04-27 12:42:01.000000,2026-05-01,200.0,call,2470.0,25.0,0.9346,148.39,0.045,0.045,0.045
XOM260501C00202500,0.02,0.0,2.13,2026-04-22 11:31:51.000000,2026-05-01,202.5,call,10.0,0.0,1.9885,148.39,0.045,0.045,0.045
XOM260501C00205000,0.03,0.0,0.05,2026-04-27 09:43:06.000000,2026-05-01,205.0,call,28.0,1.0,1.1628,148.39,0.045,0.045,0.045
XOM260501C00207500,0.0,0.0,2.13,2026-04-28 13:27:43.559285,2026-05-01,207.5,call,0.0,0.0,2.1027,148.39,0.045,0.045,0.045
XOM260501C00210000,0.1,0.0,0.87,2026-04-27 13:42:20.000000,2026-05-01,210.0,call,0.0,3.0,1.8105,148.39,0.045,0.045,0.045
XOM260501C00215000,0.16,0.0,2.13,2026-04-07 09:32:31.000000,2026-05-01,215.0,call,1.0,0.0,2.2661,148.39,0.045,0.045,0.045
XOM260501C00220000,0.0,0.0,2.13,2026-04-28 13:27:43.561237,2026-05-01,220.0,call,0.0,0.0,2.3703,148.39,0.045,0.045,0.045
XOM260501C00225000,0.0,0.0,2.13,2026-04-28 13:27:43.561880,2026-05-01,225.0,call,0.0,0.0,2.4709,148.39,0.045,0.045,0.045
XOM260501C00230000,0.0,0.0,2.13,2026-04-28 13:27:43.562536,2026-05-01,230.0,call,0.0,0.0,2.5683,148.39,0.045,0.045,0.045
XOM260501C00235000,0.0,0.0,2.13,2026-04-28 13:27:43.563184,2026-05-01,235.0,call,0.0,0.0,2.6626,148.39,0.045,0.045,0.045
XOM260501C00240000,0.01,0.0,0.01,2026-04-27 15:19:21.000000,2026-05-01,240.0,call,92.0,3.0,1.4382,148.39,0.045,0.045,0.045
XOM260501C00245000,0.0,0.0,2.13,2026-04-28 13:27:43.564477,2026-05-01,245.0,call,0.0,0.0,2.8402,148.39,0.045,0.045,0.045
XOM260501C00250000,0.1,0.0,2.13,2026-04-27 13:42:56.000000,2026-05-01,250.0,call,0.0,3.0,2.9265,148.39,0.045,0.045,0.045
XOM260501C00255000,0.06,0.0,2.13,2026-04-06 12:12:19.000000,2026-05-01,255.0,call,2.0,0.0,3.0103,148.39,0.045,0.045,0.045
XOM260501C00260000,0.05,0.0,2.13,2026-04-06 12:09:03.000000,2026-05-01,260.0,call,1.0,0.0,3.092,148.39,0.045,0.045,0.045
XOM260508C00080000,0.0,67.7,70.25,2026-04-28 13:27:43.566811,2026-05-08,80.0,call,0.0,0.0,2.1011,148.39,0.045,0.045,0.045
XOM260508P00080000,0.0,0.0,0.05,2026-04-28 13:27:43.566854,2026-05-08,80.0,put,0.0,0.0,1.3157,148.39,0.045,0.045,0.045
XOM260508C00085000,0.0,62.3,65.35,2026-04-28 13:27:43.566887,2026-05-08,85.0,call,0.0,0.0,1.8331,148.39,0.045,0.045,0.045
XOM260508P00085000,0.0,0.0,0.05,2026-04-28 13:27:43.566917,2026-05-08,85.0,put,0.0,0.0,1.1951,148.39,0.045,0.045,0.045
XOM260508C00090000,0.0,57.7,60.35,2026-04-28 13:27:43.566942,2026-05-08,90.0,call,0.0,0.0,1.7684,148.39,0.045,0.045,0.045
XOM260508P00090000,0.0,0.0,0.05,2026-04-28 13:27:43.566964,2026-05-08,90.0,put,0.0,0.0,1.081,148.39,0.045,0.045,0.045
XOM260508C00095000,0.0,52.8,55.25,2026-04-28 13:27:43.566986,2026-05-08,95.0,call,0.0,0.0,1.6021,148.39,0.045,0.045,0.045
XOM260508P00095000,0.0,0.0,0.05,2026-04-28 13:27:43.567010,2026-05-08,95.0,put,0.0,0.0,0.9727,148.39,0.045,0.045,0.045
XOM260508C00100000,45.0,47.7,50.25,2026-04-17 12:40:21.000000,2026-05-08,100.0,call,20.0,0.0,1.4225,148.39,0.045,0.045,0.045
XOM260508P00100000,0.05,0.0,0.05,2026-04-27 14:55:04.000000,2026-05-08,100.0,put,10.0,1.0,0.8694,148.39,0.045,0.045,0.045
XOM260508C00105000,0.0,42.7,45.25,2026-04-28 13:27:43.567082,2026-05-08,105.0,call,0.0,0.0,1.2721,148.39,0.045,0.045,0.045
XOM260508P00105000,0.75,0.0,1.41,2026-04-17 10:29:05.000000,2026-05-08,105.0,put,2.0,0.0,1.2774,148.39,0.045,0.045,0.045
XOM260508C00110000,0.0,37.3,40.4,2026-04-28 13:27:43.567125,2026-05-08,110.0,call,0.0,0.0,1.0796,148.39,0.045,0.045,0.045
XOM260508P00110000,0.09,0.0,1.36,2026-04-17 15:12:44.000000,2026-05-08,110.0,put,20.0,0.0,1.1259,148.39,0.045,0.045,0.045
XOM260508C00115000,0.0,32.85,35.3,2026-04-28 13:27:43.567168,2026-05-08,115.0,call,0.0,0.0,1.02,148.39,0.045,0.045,0.045
XOM260508P00115000,0.09,0.0,0.76,2026-04-24 10:03:49.000000,2026-05-08,115.0,put,25.0,0.0,0.8737,148.39,0.045,0.045,0.045
XOM260508C00120000,28.05,27.95,30.0,2026-04-24 11:55:38.000000,2026-05-08,120.0,call,34.0,0.0,0.8519,148.39,0.045,0.045,0.045
XOM260508P00120000,0.01,0.0,0.73,2026-04-27 10:12:01.000000,2026-05-08,120.0,put,28.0,1.0,0.7454,148.39,0.045,0.045,0.045
XOM260508C00125000,19.81,22.95,25.4,2026-04-17 09:52:18.000000,2026-05-08,125.0,call,5.0,0.0,0.7702,148.39,0.045,0.045,0.045
XOM260508P00125000,0.37,0.0,0.37,2026-04-27 15:57:57.000000,2026-05-08,125.0,put,74.0,1.0,0.5484,148.39,0.045,0.045,0.045
XOM260508C00130000,19.2,18.15,20.35,2026-04-20 13:37:53.000000,2026-05-08,130.0,call,35.0,0.0,0.6491,148.39,0.045,0.045,0.045
XOM260508P00130000,0.19,0.03,0.33,2026-04-27 12:00:54.000000,2026-05-08,130.0,put,424.0,10.0,0.4396,148.39,0.045,0.045,0.045
XOM260508C00131000,17.95,17.2,19.4,2026-04-21 13:58:36.000000,2026-05-08,131.0,call,15.0,0.0,0.6314,148.39,0.045,0.045,0.045
XOM260508P00131000,0.32,0.09,0.37,2026-04-24 13:02:17.000000,2026-05-08,131.0,put,2.0,0.0,0.4393,148.39,0.045,0.045,0.045
XOM260508C00132000,0.0,15.65,18.65,2026-04-28 13:27:43.567384,2026-05-08,132.0,call,0.0,0.0,0.5737,148.39,0.045,0.045,0.045
XOM260508P00132000,0.32,0.29,0.37,2026-04-27 15:40:00.000000,2026-05-08,132.0,put,0.0,13.0,0.4515,148.39,0.045,0.045,0.045
XOM260508C00133000,16.29,15.1,17.4,2026-04-24 10:44:42.000000,2026-05-08,133.0,call,16.0,0.0,0.5659,148.39,0.045,0.045,0.045
XOM260508P00133000,0.42,0.16,0.55,2026-04-24 12:06:38.000000,2026-05-08,133.0,put,27.0,0.0,0.4358,148.39,0.045,0.045,0.045
XOM260508C00134000,15.39,13.8,16.25,2026-04-24 10:44:42.000000,2026-05-08,134.0,call,2.0,0.0,0.4942,148.39,0.045,0.045,0.045
XOM260508P00134000,0.37,0.2,0.53,2026-04-27 14:10:11.000000,2026-05-08,134.0,put,636.0,3.0,0.4152,148.39,0.045,0.045,0.045
XOM260508C00135000,15.0,13.4,15.55,2026-04-27 10:59:06.000000,2026-05-08,135.0,call,25.0,1.0,0.5491,148.39,0.045,0.045,0.045
XOM260508P00135000,0.58,0.52,0.64,2026-04-27 15:57:57.000000,2026-05-08,135.0,put,547.0,212.0,0.4427,148.39,0.045,0.045,0.045
